Periodo,Aguascalientes,Baja California,Baja California Sur,Campeche,Coahuila de Zaragoza,Colima,Chiapas,Chihuahua,Distrito Federal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,México,Michoacán de Ocampo,Morelos,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz de Ignacio de la Llave,Yucatán,Zacatecas
2016
I,4.139494616899,3.069368303441,4.649049138925,3.175,4.481602727079,4.326304004079,3.396994237408,3.206931198607,5.908371440779,4.412253269861,4.057532476315,2.607,3.715811993875,4.498243091594,4.903536043547,2.897767958219,3.129243224758,4.441104662541,4.269044748068,1.994625239743,3.202090220388,4.47,3.302178155343,2.905539076965,4.487302861628,5.380023242416,7.24638320672,4.882851760071,4.421500745439,3.839442025544,2.067625822171,3.225695712456
II,4.149856318312,2.462983226506,4.571571760402,3.41,4.529787064046,4.453573887404,3.113937917144,3.522984805657,4.971082836388,4.910785170406,3.94374193571,2.015,3.110531129561,3.74436022623,5.326131536426,2.851668045011,2.789740585961,4.007959863214,4.2613128756,2.208883891631,2.891178460763,4.709,3.296296686212,2.340254828992,3.778552095183,5.185028341385,7.269681554687,4.855036382072,4.006480242877,3.589659039706,2.280118542129,3.037173070266
III,3.391991329717,2.618694246205,4.767523602003,4.247,4.335601552612,4.018906656093,3.075508671049,3.207071537503,4.835447874394,4.544080574697,3.894955783428,1.744,2.999803213097,3.205688698601,5.543196490231,2.837404793495,2.439999486145,3.689821344501,4.055430191188,1.900856561632,2.855910938235,4.074,2.699426166335,2.352487538688,3.593058660804,5.096450460754,7.302102233892,4.457856915205,4.279199597339,3.361372974549,1.807509686215,2.866281195651
IV,3.869089883401,2.400203182433,4.318779083932,3.929,4.353030685669,3.471626703125,2.799445033759,2.700449023403,4.421946841861,3.940862040079,4.069336465443,1.645,3.194698993565,3.341199908206,4.98460968788,2.343840431223,2.288048327276,3.876985094413,4.442187325398,1.750324939697,2.891629233054,4.663,3.567002138101,2.145742342436,3.084112782038,4.326104185757,7.375921014732,4.355514132162,3.705692061562,3.51221872377,1.955346842176,2.209938306102
2017
I,3.580813171039,3.09737690691,4.830850579233,3.734,4.568646027148,3.402678992934,2.827662186411,2.934468172188,3.963076037915,3.96718766066,3.377637272099,2.07,3.201330549875,2.949930049929,4.274853844429,3.116714815007,2.023186718261,3.35909529408,3.865736088668,2.571854309962,2.669626875054,3.757,3.424689616926,1.999365961866,3.573320846612,3.750362936632,6.855246659131,4.607758869955,3.57895075083,3.571978296505,2.110326751466,2.649188963176
II,4.205338105376,2.866147848175,4.374525290349,4.017,4.631042472553,3.991204463269,2.222807102675,2.492153181832,4.812156988054,3.92808663181,4.311479589377,1.422,3.109679451906,2.608360544777,3.460778348535,2.819287048645,1.668826652339,3.577195065891,3.833095233064,2.376061544796,3.25913925678,4.915,2.941031145768,2.574515575693,3.750072088804,3.811538567714,7.535403319441,3.664854695461,3.836853519373,3.535505632454,2.048863266766,2.990847782146
III,3.150715415026,2.682857757504,4.107215028672,4.027,4.127521660713,3.549564858072,2.914618860594,2.450145160778,4.959914315493,3.549030809331,2.798641235971,1.45,2.237613977105,2.916482427484,4.255660986033,2.374112077139,2.274813008888,3.513649244877,3.778839445175,2.038674775594,2.51983854698,4.125,3.09279650548,2.273979729396,3.528584078711,3.654066600207,6.940157869178,4.003915874906,3.752430344518,3.126272349125,2.073155020514,2.560268534449
IV,3.827139699167,2.93729539844,4.129752763071,3.417,4.154913458635,3.555394477498,2.519568953508,3.078135888678,4.615358243424,3.709345048907,3.717242187716,1.555,3.011771461143,2.954361620016,4.144343744656,2.103077482839,2.334119807332,3.844209390016,3.646131875019,1.750077989761,2.588045106085,4.573,2.975513420065,2.485661613878,3.812686485796,3.734245700519,6.906779855692,4.124544313855,3.741161521398,3.965037865232,1.833934516747,2.823655383446
