NOMBRE,LOCALIZACION,ESTADO,LATITUD,LONGITUD,AREA,ZONA,ANO DE DESCUBRIMIENTO,TIRANTE AGUA,ESTATUS,ASIGNACION,OPERADOR,VIGENCIA,NUM BLOQUES,CAA ORIGINAL,CAA ACTUAL,CGA ORIGINAL,CGA ACTUAL,NP (MMB),GP (MMMPC),MECANISMO DE PRODUCCION,PRODUCCION RECORD (MBPD),PRODUCCION RECORD (MMPCD),PRODUCCION ACEITE (MBPD),PRODUCCION GAS (MMPCD),PRODUCCION AGUA (MBPD),COLUMNA OP ACEITE,PROYECTO IOR/EOR PROPUESTO,PROYECTO IOR/EOR SUGERIDO,VOUMEN DE INYECCION DE GAS (MMPCD),VOUMEN DE INYECCION DE AGUA (MBPD),TIPO TERMINACION,POZOS PERFORADOS,POZOS PRODUCTORES,POZOS INYECTORES,POZOS MONITORES PRODUCTORES,POZOS MONITORES,POZOS CERRADOS CON POSIBILIDADES,POZOS CERRADOS SIN POSIBILIDADES,POZOS TAPONADOS,REPARACIONES MENORES,REPARACIONES MAYORES,SISTEMA ARTIFICIAL,DESCUBRIMIENTO
EXPLORATUS,Se localiza en el area economica exclusva del Golfo de Mexico,Aguas Territoriales del G. de M.,,,,Aguas Profundas,2013,2557,Desarrollo,-,PEMEX,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
KANCHE,"Se ubica en la porcion central de la sonda de Campeche, al occidente de la Peninsula de Yucatan, frente a los estados de Campeche y Tabasco, a 140 km de Ciudad del Carmen dentro del Golfo de Mexico.",Aguas Territoriales del G. de M.,,,,Aguas Profundas,2005,450,Cerrado,-,PEMEX,2070,1,2730,,,,,,,,,,,,,,,,,Agujero entubado,1,,,,,1,,1,,,BEC,
KUNAH,"Se localiza a 131 km al noreste del puerto de Veracruz y a 340 km al noroeste de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,,,,Aguas Profundas,2012,2146,Desarrollo,A-0185-M - Campo Kunah,PEMEX,,2,,,,,,,,,,0.033,9,,,,,,,,2,,,,,,,,,,,
LAKACH,"Se ubica en la plataforma continental del sur del Golfo de Mexico, frente a las costas del estado de Veracruz a 131 km al noroeste de Coatzacoalcos, Veracruz y 98 km al sureste de la ciudad de Veracruz",Aguas Territoriales del G. de M.,19.0516791,-95.26597945,120,Aguas Profundas,2006,1200,Desarrollo,A-0188-M - Campo Lakach,PEMEX,2022,2,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,
LEM,"Se ubica en la porcion central de la sonda de Campeche, al occidente de la Peninsula de Yucatan, frente a los estados de Campeche y Tabasco, a 140 km de Ciudad del Carmen dentro del Golfo de Mexico.",Aguas Territoriales del G. de M.,,,,Aguas Profundas,2006,,Cerrado,-,PEMEX,2070,1,,,,,,,,,,,,,,,,,,Agujero entubado,1,,,,,1,,1,,,BEC,
MAXIMINO,Se localiza en la zona economica exclusiva del Golfo de Mexico,Aguas Territoriales del G. de M.,,,,Aguas Profundas,2012,2919,Desarrollo,-,PEMEX,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
PIKLIS,Se localiza a 103 km al este del puerto de Veracruz y a 33 km al suroeste del campo Kunah.,Aguas Territoriales del G. de M.,,,,Aguas Profundas,2011,1928,Desarrollo,A-0271-M - Campo Piklis,PEMEX,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
SUPREMUS,Se ubica en el sector del cinturon plegado perdido frente a la costa norte del estado de Tamaulipas.,Aguas Territoriales del G. de M.,,,,Aguas Profundas,2012,2874,Desarrollo,-,PEMEX,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
TRION,"Se ubica en el area del cinturon subsalino y en el Golfo de Mexico aproximadamente a 178 km de las costas de Tamaulipas, a 39 km de la frontera con Estados Unidos.",Aguas Territoriales del G. de M.,25.76429049,-95.38528437,,Aguas Profundas,2012,2535,Desarrollo,CNH-A1-TRION/2016,"PEMEX Exploracion y Produccion, y BHP Billiton Petroleo Operaciones de Mexico, S. de R.L. de C.V.",2052,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
ZAZIL-HA,"Se localiza en la porcion central de la sonda de Campeche, al occidente de la Peninsula de Yucatan, frente a los estados de Campeche y Tabasco, a 129 km de Ciudad del Carmen dentro del Golfo de Mexico.",Aguas Territoriales del G. de M.,19.66614457,-92.47690489,9.5,Aguas Profundas,1982,169,Cerrado,AE-0010-2M - Pilar de Akal-Kayab - 01,PEMEX,2070,1,,,,,,,,,,,,,,,,,,Agujero entubado,2,1,,,,,,2,,,BEC,
ABKATUN,"Se encuentra localizado en aguas territoriales del Golfo de Mexico, frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 149 km al noroeste de la Terminal Maritima Dos Bocas, en Paraiso Tabasco y a 78 km al noroeste de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.24912444,-92.18761447,94.72,Aguas Someras,1979,30,Productor,A-0001-M - Campo Abkatun,PEMEX,2034,5,3810,3217,,,,,"Empuje hidraulico, expansion de gas en solucion",510.9046281,379.8450164,12.44275221,14.5769095,0.963784025,255,,Inyeccion de gas,50,,Agujero entubado,128,12,4,0,0,2,29,64,,,BN,
AKAL,"Se ubica aproximadamente 85 km al noroeste de la Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.39910758,-92.05322997,191.87,Aguas Someras,1976,30,Productor,A-0008-M - Campo Akal,PEMEX,2034,2,3200,2603,,2563,,,"Drene gravitacional, Empuje hidraulico, Expansion del Gas libre 
",2104.5,1907.3,51.3,1109.8,29534.8,40,Inyeccion de N2,Doble Desplazamiento/Inyeccion surfactante,1750,,Agujero revestido,466,75,42,30,10,9,33,214,,,BN,
AKPUL,Se localiza a 102 km al noreste de Ciudad del Carmen,Aguas Territoriales del G. de M.,19.00356194,-92.71570363,45.26,Aguas Someras,2003,,Cerrado,AE-0018-2M-Okom-01,PEMEX,,1,,,,,,,"Acuifero activo, Expansion roca-fluido",,,,,,,,,,,Agujero entubado,1,,,,,,,1,,,,
ALAK,"Se ubica a 130 km al noroeste de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.45504109,-92.79056764,11.6,Aguas Someras,1999,,Cerrado,AE-0026-2M-Xulum-Ayan-01,PEMEX,,,,,,,,,,,,0.1342,,,,,,,,Agujero revestido,1,1,,,,,1,1,,,,
ALUX,"Se ubica a 84 km al noreste de la Terminal Maritima Dos Bocas, en el municipio de Paraiso, Tabasco",Aguas Territoriales del G. de M.,19.0491899,-92.7111762,969,Aguas Someras,1992,69.8,Cerrado,AE-0027-2M-Xulum-Ayan-02,PEMEX,2042,1,,,,,,,,14,,100,25,,,,,,,,5,,,,,1,,4,,,BN,
AMOCA,Se localiza a 7.5 km de la linea de costa y a 75 km al oeste de la Terminal Maritima de Dos Bocas en Paraiso Tabasco,Aguas Territoriales del G. de M.,18.33515087,-93.87332561,67,Aguas Someras,2003,22,Desarrollo,CNH-R01-L02-A1-2015,"Eni mexico, S. de R.L. de C.V.",2040,1,,,,,,,,,,,,,,,,,,Agujero entubado,1,,,,,1,,,,,BEC,
ARENQUE,"Se ubica aproximadamente a 31 km al este de la ciudad de Tampico, frente a las costas del estado de Tamaulipas",Aguas Territoriales del G. de M.,22.24371826,-97.52468224,53,Aguas Someras,1970,58,Productor,AE-0390-M - Arenque,PEMEX,2039,2,,,,,,,Expansion roca-fluido,27.6,61.1,3.53,17.48,1.54,110,,,,,,40,13,0,,,13,0,14,,,BN,
ATUN,Se ubica en aguas territoriales del Golfo de Mexico a una distancia de 40 km frente a las costas de Tuxpan en el estado de Veracruz,Aguas Territoriales del G. de M.,20.86299421,-97.01333685,18.5,Aguas Someras,1966,49,Cerrado,A-0031-M - Campo Atun,PEMEX,2034,2,2965,,2825,,,,"Acuifero activo, Expansion de gas",30.47,101.8,0,0,0,,,,,,Agujero entubado,43,0,0,,,5,0,38,,,,
AYATSIL,"Se ubica en la porcion central de la sonda de Campeche, al occidente de la Peninsula de Yucatan, frente a los estados de Campeche y Tabasco, aproximadamente a 200 km de Ciudad del Carmen, Campeche, dentro de las aguas territoriales del Golfo de Mexico",Aguas Territoriales del G. de M.,19.62534572,-92.35402745,63,Aguas Someras,2007,122,Desarrollo,A-0032-M - Campo Ayatsil,PEMEX,2034,5,4228,4228,,,,,Expansion roca-fluido,45.142,5.145,40.811,4.651,0.281,185,,,,,Convencional,12,9,0,0,0,2,1,1,,,BEC,
AYIN,"Se ubica a 84 km al noreste de la Terminal Maritima Dos Bocas, en el municipio de Paraiso, Tabasco",Aguas Territoriales del G. de M.,19.13386365,-92.93100545,969,Aguas Someras,1992,69.8,Cerrado,A-0033 - Campo Ayin,PEMEX,2042,1,,,,,,,,14,,100,25,,,,,,,,5,,,,,1,,4,,,BN,
BACAB,"Se ubica en la porcion central de la sonda de Campeche, al occidente de la Peninsula de Yucatan, frente a los estados de Campeche y Tabasco, aproximadamente a 105 km de Ciudad del Carmen, Campeche, dentro de las aguas territoriales del Golfo de Mexico",Aguas Territoriales del G. de M.,19.56594389,-92.11898652,32.8,Aguas Someras,1977,65,Desarrollo,A-0035-M - Campo Bacab,PEMEX,2034,5,3433,3433,,,,,"Expansion roca-fluido, Empuje hidraulico",20.448,9.19,5.41,1.342,8.481,53,,,,,Convencional,13,6,1,0,0,1,0,5,,,"BN, FL",
BAGRE,"Se ubica en aguas territoriales del Golfo de Mexico, frente a las costas de los estados de Veracruz aproximadamente a 40km al noreste de la Terminal Maritima de Tuxpan, Veracruz",Aguas Territoriales del G. de M.,20.97296529,-97.04742937,14.58,Aguas Someras,1966,49,Productor,A-0037-M - Campo Bagre,PEMEX,,2,,,,,,,Acuifero activo,17.39,17.94,1.6,2.36,1.89,,,,,,"Agujero descubierto, agujero entubado",29,6,0,,,6,1,16,,,,
BAKSHA,"Se localiza en la porcion central de la sonda de Campeche, al occidente de la Peninsula de Yucatan, frente a los estados de Campeche y Tabasco, ubicados entre 120 y 145 km al noreste de Ciudad del Carmen, Campeche dentro de las aguas territoriales del Golfo de Mexico",Aguas Territoriales del G. de M.,19.80226123,-92.34128471,92,Aguas Someras,,93,Desarrollo,"AE-0011-2M - Pilar de Akal-Kayab - 02, AE-0098-2M -Nox-Hux - 02",PEMEX,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BALAM,"Se encuentra ubicado dentro de las aguas territoriales del Golfo de Mexico, frente a las costas del estado de Campeche, aproximadamente a 95 km al noroeste de la Ciudad del Carmen",Aguas Territoriales del G. de M.,19.48528569,-91.95634902,4,Aguas Someras,2007,55,Productor,CNH-MI-EK-BALAM/2017,PEMEX,2039,49,3100,3062,3100,,,,Expansion roca-fluido,7918,3.48,497,0.031,1054,,Inyeccion de agua,,,,"Agujero descubierto, agujero entubado",35,1,0,0,0,2,3,0,,,BEC,
BATAB,"Se encuentra localizado en aguas territoriales del Golfo de Mexico, frente a las costas de los estados de Tabasco y Campeche, aproximadamente a 140 km al noroeste de la Terminal Maritima Dos Bocas, en Paraiso Tabasco y a 79 km al noroeste de Ciudad del Carmen, Campeche",Aguas Territoriales del G. de M.,19.28494048,-92.31680985,9.2,Aguas Someras,1984,46,Productor,A-0042-M - Campo Batab,PEMEX,2034,5,4735,4627,,,,,"Expansion de gas en solucion, empuje hidraulico",17.27332258,25.21770968,0.819903836,0.609992392,0.417574839,40.29,,,,,"Agujero descubierto, agujero entubado",12,3,0,0,0,4,1,4,,,BN,
