pozo,Qi_hist,hidrocarburo_principal,estado_actual,trayectoria,first_oil,ultima_produccion,mes_max,profundidad_total,dias_perforacion,Np,Gp,Cp,Wp,acum_BOE,relacion_gas,corte_agua,Qi_hyp,b,di_hyp,Qi_harm,di_harm,Qi_exp,di_exp,Qi_hyp_gas,b_gas,di_hyp_gas,Qi_harm_gas,di_harm_gas,Qi_exp_gas,di_exp_gas,Qi_hyp_condensado,b_condensado,di_hyp_condensado,Qi_harm_condensado,di_harm_condensado,Qi_exp_condensado,di_exp_condensado,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,RSS_condensado_exponencial,RSS_condensado_hiperbolica,RSS_condensado_harmonica
LACAMANGO-23,0.318054,aceite_Mbd,CERRADO SIN POSIBILIDADES,VERTICAL,1975-04-01,2006-10-01,384.0,2000.0,21.0,1.4149529999999997,1.73267958,0.0,0.4401947699999998,1.70373293,1711.816060330542,0.7616994732013356,0.3180539999999931,0.3437903021064249,0.007399489126763942,0.31805399999999995,0.010769238541955778,0.30293605404354323,0.005677984311887352,0.18978799999971876,1.0481052920124465e-11,0.0019282414823422825,0.18978799999999998,0.002252651635993177,0.18978799999996102,0.001928112656059294,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,0.8447853750422563,0.82537125115238,0.8902760611187139,6.043284452798433,6.04327458984206,6.135771882191234,6.043284452798433,6.04327458984206,6.135771882191234
LACAMANGO-14,0.213853,aceite_Mbd,PROGRAMA TAPONAMIENTO,VERTICAL,1975-07-01,1981-02-01,68.0,2105.0,19.0,0.04262805,0.27754101000000003,0.0,0.0,0.08888488500000002,8858.379767813865,0.0,0.15671943895628662,3.313855975075868e-08,0.0178402016995741,0.15781164368807396,0.029847041580657565,0.15671952165056605,0.017840239446888177,0.5782098249238962,0.2500021238293374,7.840661584108255e-24,0.5782104361994819,6.818332300004219e-15,0.5782104345605368,2.732504097276231e-14,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,0.02574118732304863,0.025741187264858675,0.02700427797210873,1.1351320519953778,1.1351320519999417,1.135132051994297,1.1351320519953778,1.1351320519999417,1.135132051994297
LACAMANGO-45,0.257043,aceite_Mbd,PROGRAMA TAPONAMIENTO,VERTICAL,1975-10-01,1999-07-01,289.0,2007.0,24.0,0.05170893,0.20118224999999998,0.0,0.020248080000000005,0.08523930500000002,20380.306388013345,1.138532319705345,0.18288727154708068,4.3069358516114853e-07,0.029230466993488507,0.1878565348496106,0.08662778054662511,0.18289042876582357,0.029227544087323573,0.13149166657276998,0.9999999999999999,6.199578267223945e-16,0.1314916664840052,1.103874052605044e-15,0.13149166662626172,8.713156711714885e-17,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,0.03808955030709975,0.0380895536374244,0.04493291480089858,1.7214655205053349,1.721465520505344,1.7214655205053522,1.7214655205053349,1.721465520505344,1.7214655205053522
LACAMANGO-43,0.262913,aceite_Mbd,PROGRAMA TAPONAMIENTO,VERTICAL,1975-10-01,1982-09-01,84.0,2000.0,24.0,0.4180884899999998,0.2764127099999999,0.0,0.0,0.4641572749999999,675.1644680507231,0.0,0.26291299999999995,6.054830284370076e-08,0.012042899953062066,0.26291299999999995,0.016042312279996376,0.26291299999999995,0.012042986447249054,0.19274999999999207,9.54388756010322e-09,0.014534662311822644,0.19274999999999998,0.020886768575188994,0.19274999999999998,0.014534597730281066,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,0.16527689818847147,0.16527689912165444,0.19000492802235236,0.0802070606125917,0.08020706047118596,0.08933197286275724,0.0802070606125917,0.08020706047118596,0.08933197286275724
LACAMANGO-21,0.373756,aceite_Mbd,PRODUCTOR,VERTICAL,1975-12-01,2020-02-01,538.0,1950.0,23.0,2.188799976194015,1.5504606908266858,0.0,0.37859242566955514,2.447210091331794,752.973507471789,0.2708384788175516,0.16658425151628659,0.9999999999999564,0.0005260785140325567,0.1665838189467183,0.0005260664576959243,0.16433983405423028,0.0004306127825036541,0.14425320672001146,2.1982159390772353e-06,0.0012585974738851,0.148349887284966,0.0017417778300622129,0.1442542914798637,0.0012586150900984795,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,4.338445830925924,4.335993712835648,4.335993712627481,4.687723757064588,4.687723800339011,4.69958357630227,4.687723757064588,4.687723800339011,4.69958357630227
LACAMANGO-101,0.41884,aceite_Mbd,PROGRAMA TAPONAMIENTO,VERTICAL,1975-12-01,2018-10-01,522.0,3000.0,51.0,1.643312418006452,3.9165042366161327,0.0,0.11947347329032261,2.2960631241091414,3244.3134786655073,0.24859269721025457,0.3770305431295645,0.8970944985621728,0.011622851556476365,0.3816585595343173,0.012659472052941493,0.31963103928560627,0.005298014795788671,0.2224819999999955,4.1846403092357133e-10,5.581295274867128e-13,0.22248199999999999,1.5514164601289355e-17,0.22248199999999993,2.496867538127542e-14,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,1.169266415749652,0.9965491196377183,0.9984307789507497,29.60757969202237,29.607579691995518,29.607579691995188,29.60757969202237,29.607579691995518,29.607579691995188
LACAMANGO-4,0.171711,aceite_Mbd,CERRADO SIN POSIBILIDADES,VERTICAL,1976-05-01,2016-03-01,485.0,1950.0,19.0,1.6593254751056705,4.364936293047841,0.0,0.2689214100000001,2.3868148572803087,3626.703078367866,0.2239649286065968,0.11843864848334507,0.9999999999999999,5.866645508360947e-23,0.11843864913932842,4.227803375534466e-17,0.11843864918665903,1.5807325593024058e-20,0.11300699999999998,0.9999999999999999,2.760582712853174e-17,0.11300699999961739,2.2781166273096224e-12,0.11300699999306431,1.3323630943985081e-12,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,2.2333844389751762,2.2333844389751762,2.2333844389751993,121.80274374447123,121.80274373618204,121.80274374822699,121.80274374447123,121.80274373618204,121.80274374822699
LACAMANGO-22,0.34249,aceite_Mbd,PROGRAMA TAPONAMIENTO,VERTICAL,1976-05-01,2018-09-01,515.0,1950.0,23.0,1.734377031250321,1.5902892837890306,0.0,0.4472929824387095,1.9994252452151597,977.2243304048299,0.5395875197145356,0.24613359406478924,3.0647960810592945e-07,0.0025878652332463337,0.26033918383933874,0.004112998241111011,0.24613279340002422,0.0025878397583701676,0.16997916910075114,2.8890088560620728e-08,0.0008921624375025633,0.16768222944527303,0.0008978483861347981,0.16995573973435266,0.0008916266150088502,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,1.1249256011640973,1.1249256124947566,1.150122432912017,5.071568598607424,5.071568653479695,5.083195306843939,5.071568598607424,5.071568653479695,5.083195306843939
LACAMANGO-117,0.317067,aceite_Mbd,CERRADO SIN POSIBILIDADES,VERTICAL,1976-08-01,2012-07-01,437.0,2050.0,26.0,2.463353159999997,2.9449108800000015,0.0,0.07065293999999998,2.9541716399999975,1288.8127079579378,0.034909673010110324,0.31706699999999877,0.9999999999999999,0.00304795909540369,0.31706699999999993,0.0030479590953432704,0.31706699999999993,0.0022311742236700125,0.17801999999977206,6.022881069100983e-06,1.5026315877107086e-12,0.17801999999999987,8.839231294527552e-16,0.17801999999997667,4.0145352992353863e-14,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,1.5968136963642792,1.5689381291330862,1.5689381291330837,17.192125725616123,17.19212572907635,17.192125725522097,17.192125725616123,17.19212572907635,17.192125725522097
LACAMANGO-41,0.29472800000000005,aceite_Mbd,TAPONADO,VERTICAL,1976-09-01,1986-10-01,123.0,2200.0,33.0,0.16636056000000002,0.15582954,0.0,0.11612966999999998,0.19233214999999995,1050.4225704367977,1.2378584539958124,0.22408061579384184,0.9999999999994034,0.08147299902588714,0.22408088104454707,0.08147324761394702,0.1618904540357775,0.021531707953029396,0.18297071476417082,0.9999999999965141,0.06329692603848461,0.18297067984370458,0.06329689505502359,0.14033910669943336,0.019683152886387292,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,0.1884857526995374,0.1622241326698238,0.16222413267192923,0.11743245304711347,0.10001370187490795,0.10001370187472645,0.11743245304711347,0.10001370187490795,0.10001370187472645
LACAMANGO-34,0.226554,aceite_Mbd,PROGRAMA TAPONAMIENTO,VERTICAL,1976-09-01,1985-07-01,108.0,2000.0,22.0,0.15773769000000004,0.43360914,0.0,0.03427539000000001,0.23000588000000002,3066.7392251029733,0.7386375961702828,0.21026693015189715,0.7002936074494946,0.07424217069871174,0.21582894439255149,0.09617465985821538,0.17615780033905026,0.03557748273058185,0.17304199997086414,3.911785770530232e-11,0.0068570005037990305,0.17304199999999997,0.007672015502582099,0.17304199999999997,0.006868932923921887,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,0.08483178268068331,0.0704814480895926,0.07281684181782988,0.7551445794379289,0.7551436534348454,0.7888970648090674,0.7551445794379289,0.7551436534348454,0.7888970648090674
LACAMANGO-28,0.23787600000000006,aceite_Mbd,PROGRAMA TAPONAMIENTO,VERTICAL,1976-09-01,2017-12-01,502.0,2978.0,42.0,1.0478208967741947,0.9485637687096781,0.0,0.4730121300000001,1.20591485822581,1077.9216186153556,0.9228640992398273,0.09838693777036982,1.1017397986146094e-06,6.791482999701123e-15,0.09838693866424367,1.5600793110056857e-23,0.0983869386621116,9.333310068207962e-19,0.08906702024548259,6.788503817301006e-06,7.602609541761792e-17,0.08906702052562418,3.9179996143430984e-18,0.08906702039630561,4.941648667387315e-16,5e-45,0.5,5.0,5e-45,5.0,5e-45,5.0,1.6566692614365168,1.6566692614365173,1.6566692614365168,1.5100201829127076,1.5100201829126103,1.510020182912611,1.5100201829127076,1.5100201829126103,1.510020182912611
