mes,baja_L,baja_M,baja_H,media_L,media_M,media_H,alta_L,alta_M,alta_H,EUR_baja_L,EUR_baja_M,EUR_baja_H,EUR_media_L,EUR_media_M,EUR_media_H,EUR_alta_L,EUR_alta_M,EUR_alta_H
0,0.00044284428625439987,0.006687250763025,0.011935123065779998,0.0201847387097,0.03434,0.069928,0.150383632258,0.22087619354850002,0.34847819999999996,1.3285328587631995e-05,0.00020061752289075,0.00035805369197339996,0.000605542161291,0.0010302,0.00209784,0.00451150896774,0.006626285806455001,0.010454346
1,0.00011408802716712419,0.00172280702361165,0.0030747933005721385,0.01920240062791319,0.03266876262538152,0.06652478837704365,0.1339318327882557,0.19671258751412696,0.3103550786210611,1.6707969402645723e-05,0.0002523017335990995,0.0004502974909905642,0.0011816141801283956,0.0020102628787614456,0.004093583651311309,0.008529463951387671,0.012527663431878808,0.01976499835863183
2,5.678251070384169e-05,0.0008574546399648118,0.001530348870404077,0.018289773089371325,0.031116122775826913,0.06336308192976192,0.12011905367799214,0.176425046733312,0.27834725749672334,1.841144472376097e-05,0.0002780253727980439,0.0004962079571026864,0.0017303073728095356,0.002943746562036253,0.005994476109204168,0.012133035561727436,0.01782041483387817,0.028115416083533535
3,3.5375841984667446e-05,0.0005341993419527127,0.0009534164507658203,0.01744042618658713,0.029671141344009177,0.06042060488945468,0.10840199234235573,0.1592155946903554,0.2511957624688131,1.9472719983300995e-05,0.00029405135305662526,0.000524810450625661,0.002253520158407149,0.0038338808023565285,0.007807094255887808,0.015385095331998107,0.022596882674588835,0.03565128895759793
4,2.4717533225085892e-05,0.0003732516102163194,0.0006661637286078342,0.016648653738497297,0.02832411048775446,0.057677588764929934,0.09837135132329683,0.14448307510777084,0.2279521442991777,2.0214245980053573e-05,0.0003052489013631149,0.000544795362483896,0.002752979770562068,0.004683604116989162,0.009537421918835706,0.018336235871697013,0.026931374927821956,0.04248985328657326
5,1.8518967316093597e-05,0.0002796490372777199,0.0004991058049730874,0.015909377770233706,0.027066391122877478,0.055116441422264885,0.08971385739260286,0.13176736744485,0.2078904669997277,2.0769814999536378e-05,0.0003136383724814465,0.0005597685366330886,0.00323026110366908,0.005495595850675487,0.011190915161503653,0.0210276515934751,0.030884395951167456,0.04872656729656508
6,1.4542538855184619e-05,0.00021960225540719128,0.00039193684171371946,0.015218067376095512,0.0258902748859456,0.05272146599372172,0.08218631195778085,0.12071127339098113,0.19044717583726514,2.120609116519192e-05,0.00032022644014366225,0.0005715266418845002,0.0036868031249519457,0.0062723040972538545,0.012772559141315306,0.023493240952208522,0.03450573415289689,0.054439982571683046
7,1.1812749548510387e-05,0.00017838057503200867,0.000318366125482121,0.014570669543737265,0.024788866446484425,0.05047862122509502,0.07559749620992857,0.11103394002346893,0.17517916682944926,2.156047365164723e-05,0.00032557785739462255,0.0005810776256489638,0.0041239232112640625,0.007015970090648388,0.014286917778068155,0.02576116583850638,0.03783675235360096,0.05969535757656652
8,9.843264872010583e-06,0.00014864001313589476,0.0002652864251906068,0.013963549966791448,0.023755982812360372,0.04837531642698707,0.0697953203147136,0.10251198516181698,0.16173400805991608,2.185577159780755e-05,0.0003300370577886994,0.0005890362184046822,0.004542829710267806,0.007728649575019199,0.015738177270877767,0.02785502544794779,0.04091211190845547,0.06454737781836402
9,8.367221471898044e-06,0.00012635075106333369,0.00022550549049733354,0.013393442231671215,0.022786066882033242,0.046400235437589414,0.064657544810643,0.09496586940701898,0.14982843873179277,2.210678824196449e-05,0.0003338275803205994,0.0005958013831196022,0.004944632977217943,0.008412231581480197,0.01713018433400545,0.02979475179226708,0.04376108799066604,0.0690422309803178
10,7.2272195430074e-06,0.00010913594440227519,0.00019478122976086291,0.01285740405188153,0.021874112986631472,0.04454318500084931,0.06008498003617836,0.08824990778956725,0.13923261046203056,2.2323604828254713e-05,0.0003371016586526676,0.0006016448200124281,0.00533035509877439,0.009068454971079137,0.018466479884030933,0.031597301193352426,0.04640858522435306,0.07321920929417872
11,6.325030474010668e-06,9.551227412514453e-05,0.000170466277753349,0.012352779454944089,0.021015602559121993,0.04279496376686903,0.0559964332063332,0.08224484828035364,0.12975837833658357,2.251335574247503e-05,0.000339967026876422,0.0006067588083450286,0.005700938482422712,0.009698923047852798,0.019750328797037,0.033277194189542426,0.048875930672763676,0.07711196064427622
12,5.596504982810656e-06,8.45110423194535e-05,0.00015083174330429223,0.011877166014695423,0.020206448387099424,0.04114724877149355,0.052324906769877694,0.076852288121907,0.12125049150995477,2.268125089195935e-05,0.0003425023581460056,0.0006112837606441574,0.006057253462863575,0.010305116499465783,0.02098474626018181,0.034846941392638754,0.05118149931642088,0.08074947538957487
13,4.998155661810834e-06,7.547555947004191e-05,0.0001347055946689313,0.011428386374313555,0.019442946165328902,0.039592496780696554,0.04901470513208157,0.07199042432292616,0.11357988872522332,2.2831195561813673e-05,0.00034476662493010683,0.0006153249284842253,0.0064001050540929815,0.010888404884425648,0.0221725211636027,0.036317382546601204,0.053341212046108664,0.08415687205133156
14,4.499565570281494e-06,6.794650902611026e-05,0.00012126806304328292,0.011004463430037487,0.018721732276171923,0.03812385831706902,0.04601920924671351,0.06759078508682109,0.10663854146178178,2.2966182528922115e-05,0.00034680502020089017,0.0006189629703755239,0.006730238956994107,0.011450056852710805,0.023316236913114772,0.037697958824002606,0.0553689355987133,0.08735602829518502
15,4.078886800858216e-06,6.159397268515779e-05,0.0001099303241583707,0.010603598647708748,0.018039746899836402,0.036735102539655215,0.04329914805459137,0.06359569098439778,0.1003354484064526,2.3088549132947864e-05,0.0003486528393814449,0.0006222608801002749,0.007048346916425369,0.011991249259705898,0.024418289989304426,0.03899693326564035,0.057276806328245236,0.0903660917473786
16,3.720063327628822e-06,5.6175493504947516e-05,0.00010025965109153289,0.01022415306835254,0.017394201699450412,0.035420551439696225,0.04082124358139356,0.05995626493916327,0.09459349579082156,2.320015103277673e-05,0.00035033810418659333,0.000625268669633021,0.007355071508475945,0.012513075310689408,0.025480906532495316,0.040221570573082156,0.05907549427642013,0.09320389662110325
17,3.4110584374141387e-06,5.150930890687071e-05,9.193164165997068e-05,0.009864630628483778,0.016782551444143402,0.03417502205550553,0.0385571399025978,0.056630859142915387,0.08934697552293414,2.3302482785899154e-05,0.0003518833834537994,0.00062802661888282,0.007651010427330459,0.013016551854013712,0.02650615719416048,0.04137828477016009,0.06077442005070759,0.09588430588679128
18,3.142689541664173e-06,4.74567555408662e-05,8.469881536589201e-05,0.009523663478418584,0.016202469031304838,0.03299377560923368,0.036482549798445355,0.05358380170389544,0.08453960776370516,2.339676347214908e-05,0.0003533070861200254,0.0006305675833437968,0.007936720331683017,0.013502625924952858,0.02749597046243749,0.04247276126411345,0.06238193410182445,0.09842049411970243
19,2.9078422432305323e-06,4.391040115764055e-05,7.836943166269736e-05,0.009199999029788441,0.015651823450709937,0.031872472634282015,0.034576569821468804,0.05078439065115541,0.08012295375927646,2.3483998739445996e-05,0.00035462439815475466,0.0006329186662936778,0.00821272030257667,0.013972180628474154,0.028452144641465952,0.04351005835875752,0.06390546582135911,0.10082418273248071
20,2.700928008395824e-06,4.078585508641891e-05,7.279287364113745e-05,0.008892488503451436,0.015128660301248997,0.030807133300691316,0.0328211267284407,0.048206080880622344,0.07605513307908854,2.3565026579697873e-05,0.0003558479738073472,0.0006351024525029119,0.008479494957680214,0.014426040437511624,0.02937635864048669,0.04449469216061074,0.06535164824777777,0.10310583672485336
21,2.517502280343426e-06,3.8016001487873975e-05,6.784935578240632e-05,0.008600076782488801,0.014631184527979197,0.029794102261867482,0.0312005271708998,0.04582582276235911,0.07229978013107777,2.3640551648108176e-05,0.0003569884538519834,0.000637137933176384,0.00873749726115488,0.014864975973351,0.030270181708342715,0.04543070797573773,0.06672642293064855,0.10527483012878569
22,2.3539906470478344e-06,3.554686430250389e-05,6.344254389243991e-05,0.008321793403109696,0.01415774509508299,0.028830017443475926,0.029701089141302782,0.04362352082652703,0.06882519012603605,2.371117136751961e-05,0.00035805485978105853,0.0006390412094931571,0.008987151063248168,0.01528970832620349,0.031135082231646995,0.04632174064997681,0.06803512855544436,0.10733958583256678
23,2.207489254621299e-06,3.3334593356039036e-05,5.9494176029984605e-05,0.008056744539990843,0.01370682135064396,0.02791178227745576,0.028310838592237618,0.04158158817238415,0.06560361606499679,2.3777396045158246e-05,0.0003590548975817397,0.0006408260347740567,0.009228853399447892,0.015700912966722807,0.031972435699970665,0.047171065807743946,0.06928257620061588,0.10930769431451669
24,2.075617166508688e-06,3.1343234882586465e-05,5.5940083430354154e-05,0.007804105862606106,0.01327701087322506,0.02703654095349103,0.02701925834449796,0.039684577676629286,0.06261068689358473,2.383966456015351e-05,0.00035999519462821735,0.0006425042372769674,0.009462976575326076,0.01609922329291956,0.032783531928575395,0.04798164355807888,0.07047311353091476,0.11118601492132422
25,1.9564056677828015e-06,2.9543059943989485e-05,5.2727207138816826e-05,0.007563116156071055,0.012867018619105035,0.02620165631906747,0.025817079202350445,0.037918875193626404,0.05982492346146878,2.3898356730186993e-05,0.000360881486426537,0.0006440860534911318,0.009689870060008208,0.016485233851492708,0.033569581618147416,0.04875615593414939,0.07161067978672356,0.11298076262516829
26,1.8482142415268206e-06,2.7909295615894617e-05,4.981133348501158e-05,0.007333071614445379,0.012475647213557466,0.025404690109191802,0.02469610533438527,0.03627244308325746,0.057227333884131246,2.39538031574328e-05,0.00036171876529501385,0.0006455803934956821,0.00990986220844157,0.016859503267899433,0.034331722321423175,0.04949703909418095,0.07269885307922128,0.11469758264169223
27,1.7496660661788981e-06,2.6421150953661057e-05,4.715535566799208e-05,0.007113320726717208,0.012101788250450902,0.024643385229398095,0.023649067624432064,0.0347346048198523,0.05480107371859249,2.4006293139418162e-05,0.0003625113998236237,0.0006469950541657219,0.010123261830243086,0.01722255691541296,0.035071023878305116,0.05020651112291391,0.07374089122381684,0.11634161485325001
28,1.659597980824718e-06,2.5061061434152303e-05,4.472792526780898e-05,0.006903259686181242,0.01174441448229117,0.02391564985199933,0.022669499971905444,0.033295863308128976,0.05253115931896511,2.4056081078842904e-05,0.0003632632316666483,0.0006483368919237561,0.010330359620828523,0.017574889349881693,0.035788493373865096,0.050886596122071075,0.07473976712306071,0.11791754963281896
29,1.5770212984586369e-06,2.381409720925222e-05,4.2502396121347706e-05,0.006702328262900958,0.011402572798101862,0.023219543116647264,0.02175163451479196,0.03194774699179299,0.05040422504071643,2.4103391717796664e-05,0.0003639776545829258,0.0006496119638073965,0.010531429468715551,0.01791696653382475,0.03648507966736451,0.05153914515751483,0.0756981995328145,0.11942967638404046
30,1.5010908406890803e-06,2.2667495508796702e-05,4.045598977480615e-05,0.0065100060866495,0.011075377899646166,0.022553262252954485,0.020890312528072778,0.030682678985457183,0.04840831676901449,2.4148424443017337e-05,0.00036465767944818966,0.0006508256435006407,0.010726729651315036,0.018249227870814136,0.03716167753495314,0.05216585453335702,0.07661867990237822,0.1208819258871109
31,1.431080265616347e-06,2.1610288074701007e-05,3.8569130543841426e-05,0.006325809294350249,0.010762006597766662,0.021915130965888967,0.020080908365503223,0.02949386536401226,0.0465327156719427,2.4191356850985826e-05,0.00036530598809043067,0.0006519827174169559,0.010916503930145541,0.018572088068747137,0.03781913146392982,0.052768281784322114,0.07750349586329859,0.12227790735726919
32,1.3663622576763403e-06,2.0633002014088614e-05,3.682491160885357e-05,0.006149287501750135,0.010461692660337547,0.021303588944440417,0.019319264300768926,0.028375199460473618,0.04476778721042011,2.423234771871612e-05,0.0003659249781508534,0.0006530874647652215,0.011100982555198048,0.018885938848557268,0.038458239132263025,0.05334785971334518,0.0783547518471128,0.12362094097358178
33,1.306392506308437e-06,1.9727417866248777e-05,3.520866322309709e-05,0.0059800210639932225,0.010173722151718623,0.02071718237115259,0.01860163451341859,0.027321179595233065,0.04310485133896044,2.427153949390537e-05,0.0003665168006868409,0.0006541437246619144,0.011280383187117844,0.019191150513108823,0.039079754603397604,0.05390590874874773,0.07917438723496978,0.12491408651375059
34,1.2506966611053641e-06,1.8886372616502437e-05,3.370760114013857e-05,0.005817618594033983,0.009897429210868204,0.02015455532491531,0.017924636777194955,0.026326838118219873,0.04153607055490182,2.430906039373853e-05,0.00036708339186533595,0.0006551549526961185,0.011454911744938862,0.01948807338943487,0.03968439126314506,0.05444364785206359,0.07996419237851639,0.12616016863039767
35,1.1988596430294606e-06,1.810359828827753e-05,3.231053853980153e-05,0.005661714711535383,0.009632192221576432,0.019614441982248012,0.017285210659962573,0.02538768001497974,0.040054353036709116,2.4345026183029416e-05,0.0003676264998139843,0.0006561242688523126,0.011624763186284923,0.019777039156082164,0.0402728245226125,0.05496220417186247,0.08072582277896578,0.12736179922149893
36,1.150516833893275e-06,1.7373588898256827e-05,3.1007648575326674e-05,0.005511967998117968,0.009377430333760524,0.01909565953346552,0.016680581248092824,0.024499629626808895,0.03865326858388815,2.4379541688046216e-05,0.000368147707480932,0.0006570544983095723,0.011790122226228461,0.02005836206609498,0.04084569430861647,0.05546262160930525,0.08146081166777004,0.1285213972790156
37,1.1053467732390384e-06,1.6691490174276897e-05,2.9790267546530115e-05,0.005368059137631338,0.009132600299535904,0.01859710173983537,0.016108227573778375,0.023658984278323185,0.03732697545481742,2.4412702091243388e-05,0.0003686484521861603,0.0006579482063359683,0.011951164000357402,0.020332340075081057,0.04140360736081153,0.055945868436518595,0.08217058119611974,0.12964120654266012
38,1.0630650726232195e-06,1.6053007656874155e-05,2.865073088331941e-05,0.005229689222566982,0.008897193591941192,0.01811773306631519,0.015565855058998393,0.02286237380448914,0.03607015651220974,2.4444594043422087e-05,0.0003691300424158665,0.0006588077282624679,0.012108054677034411,0.02059925588283929,0.041947139352800984,0.05641284408828855,0.08285645241025441,0.1307233112380264
39,1.0234193189657383e-06,1.545432973638183e-05,2.758223578555087e-05,0.005096578209871035,0.008670733777835093,0.017656583331871065,0.015051371400764357,0.022106725132041302,0.03487796334292103,2.4475296622991057e-05,0.000369593672307958,0.0006596351953360345,0.012260952023330543,0.020859377896174345,0.04247683685275712,0.056864385230311475,0.08351965416421565,0.13176965013831404
40,9.86184785983336e-07,1.489206289264884e-05,2.657872564161164e-05,0.004968463511289075,0.008452774119670665,0.017212742825868675,0.01456286541358432,0.021389231204318737,0.03374596723040749,2.4504882166570558e-05,0.00037004043419473743,0.0006604325571052828,0.012410005928669216,0.021112961119764465,0.04299321913753317,0.05730127119271901,0.08416133110034522,0.13278202915522624
41,9.511608093686043e-07,1.4363176957770853e-05,2.5634792335651166e-05,0.0048450987050186025,0.008242895383648575,0.016785357844722702,0.014098588420541203,0.020707323649382336,0.03267011603298789,2.453341699085162e-05,0.00037047132950347055,0.0006612016008753524,0.012555358889819774,0.021360247981273922,0.04349677987287486,0.05772422884533524,0.08478255080982669,0.1337621326362159
42,9.181677099189166e-07,1.3864958653238553e-05,2.4745593322643405e-05,0.0047262523568890385,0.008040703834207909,0.01637362660799332,0.013656937846966845,0.020058648683198135,0.03164669616609628,2.4560962022149183e-05,0.00037088727826306773,0.0006619439686750317,0.012697146460526446,0.02160146909630016,0.043987988671114656,0.05813393698074425,0.08538431027032263,0.1347115335211988
43,8.870441711967917e-07,1.3394971990820594e-05,2.390678095355316e-05,0.004611706940560134,0.00784582939697557,0.015976795517522065,0.01323644272278723,0.019441045816184284,0.030672299007424818,2.458757334728509e-05,0.00037128912742279233,0.0006626611721036382,0.01283549766874325,0.021836843978209425,0.044467292536640314,0.05853103026242786,0.08596754164480815,0.13563170249142156
44,8.576449959544205e-07,1.2951024393043727e-05,2.3114442008598226e-05,0.004501257847350273,0.007657923974201684,0.015594155727081402,0.012835750843120518,0.018852528995319497,0.029743791144672058,2.4613302697163724e-05,0.0003716776581545837,0.0006633546053638963,0.012970535404163758,0.02206658169743548,0.04493511720845276,0.05891610278772147,0.08653311751466773,0.13652401622576174
45,8.298391795594868e-07,1.2531137600608665e-05,2.2365045774032443e-05,0.004394712477295476,0.007476659898391602,0.015225039993439951,0.012453617373163244,0.01829126986755194,0.028858287970084516,2.4638197872550505e-05,0.00037205359228260193,0.0006640255567371173,0.013102376778482623,0.022290881494387228,0.04539186840825595,0.059289711308916374,0.08708185561069429,0.13738976486486426
46,8.035082498320776e-07,1.2133522602795142e-05,2.1655399298990203e-05,0.004291889403914847,0.007301728511333618,0.014868819782776274,0.012088894714040309,0.017755582895250633,0.0280131301969811,2.4662303120045468e-05,0.0003724175979606858,0.0006646752187160869,0.013231133460600068,0.022509933349727233,0.045837933001739245,0.05965237815033758,0.08761452309755181,0.13823015877077366
47,7.785448316631725e-07,1.1756557962222084e-05,2.098260871043273e-05,0.0041926176059330494,0.007132838857039669,0.014524902609058532,0.011740523472126408,0.017243912092382307,0.02720586293330944,2.468565946499536e-05,0.0003727702946995525,0.0006653046969773999,0.013356911988778059,0.022723918515438424,0.046273680080010995,0.060004593854501374,0.08813184046032327,0.13904633465877297
48,7.548514020080371e-07,1.1398771014398707e-05,2.0344045658900004e-05,0.004096735759897575,0.006969716478285472,0.014192729583388075,0.011407524396189165,0.016754819182177822,0.02643421699789814,2.4708305007055604e-05,0.0003731122578299844,0.0006659150183471668,0.013479814061574986,0.022933010009786987,0.04669946196751264,0.06034681958638705,0.08863448503578861,0.1398393611687099
49,7.323392066979687e-07,1.1058821510843094e-05,1.973731812543875e-05,0.004004091588238914,0.006812102307474851,0.013871773155419376,0.011088991165225366,0.016286973004255446,0.02569609220798741,2.473027518325654e-05,0.0003734440224753097,0.00066650713789093,0.013599936809222153,0.023137373079011234,0.047115615162175224,0.060679489321343816,0.08912309422591626,0.1406102439349495
50,7.109273152739508e-07,1.0735487346425725e-05,1.916024494836728e-05,0.00391454125786463,0.006659751643476653,0.013561535029849605,0.010784083925609922,0.01583914002229835,0.024989542403113237,2.475160300271476e-05,0.0003737660870957025,0.000667081945239381,0.013717373046958092,0.023337165628315535,0.04752246121307072,0.0610030118391121,0.08959826842658522,0.1413599302070429
51,6.905417939360222e-07,1.0427652070340867e-05,1.8610833533384065e-05,0.0038279488248617504,0.006512433206905072,0.01326154424264583,0.010492023489602776,0.0154101758031026,0.024312762001530864,2.477231925653284e-05,0.0003740789166578127,0.0006676402702453825,0.013832211511703944,0.023532538624522686,0.04792030754035009,0.0613177725438002,0.09006057370067828,0.14208931306708883
52,6.711149798949819e-07,1.0134293928322386e-05,1.8087260296576758e-05,0.0037441857213130567,0.00636992826704772,0.012971355383171608,0.010212086118733992,0.01499901735466592,0.023664073911953902,2.4792452705929688e-05,0.0003743829454756624,0.0006681828880542798,0.013944537083343336,0.02372363647253412,0.04830944820184524,0.061624135127362215,0.09051054422131827,0.14279923528444743
53,6.525848430440294e-07,9.854476223450149e-06,1.7587853460796077e-05,0.0036631302806178654,0.006232029834300843,0.012690546949708484,0.009943598825419502,0.014604676225428501,0.02304191864616946,2.481203025122101e-05,0.0003746785797623659,0.0006687105236581035,0.014054430991761872,0.023910597367563142,0.0486901646103365,0.061922443092124795,0.09094868450808113,0.14349049284383253
