,0
Pozos perforados,853
Pozos productores,837
Pozos secos,16
Exito mecanico (%),98.12426729191091
Pozos activos,469
Pozos cerrados,368
EUR por pozo (MMb),0.04829660507421797
EUR maxima (MMb),0.5462403728958122
Produccion media mensual (Mbd),0.016397
Pico de producción mensual (MMb),0.700805
Hidrocarburo principal,aceite_Mbd
Hidrocarburo secundario,gas_asociado_MMpcd
Produccion actual de aceite_Mbd,7.951634819765352
Progduccion actual de gas_asociado_MMpcd,18.812751832795065
Produccion actual de condensado_Mbd,0.0
RGA pc/b,1932.645928165504
Corte de agua %,0.25080788350596855
Gravedad API,N/A
C1,N/A
C2,N/A
C3,N/A
C4,N/A
C5+,N/A
Np,40.424258447120444
Gp,78.95332070903316
Cp,0.0
Wp,11.463713514236293
Gas Equivalente,13.15888678483886
OOIP,577.221834814
FR Aceite,0.07003244854752676
OGIP,404.00689433499997
FR Gas,0.19542567668057062
