pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,hidrocarburo_principal,ultima_produccion,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp,acum_BOE,RGA,corte_agua
MIQUETLA-122,0.06695599999999999,0.03814550736926658,0.9999999999999999,0.0015771768995726208,0.0031495879952633805,1.6750557371566175,0.038145995763127716,0.0015772587172665981,0.0022956774145761853,0.00032804800079458505,0.034375316184810385,0.0008430518069086082,0.001869698581514219,0.0001680386759488317,0.013455556690200002,2020-02-01,658.0,2060.0,VERTICAL,1966-01-01,5e-45,0.5,15.0,5e-45,0.5,10.0,PRODUCTOR,0.17252874800248238,0.17025276487715646,0.1702527649532104,1.2236382048235126,1.2236382048235126,1.2236382048235126,0.38936775273993585,0.32574644287746585,0.0,0.09011172836084193,0.44365882655284644,1019.3644125960313,0.31528984445200214
MIQUETLA-57,0.068985,0.04577773530860309,0.9999999999999757,0.004178474595948392,0.002922634225283152,0.41532570664659485,0.045777748539605895,0.004178477951193265,0.0022015169444833545,0.0004781573495811176,0.040831973276921195,0.002121660768503879,0.0015864671005576551,0.00015378518270645194,0.00266509287694,2019-11-01,653.0,2150.0,VERTICAL,1966-03-01,5e-45,0.5,15.0,5e-45,0.5,10.0,PRODUCTOR,0.10157267673236117,0.0994457546980275,0.09944575469803635,31.535420651981664,31.535420651981664,31.535420651981664,0.35195973383704277,1.55720333202213,0.0,0.1006559094481393,0.6114936225073981,11053.544174057999,0.36999420420319495
MIQUETLA-64,0.102666,0.04223120149711828,0.9999999999999999,0.009305985528715076,0.003247741332176527,0.3018684708949983,0.042231079614955376,0.009305905671979703,0.002529424497284787,0.0013383766260073458,0.03326701098733978,0.0030264991502631793,0.001624081140794984,0.00026569301514618395,0.00516554053433,2020-02-01,656.0,2156.0,VERTICAL,1966-03-01,0.10834069845740515,0.9719714951629669,0.012327582718150777,5e-45,0.5,10.0,PRODUCTOR,0.04394720487007488,0.040529160761472914,0.04052916075989529,0.3016754484434991,0.27964394856840663,0.27965903124020897,0.14595970809778755,0.3150133330140757,0.0,0.042171105049472656,0.19846193026680026,2080.751008915829,0.44402685421910204
MIQUETLA-2,0.015826,0.015825999994940547,4.268337556401214e-06,1.2628778823374591e-12,0.0020309329171167745,95.15265493241432,0.015825999946625858,6.381725465301395e-10,0.002027410810898464,0.00033004473793426083,0.0157641796875,10.0,0.023305477175978494,0.0,0.0161894834521,2020-02-01,632.0,2414.6,VERTICAL,1968-03-01,0.015834999929829664,1.8903761632715899e-06,3.945135713045934e-13,5e-45,0.5,10.0,PRODUCTOR,0.17815164737921785,0.07864336464252601,0.0786433669695676,0.4386569525411239,0.25112336943927616,0.25112336947482705,0.17289077367712682,0.2560279419039619,0.0,0.020630419696329998,0.21556209732778736,1829.6167851655237,0.14274338201637468
MIQUETLA-3,0.214692,0.20169872252983537,0.9999999999998138,0.02657533834035174,0.01907246648456928,0.11982931986322089,0.2016928090356973,0.0265742690203222,0.018668692827378656,0.0031489124808488367,0.2146395849609375,10.0,0.031126066863521776,0.0,0.0152584808478,2020-02-01,631.0,2100.4,VERTICAL,1968-04-01,0.010593999999999682,5.139175380808325e-07,3.9430976986719126e-19,5e-45,0.5,10.0,PRODUCTOR,0.45147572989087165,0.16997518037813963,0.1699751803791283,6.655455407389809,6.070612182182837,6.0706121920859335,0.3239930036133431,0.9024469307223516,0.0,0.021140492323695467,0.47440082540040185,3605.261393036768,0.05639931965269357
MIQUETLA-4,0.259708,0.25970799999999983,0.4416367225407458,0.025047798916051835,0.011605193519045808,0.07786450409972225,0.259707999177131,0.060979950683130855,0.012165106169597225,0.004252705321579289,0.2596445947265625,10.0,0.021540616886039858,0.0,0.00155395935203,2019-05-01,621.0,2100.0,VERTICAL,1968-05-01,0.08828699928976971,9.71393956266017e-10,0.005038216293045662,5e-45,0.5,10.0,INACTIVO,0.11878353301277325,0.03438151974550178,0.037927516774591996,0.41931103144116544,0.20463371664539343,0.2198879302767732,0.122207626771312,0.18367046501084733,0.0,0.017617583917349855,0.1528193709397866,1892.6520660416202,0.15357589783448056
MIQUETLA-5,0.208192,0.03100597883030393,1.138679647239016e-06,4.222493799067584e-18,0.004215965043502965,0.0,0.031005978802074455,2.7245251206084257e-16,0.004209558159768323,0.0004424217698898437,0.20814117187499998,10.0,0.04157766096529456,0.0,0.003903,2009-10-01,503.0,2244.0,VERTICAL,1968-06-01,0.02482235649608859,0.9999999999999999,1.6542696516078224e-19,5e-45,0.5,10.0,INACTIVO,0.5687429222524983,0.293873118700852,0.29387311870086175,0.5876933184417131,0.3837478693679336,0.3837478693685058,0.30788936999999983,0.24648599999999996,0.0,0.3287812200000001,0.3489703699999998,1122.77373609274,0.6514577500523998
MIQUETLA-6,0.319157,0.3191569999991556,0.18628664742017773,0.01701227030441836,0.014787976346904841,0.07763649394896377,0.31915699980065976,0.052553838153258044,0.016682437669477742,0.0039633268415003855,0.3190790808105469,10.0,0.03491977558715076,0.0,0.001258,1995-11-01,333.0,2335.0,VERTICAL,1968-07-01,0.3288248020936417,3.3080419692746205e-09,0.007824776741581715,5e-45,0.5,10.0,INACTIVO,0.2011994699644001,0.03594749154332737,0.045975463099782024,2.011882358407374,0.8291875069020505,0.9876803807270791,0.1467423,0.34801235999999974,0.0,0.013466549999999999,0.20474435999999996,2067.7920951240403,0.06570822522389991
MIQUETLA-7,0.197216,0.197119703125,0.5,10.0,inf,inf,0.19711970312500002,10.0,inf,inf,0.19711970312500002,10.0,inf,inf,0.197216,1968-08-01,0.0,2095.0,VERTICAL,1968-08-01,5e-45,0.5,15.0,5e-45,0.5,10.0,INACTIVO,9.273088134762707e-09,9.273088134768052e-09,9.273088134762707e-09,2.5e-89,2.5e-89,2.5e-89,0.00591648,0.0,0.0,0.00699993,0.00591648,0.0,1.1831240872951485
MIQUETLA-8,0.16206700000000002,0.1620616742549818,0.9999999999999999,0.045916697371026334,0.006465862212358873,0.4604693680531414,0.16206174510475374,0.045916718646642755,0.00643090907801406,0.004252585048879366,0.16198786572265628,10.0,0.010705553760234044,0.0,0.0045444301143400005,2018-04-01,604.0,2220.1,VERTICAL,1968-09-01,0.007549999999999162,8.001118170786192e-11,1.0529041269255868e-19,5e-45,0.5,10.0,INACTIVO,0.0106586259621333,0.003846279664237242,0.00384627966408637,1.5035239738109905,1.448158110243787,1.4481581102437862,0.02857332665743039,0.12075714752593199,0.0,0.02949757453052551,0.04869951791175237,6919.422330153866,0.9381558525849832
