pozo,Qi_hist,ultima_produccion,ultima_fecha,mes_max,profundidad_total,trayectoria,first_oil,estado_actual,dias_perforacion,Np,Gp,Cp,Wp,acum_BOE,RGA,corte_agua,tipo
COAPECHACA-1,0.054173,0.016750009816700002,2020-02-01,607.0,2888.0,VERTICAL,1970-04-01,INACTIVO,80.0,0.32053734366152353,0.30602187512386514,0.0,0.06275419211107018,0.3715409895155009,1180.0679275950665,0.20445813235960505,MEDIA
COAPECHACA-2,0.092775,0.00245413795091,2020-02-01,597.0,2275.7,VERTICAL,1971-02-01,PRODUCTOR,72.0,0.3017247935711448,0.23113848819708682,0.0,0.05303046048057853,0.3402478749373262,958.8793579522717,0.28549221453674334,MEDIA
COAPECHACA-3,0.064724,0.004294,2014-02-01,510.0,1915.0,VERTICAL,1972-03-01,INACTIVO,55.0,0.27640292999999927,0.16798817999999985,0.0,0.017555550000000014,0.3044009599999998,679.646748105346,0.12781423046015702,MEDIA
GASPAR-1,0.052753,0.000206230016323,2020-02-01,574.0,3196.0,VERTICAL,1972-12-01,INACTIVO,150.0,0.07558116464610908,0.10767555868986566,0.0,0.0038401799999999995,0.09352709109442002,1284.6133825162888,0.05359152565929747,MEDIA
COATZINTLA-1,0.00996779039181,0.0009967790391810002,2019-09-01,2.0,2311.5,VERTICAL,2019-07-01,INACTIVO,161.0,0.00061832454591783,0.0025047632894172,0.0,0.0,0.0010357850941540298,4050.8876866591386,0.0,BAJA
MIRANDA-1,0.034429044133,0.0152008747049,2020-02-01,23.0,1960.0,VERTICAL,2018-03-01,PRODUCTOR,37.0,0.013620957390386998,0.028401132688038,0.0,0.008736524754760205,0.018354479505060004,2030.5892968735013,0.6414024927586274,MEDIA
ARIEL-1,0.00880765255485,0.0008180460557010001,2020-02-01,23.0,2047.0,VERTICAL,2018-03-01,INACTIVO,38.0,0.00397515273847533,0.0078475147838355,0.0,0.00113873051455101,0.00528307186911458,2486.6778111013055,0.3074432655000281,BAJA
TAJIN-367,0.00026580778557900003,0.000206230016323,2020-02-01,5.0,2030.85,VERTICAL,2019-09-01,INACTIVO,29.0,1.994887967646e-05,2.7203466331619997e-05,0.0,0.0,2.448279073173e-05,1410.6756234587453,0.0,BAJA
ENCELADO-1,0.145274,0.000321541625542,2019-12-01,492.0,2030.0,VERTICAL,1979-07-01,INACTIVO,41.0,0.19237951247200807,0.1532307760984524,0.0,0.04316660799286369,0.21791797515508332,904.1274974491038,0.20558412206594318,ALTA
JANO-1,0.014467,0.006376,2014-02-01,420.0,2000.0,VERTICAL,1979-08-01,INACTIVO,38.0,0.033862710000000004,0.018154439999999994,0.0,0.00235125,0.03688844999999998,507.3572312410965,0.06284544985372899,BAJA
TAJIN-365,0.0221648955515,0.00111707974151,2020-02-01,23.0,2100.0,DIRECCIONAL,2018-03-01,PRODUCTOR,60.0,0.009581108521087829,0.022112094580604404,0.0,0.0020493691802925605,0.01326645761785523,2733.5140876678206,0.2769759178214147,MEDIA
TAJIN-446,0.0239483742641,0.0183407290545,2020-02-01,23.0,2080.0,VERTICAL,2018-03-01,PRODUCTOR,36.0,0.013829985406955998,0.027403156058829013,0.0,0.0034687020040752,0.0183971780834275,2111.5777821001775,0.25081083353990385,MEDIA
TAJIN-168,0.0259162073702,0.0148692011479,2020-02-01,23.0,2124.0,VERTICAL,2018-03-01,PRODUCTOR,37.0,0.0124738336021401,0.06418182676621799,0.0,0.0053631456068024995,0.023170804729843102,5884.777022640749,0.4299520441232257,MEDIA
TAJIN-659,0.0272586397536,0.0013290387189100002,2019-11-01,20.0,2048.0,DIRECCIONAL,2018-03-01,PRODUCTOR,48.0,0.0045750041769096,0.0305380337988723,0.0,0.0,0.009664676476721649,5898.699612866622,0.0,MEDIA
TAJIN-347,0.00017873268081300002,0.00017873268081300002,2020-02-01,1.0,2000.0,VERTICAL,2020-01-01,INACTIVO,50.0,1.0378026627870002e-05,1.9718689865640003e-05,0.0,5.6062393684529994e-06,1.366447493881e-05,1900.0423271881846,0.5402028313742364,BAJA
TAJIN-631,0.0258197446399,0.017582833825599997,2020-02-01,23.0,1906.0,VERTICAL,2018-03-01,PRODUCTOR,48.0,0.011579846863030796,0.012041665896161702,0.0,0.006254920548389101,0.01358679117905775,1004.3975184583682,0.5401570525416948,MEDIA
TAJIN-349,0.0294949588105,0.0007905487201910003,2020-02-01,23.0,2020.0,DIRECCIONAL,2018-03-01,PRODUCTOR,43.0,0.010627017200064393,0.028429573140251102,0.0,0.0035150128433953957,0.015365279390106243,2800.1255231294717,0.28898626194483185,MEDIA
TAJIN-699,0.0208990946911,0.0191888825199,2020-02-01,20.0,2100.0,DIRECCIONAL,2018-06-01,PRODUCTOR,56.0,0.010706118526616997,0.014154387477165005,0.0,0.0,0.013065183106144502,1321.5026301358205,0.0,MEDIA
TAJIN-655,0.0294531601951,0.006051872290060001,2019-02-01,11.0,1996.0,DIRECCIONAL,2018-03-01,INACTIVO,59.0,0.006571571317863,0.014627933995234502,0.0,0.0,0.009009560317068753,2036.890259964691,0.0,MEDIA
TAJIN-381,0.0241799245375,0.0014092392015399998,2020-02-01,23.0,1975.0,VERTICAL,2018-03-01,INACTIVO,34.0,0.0068849253088564795,0.018704068172883302,0.0,0.00175295131241631,0.010002270004337028,2490.45483003596,0.23478128993080027,MEDIA
TAJIN-387,0.0279097641947,0.0157803799158,2020-02-01,23.0,2031.0,VERTICAL,2018-03-01,PRODUCTOR,44.0,0.0134505353631867,0.023468531736375003,0.0,0.006902490719889902,0.0173619573192492,1942.4112381136158,0.5382124661877065,MEDIA
TAJIN-389,0.0110607587959,0.00371521207992,2019-04-01,13.0,2040.0,DIRECCIONAL,2018-03-01,INACTIVO,49.0,0.003074723356977,0.014245604125449509,0.0,0.0006291234903957001,0.005448990711218585,3849.1314750407682,0.20461225359129756,BAJA
TAJIN-343,0.026816565422,0.0127433023435,2020-02-01,12.0,2042.0,VERTICAL,2019-02-01,PRODUCTOR,81.0,0.007243137651890999,0.004383236551980921,0.0,0.0024194509420155,0.007973677077221155,638.1046699182789,0.3338477226689391,MEDIA
ABEDUL-1,0.017275,0.018408,2013-08-01,392.0,1851.0,VERTICAL,1981-06-01,INACTIVO,39.0,0.017479379999999996,0.04126005,0.0,0.00175875,0.024356055,2654.5460107707086,0.30098989874707816,MEDIA
TAJIN-341,0.032475644518,0.0162237204572,2020-02-01,23.0,2000.0,VERTICAL,2018-03-01,PRODUCTOR,69.0,0.015270438147428995,0.0276504160773879,0.0,0.0071516649508295985,0.01987884082699365,1874.6651656050055,0.48086060732738956,MEDIA
TAJIN-342,0.00029469282821599995,0.00029469282821599995,2019-10-01,0.0,2021.0,DIRECCIONAL,2019-10-01,PRODUCTOR,59.0,8.840784846479999e-06,6.671490061109999e-05,0.0,1.3872582012179999e-05,1.9959934948329995e-05,7546.264474207045,1.56915729237585,BAJA
TAJIN-345A,0.000173233213711,0.000173233213711,2020-02-01,1.0,1940.0,VERTICAL,2020-01-01,INACTIVO,40.0,1.005870273162e-05,1.9718689865640003e-05,0.0,1.793993827314e-05,1.334515104256e-05,1960.3611312274627,1.7835240539263646,BAJA
TAJIN-671,0.0212377857791,0.0006366523214970001,2019-12-01,21.0,1915.0,VERTICAL,2018-03-01,PRODUCTOR,25.0,0.010280914483357714,0.026553149667904802,0.0,0.00258160438982001,0.01470643942800851,2688.1788962744063,0.2589247841604861,MEDIA
TAJIN-672,0.0209693857816,0.015639427480000002,2020-02-01,23.0,2000.0,DIRECCIONAL,2018-03-01,PRODUCTOR,31.0,0.010997411926394102,0.014354447661028204,0.0,0.004412544577489201,0.0133898198698988,1280.836411180618,0.4012427569296692,MEDIA
