mes,baja_L,baja_M,baja_H,media_L,media_M,media_H,alta_L,alta_M,alta_H,EUR_baja_L,EUR_baja_M,EUR_baja_H,EUR_media_L,EUR_media_M,EUR_media_H,EUR_alta_L,EUR_alta_M,EUR_alta_H
0,0.0155422,0.023476999999999998,0.032121651403360006,0.08030659999999999,0.116828,0.16532000000000002,0.24998500000000004,0.2748965,0.3437880000000001,0.000466266,0.00070431,0.0009636495421008002,0.002409198,0.0035048400000000004,0.004959600000000001,0.007499550000000001,0.008246895,0.010313640000000002
1,0.007747658528986323,0.011703090893503614,0.01601237832870299,0.04469877745059795,0.06502664503289217,0.09201736704247042,0.1361608573764701,0.14972955629254076,0.1872531105295994,0.0006986957558695896,0.0010554027268051085,0.0014440208919618898,0.0037501613235179387,0.005455639350986765,0.0077201210112741135,0.011584375721294103,0.012738781688776223,0.015931233315887982
2,0.004602281888529912,0.006951896893426717,0.009511709698971521,0.029326080211353547,0.04266283591799444,0.06037097300272916,0.08912658481985354,0.09800822538924682,0.12256995556552519,0.000836764212525487,0.00126395963360791,0.0017293721829310354,0.004629943729858545,0.006735524428526598,0.009531250201355987,0.01425817326588971,0.01567902845045363,0.019608331982853743
3,0.003035157250699504,0.004584704017106474,0.006272874056526747,0.02109615017092137,0.030690142929328375,0.043428753629922344,0.06434917278485512,0.07076169520752014,0.08849520336564104,0.0009278189300464722,0.0014015007541211045,0.001917558404626838,0.005262828234986186,0.00765622871640645,0.010834112810253657,0.016188648449435364,0.017801879306679234,0.02226318808382297
4,0.00214574515212225,0.003241218034536555,0.004434692500220084,0.01609771213086187,0.023418542346760177,0.03313891721818736,0.049386924204054744,0.05430842894357634,0.06791860270921685,0.0009921912846101396,0.0014987372951572012,0.0020505991796334402,0.005745759598912042,0.008358784986809255,0.011828280326799279,0.01767025617555701,0.019431132174986522,0.024300746165099477
5,0.0015940796327227808,0.002407909275226977,0.0032945445478450484,0.01279804508253404,0.018618270614149855,0.026346188396028817,0.03951989279338313,0.04345812832480446,0.05434912056184011,0.0010400136735918232,0.0015709745734140107,0.0021494355160687918,0.006129700951388063,0.00891733310523375,0.012618665978680143,0.0188558529593585,0.020734876024730658,0.02593121978195468
6,0.0012290842816085527,0.001856571893253464,0.002540194878407117,0.010486731415479102,0.015255830253149713,0.02158809409945142,0.032598958955247295,0.03584750973234849,0.04483121347803492,0.0010768862020400798,0.0016266717302116146,0.002225641362421005,0.006444302893852436,0.00937500801282824,0.013266308801663683,0.01983382172801592,0.021810301316701114,0.027276156186295725
7,0.0009754422426650359,0.001473437321038659,0.002015983302428098,0.008794231993958294,0.012793625124088924,0.018103897229383208,0.027517637739706717,0.030259824801141214,0.0378432051653431,0.0011061494693200306,0.0016708748498427744,0.002286120861493848,0.006708129853671185,0.00975881676655091,0.013809425718545182,0.02065935086020712,0.022718096060735347,0.02841145234125602
8,0.0007922419691479602,0.0011967073329185482,0.0016373563819846784,0.007511357975697242,0.010927332617552698,0.015462959464630159,0.023653293616150938,0.0260103911376772,0.03252882575238234,0.0011299167283944696,0.0017067760698303307,0.0023352415529533884,0.006933470592942102,0.01008663674507749,0.014273314502484086,0.02136894966869165,0.023498407794865665,0.029387317113827492
9,0.0006557295252138504,0.0009905008340804753,0.001355220961241656,0.006511757867067867,0.00947313979291621,0.0134051723094199,0.020631092445366615,0.022687021638929227,0.028372590393854428,0.0011495886141508853,0.001736491094852745,0.002375898181790638,0.0071288233289541385,0.010370830938864975,0.014675469671766682,0.02198788244205265,0.024179018444033543,0.030238494825643128
10,0.0005513576318113718,0.0008328436850661795,0.0011395116294750421,0.005715090194571262,0.008314167917099857,0.011765143972805737,0.01821307185561349,0.02002804051185732,0.02504724502309199,0.0011661293431052262,0.0017614764054047303,0.002410083530674889,0.007300276034791276,0.010620255976377972,0.015028423990950855,0.022534274597721053,0.024779859659389263,0.03098991217633589
11,0.00046981954814359096,0.0007096777503678427,0.0009709937941830977,0.005068090362738385,0.007372929010791145,0.01043322340589578,0.016241536994226032,0.017860038299631002,0.02233592223601808,0.0011802239295495341,0.0017827667379157657,0.002439213344500382,0.007452318745673427,0.010841443846701706,0.01534142069312773,0.023021520707547836,0.025315660808378194,0.031659989843416426
12,0.0004049401175075541,0.0006116752543864348,0.000836905025917392,0.0045342003998317835,0.0065962394661403636,0.009334151988755477,0.014608215902280593,0.016063953528336804,0.020089722697814835,0.0011923721330747605,0.0018011169955473587,0.002464320495277904,0.007588344757668381,0.011039331030685917,0.015621445252790392,0.023459767184616256,0.025797579414228295,0.03226268152435088
13,0.00035249341507056744,0.0005324527998360406,0.0007285114463124045,0.004087585141977778,0.0059465149435660326,0.008414745184975661,0.013236523922405213,0.014555569727925531,0.01820332454441604,0.0012029469355268776,0.00181709057954244,0.0024861758386672764,0.007710972311927714,0.011217726478992896,0.01587388760833966,0.02385686290228841,0.02623424650606606,0.03280878126068335
14,0.00030950966660525225,0.0004675244458887098,0.0006396753108738845,0.003709525476141028,0.00539652335333091,0.007636467634237222,0.012070898273560945,0.013273787176262358,0.01660031592163918,0.001212232225525035,0.0018311163129191013,0.002505366097993493,0.007822258076211943,0.011379622179592824,0.016102981637366776,0.024218989850495237,0.026632460121353934,0.03330679073833253
15,0.00027385319828105147,0.0004136641875696005,0.0005659827418820478,0.0033861621630144963,0.00492610262644238,0.006970788562702899,0.011070135960509823,0.012173296918088237,0.015224033048349907,0.0012204478214734667,0.0018435262385461892,0.0025223455802499545,0.007923842941102379,0.011527405258386095,0.016312105294247866,0.02455109392931053,0.02699765902889658,0.03376351172978303
16,0.0002439568218929004,0.0003685047359820117,0.0005041947723176468,0.0031070386548584356,0.00452004084309137,0.006396182012701281,0.010203094300436576,0.011219852840610287,0.014031647432279897,0.0012277665261302534,0.0018545813806256494,0.0025374714234194834,0.008017054100748133,0.011663006483678837,0.016503990754628904,0.02485718675832363,0.02733425461411489,0.03418446115275142
17,0.00021864978937196727,0.0003302776379846917,0.0004518917729552072,0.0028641333861235373,0.004166668433653531,0.0058961347061629215,0.009445836419212974,0.010387132712819486,0.01299024025796904,0.0012343260198114125,0.0018644897097651902,0.00255102817660814,0.008102978102331838,0.011788006536688442,0.01668087479581379,0.025140561850900016,0.027645868595499473,0.034574168360490494
18,0.00019704348994143014,0.0002976406180177166,0.000407237218360341,0.002651201202314028,0.0038569001061425,0.0054577903032447545,0.008779688385368382,0.009654601709016218,0.012074130490345523,0.0012402373245096554,0.0018734189283057217,0.00256324529315895,0.00818251413840126,0.011903713539872718,0.016844608504911138,0.025403952502461066,0.02793550664676996,0.034936392275200866
19,0.00017845377823428492,0.0002695602521912153,0.00036881715947898066,0.0024633153485122575,0.0035835685427597487,0.005071006535154601,0.008189887436802129,0.009006025928639222,0.011263015869445489,0.0012455909378566838,0.0018815057358714585,0.002574309807943319,0.008256413598856626,0.01201122059615551,0.016996738700965776,0.025649649125565135,0.028205687424629134,0.03527428275128423
20,0.00016234711871911044,0.00024523061768401866,0.0003355289182892491,0.0022965427167372095,0.003340951958008118,0.004727686664993856,0.0076646228630640155,0.008428417700567141,0.010540653898622125,0.0012504613514182571,0.0018888626544019788,0.002584375675491997,0.008325309880358742,0.012111449154895754,0.01713856930091559,0.025879587811457053,0.02845853995564615,0.0355905023682429
21,0.00014830255966524942,0.000224015853177868,0.0003065024979599503,0.0021477095445557918,0.003124433242988298,0.004421297152487636,0.0071943434280743465,0.007911273989141905,0.009893909388366597,0.0012549104282082147,0.001895583129997315,0.002593570750430795,0.008389741166695415,0.012205182152185402,0.01727120821549022,0.026095418114299284,0.028695878175320405,0.03588731964989389
22,0.00013598443930015945,0.00020540893061792042,0.00028104417363572016,0.002014229698738875,0.002930250156827276,0.004146514156937424,0.0067712492756454214,0.007446017667069868,0.009312055707244788,0.0012589899613872193,0.0019017453979158524,0.002602002075639867,0.008450168057657581,0.012293089656890221,0.01739560364019834,0.026298555592568648,0.028919258705332504,0.036166681321111234
23,0.00012512250041398407,0.0001890016176744028,0.00025859539453968963,0.001893977021443515,0.0027553096191496465,0.0038989607477472833,0.0063889137848613916,0.007025581687941873,0.008786254744364376,0.001262743636399639,0.0019074154464460847,0.0026097599374760574,0.008506987368300887,0.01237574894546471,0.01751257246263076,0.026490223006114488,0.029130026155970757,0.03643026896344217
24,0.00011549720356061108,0.00017446229285380873,0.00023870243021173704,0.0017851891920134353,0.002597047850669131,0.003675008993328832,0.006041998433813489,0.006644095535575373,0.008309164780142297,0.0012662085525064573,0.001912649315231699,0.0026169210103824097,0.008560543044061291,0.012453660380984782,0.017622822732430626,0.02667148295912889,0.029329349022038015,0.03667954390684644
25,0.00010692874328732118,0.00016151935415555321,0.00022099366993570422,0.0016863944576472356,0.002453323782827454,0.0034716291280945904,0.005726035207296098,0.006296645948206778,0.007874641245858396,0.0012694164148050768,0.0019174948958563655,0.002623550820480481,0.008611134877790708,0.012527260094469608,0.017726971606273467,0.026843264015347774,0.029518248400484223,0.03691578314422219
26,9.926873864641721e-05,0.00014994866731877962,0.00020516244920612688,0.0015963551793992772,0.002322336929951695,0.0032862733356696532,0.005437258713941984,0.005979092305766954,0.007477505845345468,0.0012723944769644693,0.0019219933558759289,0.0026297056939566647,0.008659025533172684,0.012596930202368158,0.017825559806343556,0.027006381776766033,0.029697621169657233,0.03714010831958256
27,9.239387969808462e-05,0.00013956396865771463,0.00019095391871587388,0.0015140238937469696,0.002202563468739444,0.0031167852967782113,0.0051724753384071636,0.005687922742822348,0.007113366608557802,0.0012751662933554117,0.0019261802749356604,0.002635434311518141,0.008704446249985094,0.012663007106430342,0.0179190633652469,0.02716155603691825,0.029868258851941904,0.03735350931783929
28,8.620102151849987e-05,0.00013020945440090986,0.00017815490495752128,0.0014385087946812741,0.0020927060224816382,0.0029613291303169143,0.004928960299525774,0.005420140948371248,0.0067784763223928115,0.001277752324000967,0.0019300865585676879,0.0026407789586668667,0.008747601513825533,0.012725788287104791,0.01800790323915641,0.02730942484590402,0.030030863080393037,0.03755686360751108
29,8.060336112842007e-05,0.00012175400581718919,0.00016658600893736073,0.0013690463808482024,0.001991653868819422,0.0028183330844765548,0.0047043759568570626,0.005173176331476517,0.0064696201830348864,0.0012801704248348194,0.0019337391787422038,0.0026457765389349876,0.00878867290525098,0.012785537903169374,0.018092453231690706,0.02745055612460973,0.030186058370337335,0.03775095221300213
30,7.552743282059157e-05,0.00011408665055970377,0.00015609539630513915,0.001304979605216724,0.00189845115243653,0.002686444555421707,0.004496706454293648,0.004944812151980053,0.006184025915589755,0.0012824362478194371,0.0019371617782589948,0.0026504594008241416,0.008827822293407483,0.01284249143774247,0.018173046568353352,0.02758545731823854,0.030334402734896734,0.03793647299046982
31,7.091072783710609e-05,0.00010711296711094565,0.00014655387785140187,0.0012457402887313322,0.0018122713008881474,0.0025644938838534303,0.004304205038696297,0.004733127589335266,0.005919291324852782,0.0012845635696545504,0.001940375167272323,0.0026548560171596835,0.00886519450206942,0.012896859576769113,0.018249981384868955,0.027714583469399433,0.03047639656257679,0.0381140517302154
32,6.66997945737874e-05,0.00010075221507951297,0.0001378509831281879,0.001190834866084463,0.0017323962879130191,0.00245146501110847,0.004125351295714522,0.004536450716892561,0.005673325484533489,0.0012865645634917637,0.0019433977337247085,0.002658991546653529,0.008900919548051956,0.012948831465406502,0.01832352533520221,0.027838344008270868,0.03061249008408357,0.03828425149475141
33,6.284871168408961e-05,9.493502877374963e-05,0.00012989180475522162,0.001139832755967006,0.001658199714769563,0.002346471538036294,0.003958816206490233,0.004353320076434355,0.00544430068202838,0.0012884500248422864,0.001946245784587921,0.0026628883007961857,0.008935114530730965,0.01299857745684959,0.018393919481343297,0.027957108494465574,0.030743089686376596,0.038447580515212264
34,5.931785281156654e-05,8.960155128985262e-05,0.00012259444544588015,0.001092356813748912,0.0015891329210383446,0.002248737070788331,0.0038034334178622627,0.004182453085398617,0.00523061290821462,0.0012902295604266336,0.0019489338311266167,0.002666566134159562,0.008967885235143434,0.01304625144448074,0.018461381593466945,0.028071211497001442,0.030868563278938554,0.0386044989024587
35,5.607288106007178e-05,8.469991562631448e-05,0.00011588793984080074,0.0010480754479941295,0.0015247135159284317,0.0021575789917938197,0.0036581754834733543,0.004022719910365152,0.005030849183400354,0.0012919117468584355,0.0019514748285954062,0.0026700427723547865,0.008999327498583258,0.013091992849958593,0.01852610896322076,0.02818095676150564,0.03098924487624951,0.038755424377960715
36,5.3083925692230856e-05,8.0185001060114e-05,0.00010971055295953633,0.0010066960750673489,0.0014645158562056949,0.002072394985345341,0.003522134107777474,0.003873121742339141,0.004843760388201702,0.0012935042646292025,0.0019538803786272097,0.002673334088943572,0.009029528380835278,0.013135928325644764,0.018588280812781122,0.028286620784738963,0.031105438528519682,0.038900737189606766
37,5.0324904311161166e-05,7.601740928009744e-05,0.00010400837932793092,0.000967959656512614,0.0014081630993100901,0.0019926517921897502,0.003394503633388016,0.003732772638580909,0.004668238554774084,0.0012950140117585374,0.001956160900905613,0.0026764543403234105,0.009058567170530657,0.013178173218624068,0.018648060366546815,0.028388455893740606,0.03121742170767711,0.03904078434624998
38,4.7772961903407454e-05,7.216261704303745e-05,9.873418362698023e-05,0.000931636117715467,0.0013553205385418209,0.0019178757783385307,0.003274567171686289,0.0036008842711021047,0.004503297793146332,0.0012964472006156396,0.001958325779416904,0.00267941636583222,0.009086516254062121,0.013218832834780323,0.018705596639896974,0.028486692908891192,0.031325448235810176,0.03917588328004437
39,4.540800429810931e-05,6.859027144848941e-05,9.384643647528278e-05,0.0008975204878159033,0.001305689987504842,0.0018476449886525536,0.003161684899537895,0.0034767530571267026,0.0043480581964611235,0.0012978094407445828,0.001960383487560359,0.002682231758926478,0.009113441868696597,0.013258003534405469,0.018761025989556552,0.028581543455877333,0.03142975082752397,0.03930632502593821
40,4.3212308329009946e-05,6.527360107579147e-05,8.930850873614851e-05,0.0008654296329890912,0.0012590050277667035,0.0017815824219398729,0.0030552841403884696,0.0033597492517483,0.004201732200155495,0.001299105809994453,0.001962341695592633,0.0026849110141885625,0.00913940475768627,0.013295773685238469,0.018814473462214744,0.028673201980088988,0.03153054330507643,0.03943237699194287
41,4.1170194635394174e-05,6.218892173920995e-05,8.508799528294667e-05,0.0008351994803098073,0.0012150269702071086,0.001719350315974246,0.002954850922579134,0.003249307665015,0.004063612972664901,0.0013003409158335148,0.0019642073632448087,0.002687463654047051,0.009164460742095563,0.013332224494344682,0.018866053971693972,0.02876184750776636,0.03162802253502688,0.03955428538112282
42,3.926775187138669e-05,5.931521989708955e-05,8.11561450120524e-05,0.0008066826491351151,0.001173541409213654,0.0016606452714349412,0.002859922766363343,0.0031449197301582116,0.003933064495879837,0.0013015189483896563,0.0019659868198417213,0.0026898983383974126,0.009188661221569618,0.013367430736621092,0.01891587332983702,0.028847645190757262,0.031722370126931625,0.039672277315999226
43,3.7492603306504085e-05,5.6633800094375076e-05,7.74873784673976e-05,0.0007797464225244529,0.001134355271555349,0.0016051940758510831,0.002770082497500454,0.0030461267006985757,0.0038095130573861883,0.0013026437264888515,0.0019676858338445527,0.0026922229597514348,0.00921205361424535,0.013401461394767751,0.018964029152112552,0.028930747665682276,0.03181375392795258,0.0397865627077208
44,3.583370853983064e-05,5.412798544540694e-05,7.405887803567347e-05,0.0007542710036040946,0.00109729427978596,0.001552750114135438,0.002684952922215482,0.0029525137947549176,0.003692439927286102,0.0013037187377450464,0.0019693096734079148,0.002694444726092505,0.009234681744353473,0.01343438022316133,0.019010611655536618,0.029011296253348744,0.031902329341795224,0.03989733590553939
45,3.428119442492158e-05,5.178286224047328e-05,7.085023851244608e-05,0.0007301480116832539,0.0010622007644319545,0.0015030902726734234,0.002604192227846295,0.002863705137356837,0.0035813750330092693,0.001304747173577794,0.0019708631592751293,0.002696570233247878,0.009256586184703972,0.01346624624609429,0.01905570436371682,0.029089422020184132,0.03198824049591593,0.040004777156529676
46,3.2826210394877275e-05,4.9585061409615986e-05,6.784316809702619e-05,0.0007072791808825172,0.0010289317707902305,0.001456012260306099,0.00252748999724807,0.0027793593776766763,0.0034758914781843693,0.0013057319598896405,0.001972350711117418,0.0026986055282907885,0.009277804560130448,0.013497114199217997,0.019099384731526,0.02916524672010157,0.03207162127724623,0.040109053900875206
47,3.146080424946547e-05,4.752257089502777e-05,6.502123167702621e-05,0.0006855752304562993,0.0009973574155019457,0.001411332282764249,0.0024545637442174644,0.002699165879201856,0.003375600778034817,0.0013066757840171242,0.0019737763882442688,0.0027005561652410997,0.009298371817044137,0.013527034921683053,0.019141724700008928,0.029238883632428096,0.03215259625362228,0.040210321924216245
48,3.01778151664035e-05,4.5584574041104536e-05,6.236962971073875e-05,0.0006649548811994425,0.0009673594556458432,0.0013688830178328038,0.0023851558927831763,0.0026228413980057615,0.0032801487051948826,0.0013075811184721164,0.001975143925465502,0.0027024272541324216,0.00931832046348012,0.01355605570535243,0.01918279119054391,0.02931043830921159,0.03223128149556247,0.04030872638537209
