,pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion
0,DORADO-1D,01-04-2016,TAMPICO-MISANTLA,AE-0382-3M - AMATITLAN,0.00613196423675,0.00941966738545,0.0,0.0,0.0,1973.0,DORADO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2122.5,2122.5,ACEITE,VERTICAL,TERRESTRE,2.0,90.0
1,DORADO-1D,01-05-2016,TAMPICO-MISANTLA,AE-0382-3M - AMATITLAN,0.0058127009838800005,0.0154298827877,0.0,0.0,0.0,1973.0,DORADO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2122.5,2122.5,ACEITE,VERTICAL,TERRESTRE,2.0,90.0
2,DORADO-1D,01-06-2016,TAMPICO-MISANTLA,AE-0382-3M - AMATITLAN,0.00651134791563,0.0305666831097,0.0,0.0,0.0,1973.0,DORADO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2122.5,2122.5,ACEITE,VERTICAL,TERRESTRE,2.0,90.0
3,DORADO-1D,01-07-2016,TAMPICO-MISANTLA,AE-0382-3M - AMATITLAN,0.0057452322785,0.0233428182157,0.0,0.0,0.0,1973.0,DORADO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2122.5,2122.5,ACEITE,VERTICAL,TERRESTRE,2.0,90.0
4,DORADO-1D,01-08-2016,TAMPICO-MISANTLA,AE-0382-3M - AMATITLAN,0.00515663148277,0.019366910575700003,0.0,0.0,0.0,1973.0,DORADO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2122.5,2122.5,ACEITE,VERTICAL,TERRESTRE,2.0,90.0
5,DORADO-1D,01-09-2016,TAMPICO-MISANTLA,AE-0382-3M - AMATITLAN,0.00334463182797,0.0151948866976,0.0,0.0,0.0,1973.0,DORADO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2122.5,2122.5,ACEITE,VERTICAL,TERRESTRE,2.0,90.0
6,DORADO-1D,01-12-2016,TAMPICO-MISANTLA,AE-0382-3M - AMATITLAN,0.00142162203352,0.007310063689569999,0.0,0.0,0.0,1973.0,DORADO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2122.5,2122.5,ACEITE,VERTICAL,TERRESTRE,2.0,90.0
7,DORADO-1D,01-01-2017,TAMPICO-MISANTLA,AE-0382-3M - AMATITLAN,0.00121332379418,0.006328596768850001,0.0,0.0,0.0,1973.0,DORADO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2122.5,2122.5,ACEITE,VERTICAL,TERRESTRE,2.0,90.0
8,VINAZCO-1D,01-01-2016,TAMPICO-MISANTLA,AE-0382-3M - AMATITLAN,0.00190641535618,9.80113334177e-05,0.0,2.83649690323e-05,0.0,1973.0,VINAZCO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,1745.0,1745.0,ACEITE,VERTICAL,TERRESTRE,1.0,54.0
9,VINAZCO-1D,01-02-2016,TAMPICO-MISANTLA,AE-0382-3M - AMATITLAN,0.00865465738706,0.00956898085681,0.0,0.000158142055614,0.0,1973.0,VINAZCO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,1745.0,1745.0,ACEITE,VERTICAL,TERRESTRE,1.0,54.0
10,VINAZCO-1D,01-03-2016,TAMPICO-MISANTLA,AE-0382-3M - AMATITLAN,0.0035346994911,0.00685578310569,0.0,8.68020805548e-05,0.0,1973.0,VINAZCO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,1745.0,1745.0,ACEITE,VERTICAL,TERRESTRE,1.0,54.0
11,AMATITLAN-3,01-01-2002,TAMPICO-MISANTLA,,0.010956,0.105147,0.0,0.0,0.0,1969.0,AMATITLAN,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,4362.0,,ACEITE,VERTICAL,TERRESTRE,7.0,225.0
12,AMATITLAN-3,01-02-2002,TAMPICO-MISANTLA,,0.081318,0.953118,0.0,0.0,0.0,1969.0,AMATITLAN,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,4362.0,,ACEITE,VERTICAL,TERRESTRE,7.0,225.0
13,AMATITLAN-3,01-08-2002,TAMPICO-MISANTLA,,0.082173,0.968875,0.0,0.0,0.0,1969.0,AMATITLAN,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,4362.0,,ACEITE,VERTICAL,TERRESTRE,7.0,225.0
14,AMATITLAN-3,01-09-2002,TAMPICO-MISANTLA,,0.081138,0.946551,0.0,0.0,0.0,1969.0,AMATITLAN,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,4362.0,,ACEITE,VERTICAL,TERRESTRE,7.0,225.0
15,AMATITLAN-3,01-10-2002,TAMPICO-MISANTLA,,0.08826,0.988811,0.0,0.0,0.0,1969.0,AMATITLAN,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,4362.0,,ACEITE,VERTICAL,TERRESTRE,7.0,225.0
16,AMATITLAN-3,01-11-2002,TAMPICO-MISANTLA,,0.08805700000000001,0.988811,0.0,0.0,0.0,1969.0,AMATITLAN,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,4362.0,,ACEITE,VERTICAL,TERRESTRE,7.0,225.0
