,pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion
0,ARENQUE-6,01-09-1970,TAMPICO-MISANTLA,,0.8619120000000001,0.995933,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
1,ARENQUE-6,01-10-1970,TAMPICO-MISANTLA,,0.946311,1.0495,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
2,ARENQUE-6,01-11-1970,TAMPICO-MISANTLA,,1.906648,2.093807,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
3,ARENQUE-6,01-12-1970,TAMPICO-MISANTLA,,2.096329,2.654319,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
4,ARENQUE-6,01-01-1971,TAMPICO-MISANTLA,,2.192503,2.646994,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
5,ARENQUE-6,01-02-1971,TAMPICO-MISANTLA,,2.478406,3.086843,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
6,ARENQUE-6,01-03-1971,TAMPICO-MISANTLA,,2.248705,2.693826,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
7,ARENQUE-6,01-04-1971,TAMPICO-MISANTLA,,1.814188,2.129685,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
8,ARENQUE-6,01-05-1971,TAMPICO-MISANTLA,,1.811057,2.030024,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
9,ARENQUE-6,01-06-1971,TAMPICO-MISANTLA,,1.859684,2.093218,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
10,ARENQUE-6,01-07-1971,TAMPICO-MISANTLA,,1.834593,1.945462,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
11,ARENQUE-6,01-08-1971,TAMPICO-MISANTLA,,1.538769,2.123774,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
12,ARENQUE-6,01-09-1971,TAMPICO-MISANTLA,,1.408077,1.817881,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
13,ARENQUE-6,01-10-1971,TAMPICO-MISANTLA,,1.479117,1.836477,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
14,ARENQUE-6,01-11-1971,TAMPICO-MISANTLA,,0.602353,0.490756,0.0,0.03061,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
15,ARENQUE-6,01-02-1972,TAMPICO-MISANTLA,,0.036221,0.043474,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
16,ARENQUE-6,01-03-1972,TAMPICO-MISANTLA,,0.207563,0.305073,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
17,ARENQUE-6,01-04-1972,TAMPICO-MISANTLA,,0.30233000000000004,0.405883,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
18,ARENQUE-6,01-05-1972,TAMPICO-MISANTLA,,0.367649,0.446674,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
19,ARENQUE-6,01-06-1972,TAMPICO-MISANTLA,,0.362292,0.448025,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
20,ARENQUE-6,01-07-1972,TAMPICO-MISANTLA,,0.318345,0.371681,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
21,ARENQUE-6,01-08-1972,TAMPICO-MISANTLA,,0.8184859999999999,0.850514,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
22,ARENQUE-6,01-09-1972,TAMPICO-MISANTLA,,1.391933,1.534658,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
23,ARENQUE-6,01-10-1972,TAMPICO-MISANTLA,,1.330191,1.570933,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
24,ARENQUE-6,01-11-1972,TAMPICO-MISANTLA,,1.172419,1.466383,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
25,ARENQUE-6,01-12-1972,TAMPICO-MISANTLA,,1.265467,1.561478,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
26,ARENQUE-6,01-01-1973,TAMPICO-MISANTLA,,1.354945,1.583692,0.0,0.0,0.0,1970.0,ARENQUE,DESARROLLO,Disponible,AGUAS TERRITORIALES,PRODUCTOR,3599.0,3599.0,ACEITE,VERTICAL,MARINO,3.0,95.0
