,pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion
0,COYOL-2,01-01-1976,TAMPICO-MISANTLA,,0.008522,0.004785,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
1,COYOL-2,01-05-1976,TAMPICO-MISANTLA,,0.06513,0.03315,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
2,COYOL-2,01-06-1976,TAMPICO-MISANTLA,,0.088267,0.047793,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
3,COYOL-2,01-07-1976,TAMPICO-MISANTLA,,0.06026,0.034517,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
4,COYOL-2,01-08-1976,TAMPICO-MISANTLA,,0.045652,0.025632,0.0,0.000203,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
5,COYOL-2,01-09-1976,TAMPICO-MISANTLA,,0.122022,0.06851,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
6,COYOL-2,01-10-1976,TAMPICO-MISANTLA,,0.091912,0.052744000000000006,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
7,COYOL-2,01-11-1976,TAMPICO-MISANTLA,,0.06122100000000001,0.034373,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
8,COYOL-2,01-12-1976,TAMPICO-MISANTLA,,0.062898,0.045795,0.0,0.000203,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
9,COYOL-2,01-01-1979,TAMPICO-MISANTLA,,0.040174,0.175423,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
10,COYOL-2,01-02-1979,TAMPICO-MISANTLA,,0.032123,0.171188,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
11,COYOL-2,01-03-1979,TAMPICO-MISANTLA,,0.028203,0.04158,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
12,COYOL-2,01-04-1979,TAMPICO-MISANTLA,,0.017402,0.020483,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
13,COYOL-2,01-05-1979,TAMPICO-MISANTLA,,0.033884,0.027454000000000003,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
14,COYOL-2,01-06-1979,TAMPICO-MISANTLA,,0.026208,0.026839,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
15,COYOL-2,01-07-1979,TAMPICO-MISANTLA,,0.014,0.017236,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
16,COYOL-2,01-08-1979,TAMPICO-MISANTLA,,0.022116,0.014103,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
17,COYOL-2,01-09-1979,TAMPICO-MISANTLA,,0.03103,0.017022,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
18,COYOL-2,01-10-1979,TAMPICO-MISANTLA,,0.024753,0.014946,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
19,COYOL-2,01-11-1979,TAMPICO-MISANTLA,,0.023063,0.030959,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
20,COYOL-2,01-12-1979,TAMPICO-MISANTLA,,0.006087,0.0077459999999999985,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
21,COYOL-2,01-01-1980,TAMPICO-MISANTLA,,0.005072,0.002848,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
22,COYOL-2,01-02-1980,TAMPICO-MISANTLA,,0.023641,0.013152,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
23,COYOL-2,01-03-1980,TAMPICO-MISANTLA,,0.019681,0.010253,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
24,COYOL-2,01-04-1980,TAMPICO-MISANTLA,,0.016982,0.008829,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
25,COYOL-2,01-05-1980,TAMPICO-MISANTLA,,0.011565,0.0064930000000000005,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
26,COYOL-2,01-06-1980,TAMPICO-MISANTLA,,0.009854,0.007063,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
27,COYOL-2,01-07-1980,TAMPICO-MISANTLA,,0.012377,0.006949,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
28,COYOL-2,01-08-1980,TAMPICO-MISANTLA,,0.01258,0.007063,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
29,COYOL-2,01-09-1980,TAMPICO-MISANTLA,,0.005451,0.003061,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
30,COYOL-2,01-10-1980,TAMPICO-MISANTLA,,0.025159,0.013442,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
31,COYOL-2,01-01-1981,TAMPICO-MISANTLA,,0.02029,0.004215,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
32,COYOL-2,01-02-1981,TAMPICO-MISANTLA,,0.029652,0.005676,0.0,0.0,0.0,1961.0,COYOL,EXPLORATORIO,Disponible,PUEBLA,INACTIVO,3681.0,,ACEITE,VERTICAL,TERRESTRE,5.0,172.0
