,pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion
0,PAMORANA-3,01-01-2016,BURGOS,A-0383-M - CUERVITO,0.0,0.0,0.333511831325,0.0,0.0,1964.0,PAMORANA,EXPLORATORIO,Disponible,NUEVO LEON,PRODUCTOR,2900.0,,GAS,VERTICAL,TERRESTRE,2.0,91.0
1,PAMORANA-3,01-02-2016,BURGOS,A-0383-M - CUERVITO,0.0,0.0,0.349971746961,0.0,0.0,1964.0,PAMORANA,EXPLORATORIO,Disponible,NUEVO LEON,PRODUCTOR,2900.0,,GAS,VERTICAL,TERRESTRE,2.0,91.0
2,PAMORANA-3,01-03-2016,BURGOS,A-0383-M - CUERVITO,0.0,0.0,0.30094161097,0.0,0.0,1964.0,PAMORANA,EXPLORATORIO,Disponible,NUEVO LEON,PRODUCTOR,2900.0,,GAS,VERTICAL,TERRESTRE,2.0,91.0
3,PAMORANA-3,01-04-2016,BURGOS,A-0383-M - CUERVITO,0.0,0.0,0.279444435321,0.0,0.0,1964.0,PAMORANA,EXPLORATORIO,Disponible,NUEVO LEON,PRODUCTOR,2900.0,,GAS,VERTICAL,TERRESTRE,2.0,91.0
4,PAMORANA-3,01-05-2016,BURGOS,A-0383-M - CUERVITO,0.0,0.0,0.298950217593,0.0,0.0,1964.0,PAMORANA,EXPLORATORIO,Disponible,NUEVO LEON,PRODUCTOR,2900.0,,GAS,VERTICAL,TERRESTRE,2.0,91.0
5,PAMORANA-3,01-06-2016,BURGOS,A-0383-M - CUERVITO,0.0,0.0,0.300423287736,0.0,0.0,1964.0,PAMORANA,EXPLORATORIO,Disponible,NUEVO LEON,PRODUCTOR,2900.0,,GAS,VERTICAL,TERRESTRE,2.0,91.0
6,PAMORANA-3,01-07-2016,BURGOS,A-0383-M - CUERVITO,0.0,0.0,0.27900487029300003,0.0,0.0,1964.0,PAMORANA,EXPLORATORIO,Disponible,NUEVO LEON,PRODUCTOR,2900.0,,GAS,VERTICAL,TERRESTRE,2.0,91.0
7,PAMORANA-3,01-08-2016,BURGOS,A-0383-M - CUERVITO,0.0,0.0,0.26576631150400004,0.0,0.0,1964.0,PAMORANA,EXPLORATORIO,Disponible,NUEVO LEON,PRODUCTOR,2900.0,,GAS,VERTICAL,TERRESTRE,2.0,91.0
8,PAMORANA-3,01-09-2016,BURGOS,A-0383-M - CUERVITO,0.0,0.0,0.256434473852,0.0,0.0,1964.0,PAMORANA,EXPLORATORIO,Disponible,NUEVO LEON,PRODUCTOR,2900.0,,GAS,VERTICAL,TERRESTRE,2.0,91.0
9,PAMORANA-3,01-10-2016,BURGOS,A-0383-M - CUERVITO,0.0,0.0,0.232313146593,0.0,0.0,1964.0,PAMORANA,EXPLORATORIO,Disponible,NUEVO LEON,PRODUCTOR,2900.0,,GAS,VERTICAL,TERRESTRE,2.0,91.0
10,PAMORANA-3,01-11-2016,BURGOS,A-0383-M - CUERVITO,0.0,0.0,0.214582266125,0.0,0.0,1964.0,PAMORANA,EXPLORATORIO,Disponible,NUEVO LEON,PRODUCTOR,2900.0,,GAS,VERTICAL,TERRESTRE,2.0,91.0
11,PAMORANA-3,01-12-2016,BURGOS,A-0383-M - CUERVITO,0.0,0.0,0.212524866939,0.0,0.0,1964.0,PAMORANA,EXPLORATORIO,Disponible,NUEVO LEON,PRODUCTOR,2900.0,,GAS,VERTICAL,TERRESTRE,2.0,91.0
