,pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion
0,HORCONES-253,01-04-1977,TAMPICO-MISANTLA,,0.002935,0.01143,0.0,0.0,0.0,1977.0,HORCONES,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,1455.0,1455.0,ACEITE,VERTICAL,TERRESTRE,0.0,13
1,HORCONES-253,01-05-1977,TAMPICO-MISANTLA,,0.211216,0.103859,0.0,0.0,0.0,1977.0,HORCONES,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,1455.0,1455.0,ACEITE,VERTICAL,TERRESTRE,0.0,13
2,HORCONES-253,01-06-1977,TAMPICO-MISANTLA,,0.196242,0.131159,0.0,0.0,0.0,1977.0,HORCONES,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,1455.0,1455.0,ACEITE,VERTICAL,TERRESTRE,0.0,13
3,HORCONES-253,01-07-1977,TAMPICO-MISANTLA,,0.109158,0.052573,0.0,0.0,0.0,1977.0,HORCONES,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,1455.0,1455.0,ACEITE,VERTICAL,TERRESTRE,0.0,13
4,HORCONES-253,01-08-1977,TAMPICO-MISANTLA,,0.001826,0.000718,0.0,0.0,0.0,1977.0,HORCONES,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,1455.0,1455.0,ACEITE,VERTICAL,TERRESTRE,0.0,13
5,HORCONES-253,01-03-1978,TAMPICO-MISANTLA,,0.018464,0.016756999999999998,0.0,0.0,0.0,1977.0,HORCONES,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,1455.0,1455.0,ACEITE,VERTICAL,TERRESTRE,0.0,13
6,HORCONES-253,01-04-1978,TAMPICO-MISANTLA,,0.00629,0.022955,0.0,0.0,0.0,1977.0,HORCONES,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,1455.0,1455.0,ACEITE,VERTICAL,TERRESTRE,0.0,13
7,HORCONES-253,01-05-1978,TAMPICO-MISANTLA,,0.00629,0.022955,0.0,0.0,0.0,1977.0,HORCONES,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,1455.0,1455.0,ACEITE,VERTICAL,TERRESTRE,0.0,13
8,HORCONES-253,01-06-1978,TAMPICO-MISANTLA,,0.00629,0.022955,0.0,0.0,0.0,1977.0,HORCONES,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,1455.0,1455.0,ACEITE,VERTICAL,TERRESTRE,0.0,13
9,HORCONES-253,01-07-1978,TAMPICO-MISANTLA,,0.010956,0.043836,0.0,0.0,0.0,1977.0,HORCONES,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,1455.0,1455.0,ACEITE,VERTICAL,TERRESTRE,0.0,13
