,pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion
0,LACAMANGO-23,01-04-1975,CUENCAS DEL SURESTE,,0.08659,0.06439,0.0,0.000356,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
1,LACAMANGO-23,01-05-1975,CUENCAS DEL SURESTE,,0.29846100000000003,0.189788,0.0,0.002171,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
2,LACAMANGO-23,01-06-1975,CUENCAS DEL SURESTE,,0.318054,0.144672,0.0,0.002243,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
3,LACAMANGO-23,01-07-1975,CUENCAS DEL SURESTE,,0.297041,0.143993,0.0,0.002232,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
4,LACAMANGO-23,01-08-1975,CUENCAS DEL SURESTE,,0.289331,0.137727,0.0,0.002658,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
5,LACAMANGO-23,01-09-1975,CUENCAS DEL SURESTE,,0.276625,0.001542,0.0,0.0,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
6,LACAMANGO-23,01-10-1975,CUENCAS DEL SURESTE,,0.26500300000000004,0.130664,0.0,0.000609,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
7,LACAMANGO-23,01-11-1975,CUENCAS DEL SURESTE,,0.257882,0.130664,0.0,0.000629,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
8,LACAMANGO-23,01-12-1975,CUENCAS DEL SURESTE,,0.256664,0.13203099999999998,0.0,0.000629,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
9,LACAMANGO-23,01-01-1976,CUENCAS DEL SURESTE,,0.253661,0.137955,0.0,0.000609,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
10,LACAMANGO-23,01-02-1976,CUENCAS DEL SURESTE,,0.253761,0.12603699999999998,0.0,0.000629,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
11,LACAMANGO-23,01-03-1976,CUENCAS DEL SURESTE,,0.251592,0.123601,0.0,0.000629,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
12,LACAMANGO-23,01-04-1976,CUENCAS DEL SURESTE,,0.252053,0.12313,0.0,0.000629,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
13,LACAMANGO-23,01-05-1976,CUENCAS DEL SURESTE,,0.308606,0.220204,0.0,0.0010550000000000002,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
14,LACAMANGO-23,01-06-1976,CUENCAS DEL SURESTE,,0.331388,0.281575,0.0,0.0,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
15,LACAMANGO-23,01-07-1976,CUENCAS DEL SURESTE,,0.331472,0.282517,0.0,0.0,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
16,LACAMANGO-23,01-08-1976,CUENCAS DEL SURESTE,,0.331472,0.282517,0.0,0.0,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
17,LACAMANGO-23,01-09-1976,CUENCAS DEL SURESTE,,0.304908,0.27015700000000004,0.0,0.0024530000000000003,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
18,LACAMANGO-23,01-10-1976,CUENCAS DEL SURESTE,,0.294423,0.341527,0.0,0.014082,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
19,LACAMANGO-23,01-11-1976,CUENCAS DEL SURESTE,,0.293188,0.355971,0.0,0.012853,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
20,LACAMANGO-23,01-12-1976,CUENCAS DEL SURESTE,,0.29472800000000005,0.13203099999999998,0.0,0.008664,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
21,LACAMANGO-23,01-01-1977,CUENCAS DEL SURESTE,,0.284542,0.349387,0.0,0.009739,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
22,LACAMANGO-23,01-02-1977,CUENCAS DEL SURESTE,,0.285939,0.35302,0.0,0.021409,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
23,LACAMANGO-23,01-03-1977,CUENCAS DEL SURESTE,,0.298096,0.382651,0.0,0.018261000000000003,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
24,LACAMANGO-23,01-04-1977,CUENCAS DEL SURESTE,,0.306208,0.616358,0.0,0.040277,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
25,LACAMANGO-23,01-05-1977,CUENCAS DEL SURESTE,,0.300916,0.591691,0.0,0.026235,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
26,LACAMANGO-23,01-06-1977,CUENCAS DEL SURESTE,,0.301176,0.374453,0.0,0.048496,0.0,1975.0,LACAMANGO,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,CERRADO SIN POSIBILIDADES,2000.0,2000.0,ACEITE,VERTICAL,TERRESTRE,0.0,21.0
