,pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion
0,LOS SOLDADOS-6,01-02-1954,CUENCAS DEL SURESTE,,0.07413,0.115442,0.0,0.0007639999999999999,0.0,1953.0,LOS SOLDADOS,EXPLORATORIO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2501.5,,ACEITE,VERTICAL,TERRESTRE,3.0,109.0
1,LOS SOLDADOS-6,01-03-1954,CUENCAS DEL SURESTE,,0.009333,0.03588,0.0,0.006371,0.0,1953.0,LOS SOLDADOS,EXPLORATORIO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2501.5,,ACEITE,VERTICAL,TERRESTRE,3.0,109.0
2,LOS SOLDADOS-6,01-04-1954,CUENCAS DEL SURESTE,,0.000629,0.009382,0.0,0.000314,0.0,1953.0,LOS SOLDADOS,EXPLORATORIO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2501.5,,ACEITE,VERTICAL,TERRESTRE,3.0,109.0
3,LOS SOLDADOS-6,01-12-1954,CUENCAS DEL SURESTE,,0.007101000000000001,0.005554,0.0,0.002881,0.0,1953.0,LOS SOLDADOS,EXPLORATORIO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2501.5,,ACEITE,VERTICAL,TERRESTRE,3.0,109.0
4,LOS SOLDADOS-6,01-01-1955,CUENCAS DEL SURESTE,,0.011565,0.021844,0.0,0.0,0.0,1953.0,LOS SOLDADOS,EXPLORATORIO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2501.5,,ACEITE,VERTICAL,TERRESTRE,3.0,109.0
5,LOS SOLDADOS-6,01-02-1955,CUENCAS DEL SURESTE,,0.005167000000000001,0.011664,0.0,0.0,0.0,1953.0,LOS SOLDADOS,EXPLORATORIO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2501.5,,ACEITE,VERTICAL,TERRESTRE,3.0,109.0
6,LOS SOLDADOS-6,01-04-1955,CUENCAS DEL SURESTE,,0.0004190000000000001,0.003079,0.0,0.0,0.0,1953.0,LOS SOLDADOS,EXPLORATORIO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2501.5,,ACEITE,VERTICAL,TERRESTRE,3.0,109.0
7,LOS SOLDADOS-6,01-05-1955,CUENCAS DEL SURESTE,,0.011362,0.027559,0.0,0.0,0.0,1953.0,LOS SOLDADOS,EXPLORATORIO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2501.5,,ACEITE,VERTICAL,TERRESTRE,3.0,109.0
8,LOS SOLDADOS-9,01-07-1954,CUENCAS DEL SURESTE,,0.038347000000000006,0.0399,0.0,0.0,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
9,LOS SOLDADOS-9,01-08-1954,CUENCAS DEL SURESTE,,0.030435000000000007,0.09338,0.0,0.0,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
10,LOS SOLDADOS-9,01-10-1954,CUENCAS DEL SURESTE,,0.020695,0.034539999999999994,0.0,0.0,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
11,LOS SOLDADOS-9,01-11-1954,CUENCAS DEL SURESTE,,0.01258,0.0225,0.0,0.0,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
12,LOS SOLDADOS-9,01-12-1954,CUENCAS DEL SURESTE,,0.003652,0.007063,0.0,0.0,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
13,LOS SOLDADOS-9,01-05-1955,CUENCAS DEL SURESTE,,0.010348,0.0,0.0,0.0,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
14,LOS SOLDADOS-9,01-07-1955,CUENCAS DEL SURESTE,,0.005275,0.0,0.0,0.0,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
15,LOS SOLDADOS-9,01-08-1955,CUENCAS DEL SURESTE,,0.018464,0.0,0.0,0.0,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
16,LOS SOLDADOS-9,01-09-1955,CUENCAS DEL SURESTE,,0.010693,0.0,0.0,0.0,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
17,LOS SOLDADOS-9,01-12-1955,CUENCAS DEL SURESTE,,0.001217,0.0,0.0,0.0,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
18,LOS SOLDADOS-9,01-03-1956,CUENCAS DEL SURESTE,,0.002232,0.0,0.0,0.0,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
19,LOS SOLDADOS-9,01-10-1956,CUENCAS DEL SURESTE,,0.002638,0.0,0.0,0.002029,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
20,LOS SOLDADOS-9,01-11-1956,CUENCAS DEL SURESTE,,0.005451,0.0,0.0,0.003145,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
21,LOS SOLDADOS-9,01-12-1956,CUENCAS DEL SURESTE,,0.003246,0.0,0.0,0.002841,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
22,LOS SOLDADOS-9,01-04-1959,CUENCAS DEL SURESTE,,0.15368099999999998,0.108882,0.0,0.0,0.0,1954.0,LOS SOLDADOS,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2470.3,,ACEITE,VERTICAL,TERRESTRE,1.0,33.0
