,pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion
0,RODADOR-1,01-06-1971,CUENCAS DEL SURESTE,,0.08742799999999999,0.055326,0.0,0.001489,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
1,RODADOR-1,01-07-1971,CUENCAS DEL SURESTE,,0.385707,0.221457,0.0,0.0,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
2,RODADOR-1,01-08-1971,CUENCAS DEL SURESTE,,0.298258,0.196851,0.0,0.000487,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
3,RODADOR-1,01-09-1971,CUENCAS DEL SURESTE,,0.257043,0.190699,0.0,2.1e-05,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
4,RODADOR-1,01-10-1971,CUENCAS DEL SURESTE,,0.203911,0.132145,0.0,0.000223,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
5,RODADOR-1,01-11-1971,CUENCAS DEL SURESTE,,0.124748,0.08934600000000001,0.0,0.000608,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
6,RODADOR-1,01-12-1971,CUENCAS DEL SURESTE,,0.09455,0.050352,0.0,0.000162,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
7,RODADOR-1,01-01-1972,CUENCAS DEL SURESTE,,0.100434,0.052402,0.0,0.000528,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
8,RODADOR-1,01-02-1972,CUENCAS DEL SURESTE,,0.07938200000000001,0.051266999999999986,0.0,0.000325,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
9,RODADOR-1,01-03-1972,CUENCAS DEL SURESTE,,0.046463,0.04682,0.0,0.0,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
10,RODADOR-1,01-04-1972,CUENCAS DEL SURESTE,,0.044029,0.05944600000000001,0.0,0.0,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
11,RODADOR-1,01-05-1972,CUENCAS DEL SURESTE,,0.023536,0.033948,0.0,0.0,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
12,RODADOR-1,01-03-1973,CUENCAS DEL SURESTE,,0.042405,0.063452,0.0,0.0,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
13,RODADOR-1,01-04-1973,CUENCAS DEL SURESTE,,0.109862,0.123013,0.0,0.0,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
14,RODADOR-1,01-05-1973,CUENCAS DEL SURESTE,,0.110173,0.100932,0.0,0.0,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
15,RODADOR-1,01-06-1973,CUENCAS DEL SURESTE,,0.103362,0.05944600000000001,0.0,0.00283,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
16,RODADOR-1,01-07-1973,CUENCAS DEL SURESTE,,0.078115,0.071085,0.0,0.000771,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
17,RODADOR-1,01-08-1973,CUENCAS DEL SURESTE,,0.079536,0.082249,0.0,0.0,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
18,RODADOR-1,01-09-1973,CUENCAS DEL SURESTE,,0.037739,0.06662699999999999,0.0,0.0,0.0,1971.0,RODADOR,DESARROLLO_EXPLORATORIO,Disponible,TABASCO,INACTIVO,3647.0,3647.0,ACEITE,VERTICAL,TERRESTRE,2.0,74.0
