,pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion
0,CANTARELL-3068,01-01-2016,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.930696774194,0.363056129032,0.0,0.0,0.0,2001.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4686.0,4683.0,ACEITE,DIRECCIONAL,MARINO,9.0,285.0
1,CANTARELL-3068,01-02-2016,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.8265955172409999,0.322595896552,0.0,0.0,0.0,2001.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4686.0,4683.0,ACEITE,DIRECCIONAL,MARINO,9.0,285.0
2,CANTARELL-3068,01-03-2016,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.388885483871,0.151652516129,0.0,0.0,0.0,2001.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4686.0,4683.0,ACEITE,DIRECCIONAL,MARINO,9.0,285.0
3,CANTARELL-3068,01-04-2016,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.0377220666667,0.014703646666700003,0.0,0.0,0.0,2001.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4686.0,4683.0,ACEITE,DIRECCIONAL,MARINO,9.0,285.0
4,CANTARELL-98,01-01-2016,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.873301935484,0.340786129032,0.0,0.19305483871,0.0,2002.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4700.0,4639.0,ACEITE,DIRECCIONAL,MARINO,6.0,202.0
5,CANTARELL-98,01-02-2016,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.8481727586210001,0.330990793103,0.0,0.0974643448276,0.0,2002.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4700.0,4639.0,ACEITE,DIRECCIONAL,MARINO,6.0,202.0
6,CANTARELL-98,01-03-2016,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.4116864516130001,0.160528774194,0.0,0.0880878709677,0.0,2002.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4700.0,4639.0,ACEITE,DIRECCIONAL,MARINO,6.0,202.0
7,CANTARELL-98,01-04-2016,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.2124187,0.0828643666667,0.0,0.0889468,0.0,2002.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4700.0,4639.0,ACEITE,DIRECCIONAL,MARINO,6.0,202.0
8,CANTARELL-98,01-05-2016,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.211678290323,0.0825708064516,0.0,0.210347548387,0.0,2002.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4700.0,4639.0,ACEITE,DIRECCIONAL,MARINO,6.0,202.0
9,CANTARELL-98,01-06-2016,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.214296833333,0.0836062666667,0.0,0.32624676666700003,0.0,2002.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4700.0,4639.0,ACEITE,DIRECCIONAL,MARINO,6.0,202.0
