pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion,first_oil,days_online,Qi_hist,mes,pct_cambio_Qo,exponencial,hiperbolica,harmonica,residual_exponencial,residual_hiperbolica,residual_harmonica,gas_exponencial,gas_hiperbolica,gas_harmonica,residual_gas_exponencial,residual_gas_hiperbolica,residual_gas_harmonica,condensado,Np_MMb,Gp_MMMpc,Cp_MMb,Wp_MMb,RGA,corte_agua,Mbpced,acum_BOE,liquidos_Mbd
MIQUETLA-122,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.013455556690200002,0.0130461432075,0.0,0.00267691485055,0.0,1962.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2060.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,29.0,1966-01-01,19754,0.06695599999999999,658.0,-0.5951793810028437,0.019739228438750474,0.0187191269155443,0.018718872052691144,3.948453064353136e-05,2.7705171517131017e-05,2.7702488605035263e-05,0.0,1.8454842476846553e-51,1.5192950470981465e-48,0.00017020185259059836,0.00017020185259059836,0.00017020185259059836,4.6165148802739176e-52,0.38936775273993585,0.32574644287746585,0.0,0.09011172836084193,969.5729064113574,0.1989449349575897,0.015629913891450003,0.44365882655284644,0.016132471540750003
MIQUETLA-64,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00516554053433,0.0234274492128,0.0,0.000936099133671,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2156.0,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,33.0,1966-03-01,19695,0.102666,656.0,0.0386108403384009,0.004568316114358291,0.005944099530911235,0.005944126204574879,3.56677007810544e-07,6.061541111575788e-07,6.06195645910667e-07,0.004667558144096574,0.011482209045161614,0.011704594149312407,0.00035193351290961855,0.00014268876266256152,0.0001374253308395367,4.6446986663490926e-52,0.14595970809778755,0.3150133330140757,0.0,0.042171105049472656,4535.333535203527,0.18121997638963785,0.00907011540313,0.19846193026680026,0.006101639668001
MIQUETLA-2,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0161894834521,0.0350221465069,0.0,7.17769728426e-05,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2414.6,,ACEITE-GAS,VERTICAL,TERRESTRE,2.0,72.0,1968-03-01,18964,0.015826,632.0,0.15165536571061589,0.0,0.015825999982306188,0.01582599356360622,0.00026209937444581974,1.3212023281334959e-07,1.321248990372207e-07,0.0,0.015834999999999995,0.015834999961049086,0.0012265507459507678,0.000368146591077245,0.0003681465925719586,5.004042766150773e-52,0.17289077367712682,0.2560279419039619,0.0,0.020630419696329998,2163.2652215569697,0.004433555465495073,0.022026507869916667,0.21556209732778736,0.0162612604249426
MIQUETLA-3,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0152584808478,0.0352245866602,0.0,4.05081692391e-05,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2100.4,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,37.0,1968-04-01,18933,0.214692,631.0,0.18660291085465586,0.0,0.011351133186135896,0.01135123142818181,0.0002328212377826794,1.526736574911194e-05,1.526659802710669e-05,0.0,0.010593999999999682,0.010593999990635853,0.00124077150538194,0.000606665799225638,0.0006066657996869112,5.0199109748908066e-52,0.3239930036133431,0.9024469307223516,0.0,0.021140492323695467,2308.525141628287,0.0026547970039193353,0.021129245291166665,0.47440082540040185,0.0152989890170391
MIQUETLA-9,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0111713758813,0.0208738291319,0.0,0.000325826578662,0.0,1960.0,MIQUETLA,EXPLORATORIO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2145.0,,ACEITE,VERTICAL,TERRESTRE,1.0,48.0,1968-10-01,18750,0.127419,625.0,0.15987762007744633,0.0,0.0051280539299023,0.005128055890346535,0.00012479963908129137,3.6521740208245316e-05,3.65217165130578e-05,0.0,0.015460764450315048,0.01546073001625136,0.00043571674262775714,2.9301269247022416e-05,2.93016420358361e-05,5.116724772193179e-52,0.06643874363936814,0.09833085504218556,0.0,0.022206897359093387,1868.5101417848755,0.029166199591171928,0.014650347403283335,0.0828272194797324,0.011497202459962
MIQUETLA-13,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00613412417953,0.0217748127768,0.0,0.0005995543456039999,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2075.5,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,40.0,1969-02-01,18627,0.239686,621.0,1.0397394150876802,0.0,0.005340979713703604,0.005340982893371296,3.762747944989459e-05,6.290781436710385e-07,6.290730998094821e-07,0.0,0.004570234388453044,0.014166144583418161,0.0004741424714646925,0.0002959975175207752,5.7891831676980456e-05,5.1828316421408164e-52,0.14247102092416,0.2395197476269458,0.0,0.015305712459319281,3549.783496308091,0.09774082298574173,0.00976325964233,0.1823909788619844,0.0067336785251339995
MIQUETLA-14,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00595041328526,0.035415780138199994,0.0,0.000929995669488,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2032.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,24.0,1969-03-01,18599,0.116666,620.0,-0.011910502037188908,0.0,0.002131128863730519,0.00690293264117975,3.540741826539871e-05,1.4586933492537786e-05,9.072931234017755e-07,0.0,0.0010544613061381884,0.01702448845495958,0.0012542774827973213,0.001180700231878605,0.000338239609778028,5.199558536682001e-52,0.12025576883652182,0.27341228482239704,0.0,0.006007882179050367,5951.818544424435,0.15629093726846308,0.011853043308293332,0.16582448297358804,0.0068804089547480005
MIQUETLA-15,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00966208167971,0.0221851914578,0.0,0.0015280010851199998,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2054.0,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,34.0,1969-04-01,18568,0.16008599999999998,619.0,0.2922128257870249,0.0,0.0008119783306226929,0.011899265833917889,9.33558223853876e-05,7.832432928952634e-05,5.004992939838869e-06,0.0,0.0016779265162612078,0.0183185991567294,0.000492182720019242,0.000420547915382466,1.4950536022698418e-05,5.216366537801548e-52,0.1657730241348808,0.24857098488004054,0.0,0.010650026441465867,2296.1088710715467,0.15814408693405516,0.013359613589343332,0.2072015216148876,0.011190082764829998
MIQUETLA-16,2020-01-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00761432210354,0.0341502911847,0.0,0.000269185598352,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2071.5,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,27.0,1969-05-01,18507,0.094753,617.0,2.0446540933059034,0.0,0.006586040516423313,0.01735730197731838,5.797790109645781e-05,1.0573630224032139e-06,9.492565682085061e-05,0.0,0.07092984708221813,0.07092984707187802,0.0011662423879997984,0.0013527357320186604,0.0013527357312580516,5.250227964898236e-52,0.34903501662449665,0.7575307667354546,0.0,0.005599294782330111,4485.007426836208,0.03535253627198829,0.01330603730099,0.4752901444137386,0.007883507701892
MIQUETLA-17,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0107774577171,0.06140793990330001,0.0,9.60475642082e-05,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2092.4,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,55.0,1969-06-01,18507,0.06499500000000001,617.0,0.1435493999009272,0.0,0.01232148832617851,0.012321693153851385,0.00011615359484387833,2.3840305217713544e-06,2.38466308411874e-06,0.0,0.029097182966313664,0.029097182972667574,0.003770935083167306,0.0010439850138410113,0.0010439850134304125,5.250227964898236e-52,0.11056617084766805,0.22870385816470193,0.0,0.006885311038048414,5697.813112814853,0.00891189431954872,0.02101211436765,0.1486834805417849,0.0108735052813082
