pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,hidrocarburo_principal,ultima_produccion,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp,acum_BOE,RGA,corte_agua
MIQUETLA-122,0.06695599999999999,0.038145507366532,0.9999999999999999,0.0015771768992632823,0.0031495879314074045,1.6750556782172743,0.038145995759345505,0.0015772587167831968,0.0022956774145215415,0.0003280480007639145,0.03437537834707005,0.000843058685908491,0.0018697003361568575,0.00016803876781616605,aceite_Mbd,2020-02-01,658.0,2060.0,VERTICAL,1966-01-01,5e-45,0.5,5.0,5e-45,0.5,10.0,PRODUCTOR,0.17252874800940654,0.1702527648771562,0.17025276495320987,1.2236382048235126,1.2236382048235126,1.2236382048235126,0.38936775273993585,0.32574644287746585,0.0,0.09011172836084193,0.44365882655284644,1019.3644125960313,0.31528984445200214
MIQUETLA-57,0.068985,0.04577773530791825,0.9999999999999757,0.004178474595792181,0.002922634221551749,0.41532570602920127,0.04577774853932034,0.004178477951169858,0.0022015169444398086,0.0004781573495839169,0.04083204062095576,0.002121669386145747,0.001586468669917502,0.00015378538250863637,aceite_Mbd,2019-11-01,653.0,2150.0,VERTICAL,1966-03-01,5e-45,0.5,5.0,5e-45,0.5,10.0,PRODUCTOR,0.10157267673360397,0.09944575469802747,0.09944575469803636,31.535420651981664,31.535420651981664,31.535420651981664,0.35195973383704277,1.55720333202213,0.0,0.1006559094481393,0.6114936225073981,11053.544174057999,0.36999420420319495
MIQUETLA-64,0.102666,0.042231201497120896,0.9999999999999999,0.009305985528863287,0.0032477413733162947,0.30186847218125246,0.042231079611836385,0.00930590567077772,0.002529424497081985,0.001338376625894496,0.033267289257136255,0.0030265700270455456,0.0016240903843766728,0.0002656976232004162,aceite_Mbd,2020-02-01,656.0,2156.0,VERTICAL,1966-03-01,0.10834074643121136,0.9719725468968636,0.012327605366673823,5e-45,0.5,10.0,PRODUCTOR,0.043947204884890956,0.04052916076147292,0.040529160759895266,0.30167544853362566,0.2796439485632824,0.2796590312403242,0.14595970809778755,0.3150133330140757,0.0,0.042171105049472656,0.19846193026680026,2080.751008915829,0.44402685421910204
MIQUETLA-2,0.015826,0.015825999994939333,0.999997157913201,1.2630580324066085e-12,0.002033335243174785,16309511.180091668,0.015825999946625858,6.381725466767821e-10,0.002027410810892482,0.00033004473793261284,0.0157641796875,5.0,0.02330547717597849,0.0,aceite_Mbd,2020-02-01,632.0,2414.6,VERTICAL,1968-03-01,0.015834999999999995,0.9998584349999937,2.3211056544052876e-20,5e-45,0.5,10.0,PRODUCTOR,0.17815164737921785,0.07864336464250071,0.0786433669695676,0.4386569525411239,0.2511233689617425,0.25112336912732086,0.17289077367712682,0.2560279419039619,0.0,0.020630419696329998,0.21556209732778736,1829.6167851655237,0.14274338201637468
MIQUETLA-3,0.214692,0.201698722580488,0.9999999999998138,0.02657533834865868,0.019072466484154307,0.11982932024676139,0.2016928089603669,0.026574269008218226,0.01866869282871208,0.0031489124811564843,0.2146395849609375,5.0,0.031126066863521776,0.0,aceite_Mbd,2020-02-01,631.0,2100.4,VERTICAL,1968-04-01,0.010593999999999682,5.983985507107548e-08,1.026344060034964e-18,5e-45,0.5,10.0,PRODUCTOR,0.45147572989087165,0.1699751803781399,0.16997518037912876,6.655455407389809,6.070612182182837,6.070612182521921,0.3239930036133431,0.9024469307223516,0.0,0.021140492323695467,0.47440082540040185,3605.261393036768,0.05639931965269357
MIQUETLA-4,0.259708,0.25970799999999983,0.44163671702519186,0.025047798712295028,0.011605193518721546,0.07786450398854004,0.25970799917713505,0.060979950680048293,0.012165106169583773,0.00425270532113448,0.25964459472656254,5.0,0.021540616886039858,0.0,aceite_Mbd,2019-05-01,621.0,2100.0,VERTICAL,1968-05-01,0.08828699995298234,9.102742566247263e-13,0.00503810052577007,5e-45,0.5,10.0,INACTIVO,0.11878353301277325,0.03438151974550006,0.03792751677459199,0.41931103144116544,0.20463018718872952,0.21988793027677206,0.122207626771312,0.18367046501084733,0.0,0.017617583917349855,0.1528193709397866,1892.6520660416202,0.15357589783448056
MIQUETLA-5,0.208192,0.03100597884822516,0.9999999999999999,4.221028880782005e-18,0.004215970285600406,0.0,0.03100597880275348,2.724556655415251e-16,0.004209558159780312,0.0004424217698815963,0.20814117187499998,5.0,0.04157766096529456,0.0,aceite_Mbd,2009-10-01,503.0,2244.0,VERTICAL,1968-06-01,0.024822356443639938,0.9999999999999999,2.434757454336743e-15,5e-45,0.5,10.0,INACTIVO,0.5687429222524983,0.29387311870085214,0.29387311870086175,0.5876933184417131,0.3837478693679524,0.383747869369006,0.30788936999999983,0.24648599999999996,0.0,0.3287812200000001,0.3489703699999998,1122.77373609274,0.6514577500523998
MIQUETLA-6,0.319157,0.3191569999991556,0.1862866582931328,0.01701227052217432,0.014787976348201618,0.07763649471076536,0.31915699980066115,0.05255383815455344,0.016682437669673967,0.003963326841133043,0.3190790808105469,5.0,0.03491977558715076,0.0,aceite_Mbd,1995-11-01,333.0,2335.0,VERTICAL,1968-07-01,0.3294012181669761,1.1161239972569148e-08,0.007834365206195426,5e-45,0.5,10.0,INACTIVO,0.2011994699644001,0.03594749154332947,0.04597546309978201,2.011882358407374,0.8291872897531946,0.987680380686005,0.1467423,0.34801235999999974,0.0,0.013466549999999999,0.20474435999999996,2067.7920951240403,0.06570822522389991
MIQUETLA-7,0.197216,0.197119703125,0.5,10.0,inf,inf,0.19711970312500002,10.0,inf,inf,0.197119703125,5.0,inf,inf,aceite_Mbd,1968-08-01,0.0,2095.0,VERTICAL,1968-08-01,5e-45,0.5,5.0,5e-45,0.5,10.0,INACTIVO,9.273088134768052e-09,9.273088134768052e-09,9.273088134762707e-09,2.5e-89,2.5e-89,2.5e-89,0.00591648,0.0,0.0,0.00699993,0.00591648,0.0,1.1831240872951485
MIQUETLA-8,0.16206700000000002,0.1620616742540107,0.9999999999999999,0.04591669736706743,0.006465862212358992,0.46046936598620747,0.16206174510909607,0.04591671864844087,0.006430909078018067,0.004252585049091191,0.16198786572265628,5.0,0.010705553760234044,0.0,aceite_Mbd,2018-04-01,604.0,2220.1,VERTICAL,1968-09-01,0.007549999999999049,5.854477579808615e-11,6.94102949845632e-19,5e-45,0.5,10.0,INACTIVO,0.0106586259621333,0.003846279664237244,0.003846279664086362,1.5035239738109905,1.448158110243788,1.4481581102437835,0.02857332665743039,0.12075714752593199,0.0,0.02949757453052551,0.04869951791175237,6919.422330153866,0.9381558525849832
MIQUETLA-9,0.127419,0.12481923541163874,0.9999999999999999,0.0373447496825422,0.009105960094836621,0.23413451333784302,0.12481918734168289,0.0373447197957893,0.009078093645185996,0.004110230974395599,0.12735678369140624,5.0,0.01272834129173929,0.0,aceite_Mbd,2020-02-01,625.0,2145.0,VERTICAL,1968-10-01,0.015460764455133127,0.0020036066117075533,4.985764738137217e-13,5e-45,0.5,10.0,PRODUCTOR,0.03402224112818903,0.01733088978528116,0.01733088978531985,0.143964810855907,0.09328893159957019,0.09328893162154567,0.06643874363936814,0.09833085504218556,0.0,0.022206897359093387,0.0828272194797324,1966.167175725187,0.20553867698522438
MIQUETLA-11,0.128028,0.12802799999982015,1.875753746672193e-08,0.008376748086760538,0.014358788366970137,0.10878658419156727,0.12802799999999998,0.0186858980001315,0.020119452363862343,0.004131445747201713,0.127965486328125,5.0,0.036587989697350734,0.0,aceite_Mbd,2010-12-01,511.0,2027.0,VERTICAL,1968-12-01,0.18881597859615462,5.0788894416948274e-08,0.006958846772103786,5e-45,0.5,10.0,INACTIVO,0.3145900326719592,0.08199467871626143,0.10641594308262493,1.3661897400419758,0.6204995883972522,0.683261506587489,0.17676407999999982,0.33033024000000005,0.0,0.0070339800000000004,0.23181912000000007,1983.2305080124231,0.039562417427802296
MIQUETLA-12,0.14852,0.13312057535785446,0.37487647513323274,0.012929938372497568,0.017955529023938415,0.15799519041739754,0.14851999999972124,0.028838599152584667,0.018375576009619532,0.00471398910737342,0.14844748046875,5.0,0.02814686711581979,0.0,aceite_Mbd,2012-04-01,527.0,2082.8,VERTICAL,1969-01-01,0.02165999999619745,0.9999999999999983,3.4198332838717135e-14,5e-45,0.5,10.0,INACTIVO,0.20202276275108244,0.0854377574976611,0.08837100773795932,1.0826617641617464,0.7798459897965668,0.779845989770529,0.14563625999999982,0.29320550999999995,0.0,0.012828000000000006,0.19450384499999993,2190.2546721002277,0.06394433830630719
MIQUETLA-13,0.239686,0.23535096434425465,0.9999999999999999,0.0693480351048925,0.01616355315887105,0.1521894717543828,0.23535077489147727,0.0693479357409943,0.016106128037708757,0.006748021101538127,0.23962748291015626,5.0,0.024408587556987625,0.0,aceite_Mbd,2020-02-01,621.0,2075.5,VERTICAL,1969-02-01,0.08429964277707798,2.0190199467261687e-08,0.004693741095077329,5e-45,0.5,10.0,INACTIVO,0.16086036956232538,0.07030681408734703,0.07030681408756788,0.5771564702269498,0.26035933581742426,0.27326958659797884,0.14247102092416,0.2395197476269458,0.0,0.015305712459319281,0.1823909788619844,1919.772274936627,0.11948272962221769
MIQUETLA-14,0.116666,0.0761120365009609,0.23281509741790116,0.008998753922903764,0.01270346142326553,0.22076709793624572,0.0829157792474076,0.01776076515110868,0.01366952602762588,0.0042550872041596174,0.05823100000054436,5.0,0.024705792945089036,0.0,aceite_Mbd,2020-02-01,620.0,2032.0,VERTICAL,1969-03-01,0.19847962443895376,4.47100737258673e-09,0.008447833052122922,5e-45,0.5,10.0,PRODUCTOR,0.14343840818571865,0.049082174103656194,0.051822081436308454,1.0871268253531687,0.5130862292429769,0.5713099382900345,0.12025576883652182,0.27341228482239704,0.0,0.006007882179050367,0.16582448297358804,2216.491082207319,0.09873132022915197
MIQUETLA-15,0.16008599999999998,0.16008599999969653,7.51380383632531e-10,0.008536337255280059,0.018980191044264415,0.008673631682525301,0.16008599999999995,0.020118634970431995,0.027200737840354736,0.004691473661277658,0.10818499717068457,5.0,0.04253110234428524,0.0,aceite_Mbd,2020-02-01,619.0,2054.0,VERTICAL,1969-04-01,0.20014226800399795,7.516723147763298e-11,0.007724504759823942,5e-45,0.5,10.0,PRODUCTOR,0.39614793198979437,0.1238417451746215,0.16968529599901994,1.00227213128954,0.522147497658921,0.5704807158822836,0.1657730241348808,0.24857098488004054,0.0,0.010650026441465867,0.2072015216148876,2121.3717379559653,0.1691092484799901
MIQUETLA-16,0.094753,0.09475299999999999,3.4721727683205522e-12,0.004321391455892515,0.004331447982832656,3.852077096760055e-05,0.09475299999999999,0.007226856615023657,0.018287761262470892,0.002431120412510152,0.0946604677734375,5.0,0.050248032607912205,0.0,aceite_Mbd,2020-01-01,617.0,2071.5,VERTICAL,1969-05-01,0.07092984708221813,0.748490537203255,2.2651483134887693e-19,5e-45,0.5,10.0,PRODUCTOR,0.8938021324618961,0.31707942248690635,0.3589998759587,4.434989369262556,2.643937982387274,2.6439379823872744,0.34903501662449665,0.7575307667354546,0.0,0.005599294782330111,0.4752901444137386,3172.1246004592904,0.031410508967859664
