pozo,Qi_hist,ultima_produccion,ultima_fecha,mes_max,profundidad_total,trayectoria,first_oil,estado_actual,dias_perforacion,Np,Gp,Cp,Wp,acum_BOE,RGA,corte_agua,tipo
LACAMANGO-23,0.318054,aceite_Mbd,2006-10-01,384.0,2000.0,VERTICAL,1975-04-01,CERRADO SIN POSIBILIDADES,21.0,1.4149529999999997,1.73267958,0.0,0.4401947699999998,1.70373293,1711.816060330542,0.7616994732013356,ALTA
LACAMANGO-14,0.213853,aceite_Mbd,1981-02-01,68.0,2105.0,VERTICAL,1975-07-01,PROGRAMA TAPONAMIENTO,19.0,0.04262805,0.27754101000000003,0.0,0.0,0.08888488500000002,8858.379767813865,0.0,MEDIA
LACAMANGO-45,0.257043,aceite_Mbd,1999-07-01,289.0,2007.0,VERTICAL,1975-10-01,PROGRAMA TAPONAMIENTO,24.0,0.05170893,0.20118224999999998,0.0,0.020248080000000005,0.08523930500000002,20380.306388013345,1.138532319705345,MEDIA
LACAMANGO-43,0.262913,aceite_Mbd,1982-09-01,84.0,2000.0,VERTICAL,1975-10-01,PROGRAMA TAPONAMIENTO,24.0,0.4180884899999998,0.2764127099999999,0.0,0.0,0.4641572749999999,675.1644680507231,0.0,MEDIA
LACAMANGO-21,0.373756,aceite_Mbd,2020-02-01,538.0,1950.0,VERTICAL,1975-12-01,PRODUCTOR,23.0,2.188799976194015,1.5504606908266858,0.0,0.37859242566955514,2.447210091331794,752.973507471789,0.2708384788175516,ALTA
LACAMANGO-101,0.41884,aceite_Mbd,2018-10-01,522.0,3000.0,VERTICAL,1975-12-01,PROGRAMA TAPONAMIENTO,51.0,1.643312418006452,3.9165042366161327,0.0,0.11947347329032261,2.2960631241091414,3244.3134786655073,0.24859269721025457,ALTA
LACAMANGO-4,0.171711,aceite_Mbd,2016-03-01,485.0,1950.0,VERTICAL,1976-05-01,CERRADO SIN POSIBILIDADES,19.0,1.6593254751056705,4.364936293047841,0.0,0.2689214100000001,2.3868148572803087,3626.703078367866,0.2239649286065968,MEDIA
LACAMANGO-22,0.34249,aceite_Mbd,2018-09-01,515.0,1950.0,VERTICAL,1976-05-01,PROGRAMA TAPONAMIENTO,23.0,1.734377031250321,1.5902892837890306,0.0,0.4472929824387095,1.9994252452151597,977.2243304048299,0.5395875197145356,ALTA
LACAMANGO-117,0.317067,aceite_Mbd,2012-07-01,437.0,2050.0,VERTICAL,1976-08-01,CERRADO SIN POSIBILIDADES,26.0,2.463353159999997,2.9449108800000015,0.0,0.07065293999999998,2.9541716399999975,1288.8127079579378,0.034909673010110324,ALTA
LACAMANGO-41,0.29472800000000005,aceite_Mbd,1986-10-01,123.0,2200.0,VERTICAL,1976-09-01,TAPONADO,33.0,0.16636056000000002,0.15582954,0.0,0.11612966999999998,0.19233214999999995,1050.4225704367977,1.2378584539958124,MEDIA
