pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,hidrocarburo_principal,ultima_produccion,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp,acum_BOE,RGA,corte_agua,tipo
MIQUETLA-4,0.259708,0.25970799999999983,0.44163671702519186,0.025047798712295028,0.011605193518721546,0.07786450398854004,0.25970799917713505,0.060979950680048293,0.012165106169583773,0.00425270532113448,0.25964459472656254,5.0,0.021540616886039858,0.0,aceite_Mbd,2019-05-01,621.0,2100.0,VERTICAL,1968-05-01,0.08828699995298234,9.102742566247263e-13,0.00503810052577007,5e-45,0.5,10.0,INACTIVO,0.11878353301277325,0.03438151974550006,0.03792751677459199,0.41931103144116544,0.20463018718872952,0.21988793027677206,0.122207626771312,0.18367046501084733,0.0,0.017617583917349855,0.1528193709397866,1892.6520660416202,0.15357589783448056,ALTA
MIQUETLA-13,0.239686,0.23535096434425465,0.9999999999999999,0.0693480351048925,0.01616355315887105,0.1521894717543828,0.23535077489147727,0.0693479357409943,0.016106128037708757,0.006748021101538127,0.23962748291015626,5.0,0.024408587556987625,0.0,aceite_Mbd,2020-02-01,621.0,2075.5,VERTICAL,1969-02-01,0.08429964277707798,2.0190199467261687e-08,0.004693741095077329,5e-45,0.5,10.0,INACTIVO,0.16086036956232538,0.07030681408734703,0.07030681408756788,0.5771564702269498,0.26035933581742426,0.27326958659797884,0.14247102092416,0.2395197476269458,0.0,0.015305712459319281,0.1823909788619844,1919.772274936627,0.11948272962221769,ALTA
MIQUETLA-8,0.16206700000000002,0.1620616742540107,0.9999999999999999,0.04591669736706743,0.006465862212358992,0.46046936598620747,0.16206174510909607,0.04591671864844087,0.006430909078018067,0.004252585049091191,0.16198786572265628,5.0,0.010705553760234044,0.0,aceite_Mbd,2018-04-01,604.0,2220.1,VERTICAL,1968-09-01,0.007549999999999049,5.854477579808615e-11,6.94102949845632e-19,5e-45,0.5,10.0,INACTIVO,0.0106586259621333,0.003846279664237244,0.003846279664086362,1.5035239738109905,1.448158110243788,1.4481581102437835,0.02857332665743039,0.12075714752593199,0.0,0.02949757453052551,0.04869951791175237,6919.422330153866,0.9381558525849832,MEDIA
MIQUETLA-36,0.266418,0.25415184456603795,0.9999999999983178,0.03918504070035568,0.02008779412156665,0.1275773046562353,0.2541473259000958,0.039184023135643474,0.019940411873064553,0.003989087861036591,0.26635295654296876,5.0,0.03202437167293861,0.0,aceite_Mbd,2020-02-01,597.0,2001.0,VERTICAL,1971-02-01,0.0131229999822631,9.537006619209087e-06,1.6206434343544327e-13,5e-45,0.5,10.0,INACTIVO,0.39381518632186086,0.15473920331762242,0.15473920330003843,1.3371452383250357,0.9954358479410528,0.995435847557594,0.2827344589823911,0.46656670266165273,0.0,0.02033078326380356,0.36049557609266675,2280.792779671318,0.10462858059220638,ALTA
MIQUETLA-20,0.220353,0.22035299999999997,0.4866459275167017,0.024197153861749025,0.020443316602211575,0.12361249428024756,0.22035299999999997,0.045604469453374694,0.020785750623838525,0.005813446007223423,0.22029920288085936,5.0,0.03214789182073374,0.0,aceite_Mbd,2018-07-01,594.0,2130.0,VERTICAL,1969-09-01,0.054124287692740414,0.9999999998883934,7.749194137999387e-19,5e-45,0.5,10.0,INACTIVO,0.26560614576902314,0.10814122153237714,0.11235024172861155,2.853850029545608,2.0951254463618163,2.0951254463618176,0.16262750252963717,0.42054571537187985,0.0,0.01686530139365981,0.232718455091617,2758.429382344971,0.13764068185135625,MEDIA
MIQUETLA-45,0.196032,0.19603199999988782,0.5697958521762827,0.020772861987438367,0.01873273580891245,0.1388719994298417,0.19603199999999998,0.036077921031696755,0.018881594935846194,0.004635486635095172,0.19593628125,5.0,0.029297966297289087,0.0,aceite_Mbd,2020-02-01,587.0,2030.0,VERTICAL,1971-11-01,0.11330416291913195,0.32583599071447106,0.006603080749137358,5e-45,0.5,10.0,INACTIVO,0.2103008531434864,0.08589167773347031,0.08805972637859878,0.6460187856385928,0.3571952064117272,0.3626366963681586,0.15176663346591884,0.2307798221509137,0.0,0.01115477836112579,0.1902299371577379,1696.152451993218,0.10850632128221424,MEDIA
MIQUETLA-29,0.25747600000000004,0.24987739901714115,0.9999999999999994,0.06497906455957879,0.01659820061673272,0.12026282129346834,0.2498788067498088,0.06497969182407635,0.016521211457918423,0.006001874348501403,0.25741313964843754,5.0,0.02555462289704053,0.0,aceite_Mbd,2018-07-01,584.0,2020.0,VERTICAL,1970-07-01,0.1940602157311881,0.8133416215448617,0.012631019208041269,5e-45,0.5,10.0,INACTIVO,0.2063602454455436,0.0868413593655322,0.08684135936070386,2.9154422254477046,2.108607028691306,2.1104161931090384,0.19111691791961768,0.4250489873193121,0.0,0.021097179280667303,0.2619584158061696,2369.412685434879,0.7888505570000427,ALTA
MIQUETLA-30,0.268838,0.26356824238940035,0.9999999999999999,0.04866468675742112,0.012715489228202426,0.07908437851073537,0.26356780799767954,0.048664569109510704,0.012585559754239806,0.0030640216228288732,0.2687723657226563,5.0,0.03230226044225109,0.0,aceite_Mbd,2018-03-01,579.0,2028.0,VERTICAL,1970-08-01,0.13210491595799567,2.6567056349664166e-13,0.00523894665476265,5e-45,0.5,10.0,INACTIVO,0.324508605230175,0.050207022809702184,0.050207022810157174,1.2954290807868052,0.4648578441965735,0.5016889630099167,0.2598834302422996,0.4220581569054866,0.0,0.013486336237596567,0.3302264563932141,1614.285062469092,0.18228416570427386,ALTA
MIQUETLA-62,0.112202,0.10837481019380199,0.9999999999999999,0.07197028155740587,0.010633515857766075,0.232134347806116,0.1083751052141231,0.07197073664826753,0.010594153004573916,0.011368905104693402,0.1121472138671875,5.0,0.012745827927732845,0.0,aceite_Mbd,2020-02-01,571.0,2098.0,VERTICAL,1973-03-01,0.01480899995723948,3.0441144523996044e-06,3.672444465430168e-15,5e-45,0.5,10.0,INACTIVO,0.03330350656049178,0.023073006507240822,0.023073006506547037,0.2772185264319133,0.22167814224259524,0.221678142238749,0.06362510034380432,0.102238661394345,0.0,0.008300385842439894,0.0806648772428618,1518.7113745317433,0.09123679032069651,MEDIA
MIQUETLA-51,0.177332,0.17564543902200871,0.9999999999999999,0.09839913914577227,0.012205899311624871,0.2390099907012728,0.1756454388357701,0.09839913879975588,0.012159317029154184,0.012493403954965048,0.17724541210937497,5.0,0.016160583213701996,0.0,aceite_Mbd,2018-07-01,562.0,2070.6,VERTICAL,1972-05-01,0.020276999995737698,1.3485900179712493e-13,0.0009782827066441295,5e-45,0.5,10.0,INACTIVO,0.038913503021241025,0.022052985474411275,0.02205298547441132,0.11549544806545686,0.07253341854077518,0.07277532594003619,0.05116815010101082,0.07415533953870448,0.0,0.0068358367182760425,0.06352737335746153,2324.687552194152,0.20935591261729825,MEDIA
MIQUETLA-58,0.235868,0.2356246468283867,0.9999999999999999,0.03512518890707834,0.011186762346299747,0.47741465222728807,0.23562471769096816,0.03512520107912614,0.0111457907368839,0.002980399274933491,0.2358104150390625,5.0,0.018595682764304833,0.0,aceite_Mbd,2018-11-01,560.0,2099.3,VERTICAL,1972-11-01,0.04390711116675126,0.7369449964994119,1.0570854245536917e-18,5e-45,0.5,10.0,INACTIVO,0.047720319610951606,0.017144684994168914,0.017144684994145044,0.4545319003764705,0.18463507881587893,0.18463507882306385,0.06973557962968001,0.1844098666116389,0.0,0.06249570104823288,0.1004705573982865,3567.6846165375846,1.0922491778038166,ALTA
MIQUETLA-63,0.138376,0.13827668865272894,0.9999999999999999,0.02898706911604313,0.008783676649876643,1.2438990705822928,0.13827628683555532,0.028986972012699553,0.008715708759694352,0.0041230010137484835,0.13830843359375,5.0,0.012705876959305619,0.0,aceite_Mbd,2018-11-01,555.0,2100.0,VERTICAL,1973-04-01,0.025604974541662565,0.0001669974752804266,2.986828483336274e-19,5e-45,0.5,10.0,INACTIVO,0.01049355510482587,0.004937791999651877,0.004937791999816075,0.08595920452705345,0.04203301094085563,0.04203301094219566,0.02263187117591722,0.05146599882479486,0.0,0.014144208541712546,0.031209537646716357,3220.7528035004048,0.7115662177468459,MEDIA
MIQUETLA-33,0.27738,0.27737999999999996,2.225669968136722e-12,0.01223798274716241,0.008760588848941842,1.954032469713083e-05,0.2773799999998479,0.040199609986391265,0.020758693718101205,0.004026037997723683,0.2773122802734375,5.0,0.03858422269150419,0.0,aceite_Mbd,2015-12-01,549.0,2066.5,VERTICAL,1970-11-01,0.1683709989903502,2.638031927209043e-09,0.00577950765100464,5e-45,0.5,10.0,INACTIVO,0.3260345507149614,0.06709379390846658,0.09488221383374018,1.164255251270879,0.3996958984491805,0.4673980830173175,0.18925250999999998,0.32849465999999994,0.0,0.005960759999999998,0.2440016199999999,2018.53588812366,0.0454435584838639,ALTA
MIQUETLA-75,0.112811,0.11281099999994436,0.9999999999999999,0.031227555058421043,0.020959081742365333,0.24363174312946395,0.11281099999999998,0.031227555139950708,0.018072270594152656,0.007711432511745039,0.11275591650390625,5.0,0.03361274587098425,0.0,aceite_Mbd,2018-11-01,546.0,2023.0,VERTICAL,1974-01-01,0.18464650338437583,0.2761074485945596,0.014130781119728634,5e-45,0.5,10.0,INACTIVO,0.288103254671779,0.12468545898730334,0.12468545898730135,1.1312558503748484,0.4405141817299003,0.4612288096108818,0.17314082109518186,0.3121993004976674,0.0,0.00826071876301113,0.22517403784479334,2270.9502157885854,0.05795141219089148,MEDIA
MIQUETLA-78,0.155358,0.09619079440650738,0.9999999999999999,0.03029224861307719,0.011851215108326143,0.1771957179890614,0.09618745288420713,0.030290369847611,0.009213517894827826,0.004838459078160325,0.1552821416015625,5.0,0.027062982887118513,0.0,aceite_Mbd,2018-11-01,543.0,2046.0,VERTICAL,1974-04-01,0.056958999983674284,3.92517306316791e-09,0.0040932508350408825,5e-45,0.5,10.0,INACTIVO,0.23143999350851635,0.06904194582820122,0.06904194574370515,0.7573654719448772,0.33042316340092354,0.34557251470386485,0.19378989729970617,0.2878851502548083,0.0,0.006914036019780387,0.24177075567550754,1711.6386517099495,0.04028517794806578,MEDIA
MIQUETLA-113,0.0369,0.02343984268908123,0.9999999999998754,0.001940619452715852,0.0028962336995992616,4.481780395508199,0.02343967937918482,0.0019405461411717108,0.002162799285101998,0.0008078145025101996,0.022604284686225468,0.0013650203736593942,0.0018931166196206547,0.0004910291860639352,aceite_Mbd,2020-02-01,543.0,2045.0,VERTICAL,1975-07-01,0.13922925402194572,0.910389369154309,0.0229813468472747,5e-45,0.5,10.0,INACTIVO,0.03493654563297898,0.034854992503224165,0.034854992500324075,0.9284849368620615,0.9071760612356765,0.9073271091107324,0.1086867745531412,0.24958364761845847,0.0,0.0072899407632694285,0.15028404915621757,2071.6167998095652,0.05408673661389449,BAJA
MIQUETLA-18,0.372113,0.3721129999999213,0.7333524427409095,0.03026086038489357,0.017750141595016807,0.08452171450711131,0.3721129994580524,0.045776070348067605,0.01789686642739663,0.0029966149596799985,0.3720221520996094,5.0,0.035370290786266315,0.0,aceite_Mbd,2014-01-01,542.0,2070.0,VERTICAL,1969-07-01,0.21267133157850945,0.39334309389110167,0.006131628669813886,5e-45,0.5,10.0,INACTIVO,0.38282358591334104,0.09614981707935935,0.09830787170409583,2.601284408046016,1.3781900363650326,1.3964072018988927,0.26208609,0.53330652,0.0,0.012039569999999998,0.3509705100000003,2498.2752651827313,0.05886009759293094,ALTA
MIQUETLA-79,0.175912,0.16064410990613906,0.6877359400772244,0.0315001604683009,0.02260072386008117,0.17367649742901226,0.16392226803184898,0.04393845766931365,0.022288278374741954,0.008353306687720547,0.14405698206331924,5.0,0.03519347285747378,0.0,aceite_Mbd,2018-11-01,542.0,2079.0,VERTICAL,1974-05-01,0.20098442999404903,0.28879004449567036,0.013768431922549992,5e-45,0.5,10.0,INACTIVO,0.3022136497518176,0.12906125174253363,0.1307311732650479,1.8945968475165724,1.1933813679313436,1.2205281193783306,0.15958201792457624,0.305620889729554,0.0,0.00795893372668617,0.2105188328795019,3426.334046595976,0.06807125677193297,MEDIA
MIQUETLA-67A,0.103572,0.10318574558016758,0.9999999999999999,0.051485830022070696,0.008996931116710799,0.2948664932069812,0.10318574934362992,0.05148583376364594,0.00895197675535714,0.007369404331660642,0.103521427734375,5.0,0.01259970382116899,0.0,aceite_Mbd,2018-01-01,540.0,2116.0,VERTICAL,1973-09-01,0.01565239030973042,0.7490523710637437,2.8625978900516207e-18,5e-45,0.5,10.0,INACTIVO,0.01873279929297929,0.009471504753562445,0.009471504753562314,0.19329116760002205,0.16389147954629257,0.16389147954629396,0.03265142564572293,0.05634860511252436,0.0,0.010514324184846597,0.04204285983114366,1894.0542142242082,0.20289877908473114,MEDIA
MIQUETLA-108,0.079333,0.04357864312005653,0.9999999999998909,0.015421519000804434,0.004571646802259616,0.35141029054438416,0.04357873957852025,0.015421604495127111,0.0037724196174161767,0.002851448402971406,0.03649542208407358,0.006542344773579132,0.002537018614564354,0.0007682757547228485,aceite_Mbd,2018-11-01,534.0,2000.0,VERTICAL,1975-01-01,0.10777808691272553,0.3929248460210992,0.020185403129502982,5e-45,0.5,10.0,INACTIVO,0.04132224345217742,0.038883107750819546,0.03888310775091954,0.24179684228926043,0.24023485502307254,0.24485263706423177,0.1111982114983043,0.17367090765006798,0.0,0.004543817867938094,0.14014336277331566,1316.0434908460902,0.08158376194645181,MEDIA
MIQUETLA-46,0.172056,0.1652450640642832,0.9999999999998836,0.0827737193726906,0.009362548267965277,0.10420886100125037,0.16524552868382503,0.08277415654326586,0.009322239187655986,0.006822884363752459,0.17197198828125,5.0,0.01464344567498187,0.0,aceite_Mbd,2015-10-01,534.0,2076.0,VERTICAL,1971-12-01,0.02628744694428348,0.9999999999999999,3.630996225871151e-18,5e-45,0.5,10.0,INACTIVO,0.06625902488196889,0.027018762437155223,0.02701876243612197,0.47978841536193984,0.2648781239388746,0.26487812393887833,0.11716248000000005,0.24526188000000018,0.0,0.013093740000000003,0.15803945999999996,2481.411342973281,0.15176519685201872,MEDIA
MIQUETLA-81,0.118492,0.11838987058953346,0.9999999999999999,0.030320644083613686,0.012496219578233717,0.15688164524548454,0.11838948928080004,0.030320519885447466,0.012177105620129976,0.004185254171624518,0.118434142578125,5.0,0.022146430685722737,0.0,aceite_Mbd,2018-04-01,533.0,2050.0,VERTICAL,1974-07-01,0.13206645795745145,0.18205711803039054,0.009143382589793856,5e-45,0.5,10.0,INACTIVO,0.136349101008671,0.04348978216137005,0.043489782163025514,0.5504600355262006,0.24809760699815625,0.2640636436334962,0.14717167585013147,0.22726290845006458,0.0,0.015054776997317998,0.18504882725847566,1468.3061879635086,0.1266321454787228,MEDIA
