pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,hidrocarburo_principal,ultima_produccion,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp,acum_BOE,RGA,corte_agua,tipo
LACAMANGO-12,0.067767,0.06333228679309809,5.121651766525591e-07,0.0004588875505685657,0.002905483231107429,1.9300273805084245,0.06361820883568317,0.0005161518491162507,0.0030735304884360127,0.00020074244547764827,0.06333228618416699,0.00045888748916935276,0.002869623211760322,0.00015824167590099836,aceite_Mbd,2019-01-01,515.0,2000.0,VERTICAL,1976-09-01,0.05946499999999988,0.9999999999999999,6.131510996979869e-16,5e-45,0.5,10.0,CERRADO SIN POSIBILIDADES,0.3632134622702194,0.3632134622584817,0.36323649746825803,23.721416963212025,23.72141696316436,23.721416963163566,0.8001376585112828,1.9980395816894698,0.0,0.3966511429015229,1.1331442554595261,11255.996856537035,0.9518698269964329,BAJA
LACAMANGO-103,0.066944,0.06694313506193066,4.155617213672338e-09,0.0005809746012193903,0.030783889206718776,0.07778091630170811,0.0669439999999999,0.0005997356747693404,0.031274902647900935,0.0026612344914045145,0.0014727316900619738,5.0,0.07070257704829422,0.0,aceite_Mbd,1996-05-01,227.0,2000.0,VERTICAL,1977-09-01,0.3907440847062079,0.013209461244236678,6.220523438586596e-13,5e-45,0.5,10.0,TAPONADO,0.2849347008723889,0.07069124396275062,0.07076926481998752,14.831563742012,5.8237298433151725,5.823729843308575,0.10653666,0.69161703,0.0,0.20558184000000002,0.22180616500000003,8511.266933995204,3.110382854039413,BAJA
LACAMANGO-119,0.050562,0.05053150828138471,0.9990009932207017,0.07196776211974794,inf,inf,0.05046317624023592,0.07196491033347689,inf,inf,0.05046324609375,5.0,inf,inf,aceite_Mbd,1997-11-01,220.0,2090.0,VERTICAL,1979-10-01,0.03588255346534155,0.9990656908814054,0.027872795051492066,5e-45,0.5,10.0,TAPONADO,8.997756333999633e-06,9.326267408447885e-10,9.766135493909164e-09,2.5265588038635254e-05,2.0924627631387496e-12,4.976217803881201e-09,0.0016068,0.0012273,0.0,0.0,0.0018113500000000002,1193.0769531387814,0.0,BAJA
LACAMANGO-300,0.075304,0.056223502874208436,3.1445821451959593e-09,0.011005314269883028,0.0035749924031542504,0.027870429351358632,0.055713229670115494,0.016213880116340493,0.004671421237802008,0.003221248880490268,0.056211975551634215,0.011000324593973628,0.003553871061190505,0.0011738538922010462,aceite_Mbd,1994-02-01,125.0,2644.0,VERTICAL,1983-11-01,0.06724487703071545,2.782131001193561e-07,0.00785090217039553,5e-45,0.5,10.0,PROGRAMA TAPONAMIENTO,0.0145200415154863,0.01452004431200307,0.016786292443966098,0.08941490572744701,0.08941490787750801,0.09190628860590619,0.08841737999999995,0.12753353999999997,0.0,0.09343812,0.10967296999999995,1545.6732173388375,1.4139696297756073,BAJA
LACAMANGO-1,0.06808,0.06807999999628576,0.999999999993912,1.0344542339546429e-10,0.016993425914420032,13972634.956646128,0.06807999999995966,9.317365137449575e-13,0.016612155407634766,0.003075211806903515,0.06807999999999928,4.549942284095988e-15,0.016612151930059355,0.003075208853481123,aceite_Mbd,2009-10-01,131.0,3319.0,VERTICAL,1999-01-01,0.05802899999999999,6.306035160719148e-08,4.892174547885247e-18,5e-45,0.5,10.0,CERRADO SIN POSIBILIDADES,0.8746045267202186,0.8746045315652493,0.8746045267637097,1.3915973130976451,1.391597313031,1.3915973130582997,0.38164590000000015,0.5009076900000001,0.0,0.22762389000000008,0.4651305150000001,1621.6618300295415,1.3076784224648723,BAJA
LACAMANGO-2,0.006595,0.006594999999999997,0.9999999999999999,2.524339591797954e-16,0.01687977978983593,0.0,0.006594999999940859,6.624363353305529e-12,0.01684102021550745,0.018345530337190163,0.006594999999998921,8.966957545381572e-15,0.016841012349688256,0.018345497544280803,aceite_Mbd,2019-02-01,240.0,2100.0,VERTICAL,1999-06-01,0.010291999999024333,0.9999999999966818,7.691535127156845e-11,5e-45,0.5,10.0,CERRADO SIN POSIBILIDADES,3.1086905653677976,3.1086905653674295,3.1086905656122816,1.033881825766815,1.033881819057884,1.0338818169124493,0.743090188945514,0.43942146768410084,0.0,0.2808096573102539,0.8163271002261989,647.4971271935331,0.4201767605740052,BAJA
LACAMANGO-452,0.023111000000000003,0.01702901268489596,0.9999999881450131,0.04622067061392203,0.0021811045378106737,4.25653447951632,0.017028946849774122,0.04621979861414711,0.0016377859771051892,0.01827288631073907,0.01647599002874709,0.03319908279649315,0.001460938595496023,0.011083333558380096,aceite_Mbd,2009-11-01,16.0,1950.0,DIRECCIONAL,2008-07-01,0.022147560286215548,1.968697350748793e-08,0.02720611032424354,5e-45,0.5,10.0,PROGRAMA TAPONAMIENTO,0.0001187363064652491,0.00011563789670295354,0.000115637896487164,0.00014231505329476049,0.0001423150517593254,0.00014329915735415816,0.00653055,0.00916542,0.0,0.04725566999999999,0.008058119999999998,1416.148488273937,7.320829490064129,BAJA
LACAMANGO-315,0.106927,0.09828414334606933,0.001004341343062487,2.7749677254319803e-11,0.009306684520816188,5402675.296258843,0.09828415143156652,2.6024236167301796e-12,0.009106811933216281,0.006000312004741764,0.0982841225384421,2.8787036526349056e-10,0.009106811534504834,0.006000312629992985,aceite_Mbd,2011-12-01,26.0,1794.0,DIRECCIONAL,2009-10-01,0.11289239273545533,4.2438081039922634e-10,0.024343595451364303,5e-45,0.5,10.0,PROGRAMA TAPONAMIENTO,0.012424049393378872,0.012424049275915876,0.012424049264559712,0.0236252013969997,0.02362519962546712,0.024962566162997017,0.07666163999999996,0.06426555000000002,0.0,0.00012783,0.08737256500000001,872.1208731373445,0.08975061083494819,BAJA
LACAMANGO-392,0.150955,0.15095499999999998,3.3259128959654886e-08,0.07287374070806425,0.013561506052333982,0.474095311421364,0.15095499999999998,0.09280571337213087,0.014752571884041683,0.031562460138426,0.15095499999999998,0.07287380579356917,0.01268393724784525,0.016778640849020657,aceite_Mbd,2019-06-01,93.0,1810.0,DIRECCIONAL,2011-10-01,0.04100905644574621,0.00018585833994666512,1.6013801942886167e-13,5e-45,0.5,10.0,CERRADO SIN POSIBILIDADES,0.004420176753969217,0.004420176744876892,0.004732854328296606,0.0035694905732278183,0.0035694905686642483,0.003569490568628257,0.03893991219999901,0.015993533000001,0.0,0.02932155,0.04160550103333249,635.3881861369747,0.8040728792997653,BAJA
LACAMANGO-14,0.213853,0.15671945573406582,4.1668755427697076e-08,0.017840882143802774,0.023097179537429763,0.8905940007086547,0.157811577200542,0.029846969766459838,0.021584817261585485,0.01400797712114164,0.15671952167421835,0.01784023945117598,0.01907031046014922,0.004819566133518044,aceite_Mbd,1981-02-01,68.0,2105.0,VERTICAL,1975-07-01,0.5782100361266475,0.25000234733391447,2.0932925397233613e-24,5e-45,0.5,10.0,PROGRAMA TAPONAMIENTO,0.025741187323048628,0.02574118734132397,0.027004277971370214,1.1351320519953776,1.1351320519965151,1.1351320519942971,0.04262805,0.27754101000000003,0.0,0.0,0.08888488500000002,8858.379767813865,0.0,MEDIA
