,256
Unnamed: 0,256
SUPERFICIE KM2,241.394811
UBICACION,Terrestre
NOMBRE,HUMAPA
TIPO,Campo
VO CRUDO 1P (MMB),969.9734551
VO GAS 1P (MMMPC),421.6466252
PETROLEO CRUDO EQUIVALENTE 1P (MMBPCE),30.98530166
CRUDO 1P (MMB),22.61903841
GAS NATURAL 1P (MMBPCE),40.90591049
CONDENSADO 1P (MMB),0.0
VO CRUDO 2P (MMB),2850.978705
VO GAS 2P (MMMPC),1239.317986
PETROLEO CRUDO EQUIVALENTE 2P (MMBPCE),179.86801609999995
CRUDO 2P (MMB),114.8972145
GAS NATURAL 2P (MMBPCE),317.6674838
CONDENSADO 2P (MMB),0.0
VO CRUDO 3P (MMB),4384.678281
VO GAS 3P (MMMPC),1906.015871
PETROLEO CRUDO EQUIVALENTE 3P (MMBPCE),331.604294
CRUDO 3P (MMB),208.9346191
GAS NATURAL 3P (MMBPCE),599.7796857000002
CONDENSADO 3P (MMB),0.0
PRODUCCION ACUMULADA CRUDO (MMB),9.056495687
PRODUCCION ACUMULADA GAS (MMMPC),18.98106055
PETROLEO CRUDO EQUIVALENTE (MMBPCE),12.74213851
fr_crudo_1P,0.009336849002807313
fr_crudo_2P,0.0031766269145107485
fr_crudo_3P,0.0020654869312177935
fr_gas_1P,0.04501651244332074
fr_gas_2P,0.015315730719976817
fr_gas_3P,0.009958500786271784
fr_equivalente_1P,0.41123170753084093
fr_equivalente_2P,0.0708416025610459
fr_equivalente_3P,0.038425734348301294
