pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion,first_oil,days_online,Qi_hist,mes,pct_cambio_Qo,exponencial,hiperbolica,harmonica,residual_exponencial,residual_hiperbolica,residual_harmonica,gas_exponencial,gas_hiperbolica,gas_harmonica,residual_gas_exponencial,residual_gas_hiperbolica,residual_gas_harmonica,condensado,Np_MMb,Gp_MMMpc,Cp_MMb,Wp_MMb
MIQUETLA-122,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.013455556690200002,0.0130461432075,0.0,0.00267691485055,0.0,1962.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2060.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,29.0,1966-01-01,19754,0.169151,658.0,-0.5951793810028437,0.019739045438853128,0.01871922466453345,0.018719090962577557,3.948223085445042e-05,2.7706200544023572e-05,2.7704793036493114e-05,0.0,0.022204938161537614,0.02220493789996631,0.00017020185259059836,8.388352501010486e-05,8.388352021874907e-05,4.6165148802739176e-52,0.38936775273993585,0.32574644287746585,0.0,0.09011172836084193
MIQUETLA-64,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00516554053433,0.0234274492128,0.0,0.000936099133671,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2156.0,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,33.0,1966-03-01,19695,0.111187,656.0,0.0386108403384009,0.0045684851113221275,0.00594409569435611,0.005944117739722077,3.564751781431097e-07,6.061481372032814e-07,6.061824647561358e-07,0.004669803141705312,0.011482203447302877,0.011704585278674618,0.000351849286128454,0.00014268889639812692,0.00013742553881801762,4.6446986663490926e-52,0.14595970809778755,0.3150133330140757,0.0,0.042171105049472656
MIQUETLA-2,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0161894834521,0.0350221465069,0.0,7.17769728426e-05,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2414.6,,ACEITE-GAS,VERTICAL,TERRESTRE,2.0,72.0,1968-03-01,18964,0.092927,632.0,0.15165536571061589,0.0,0.015268443104105942,0.015487137087265094,0.00026209937444581974,8.483153226330166e-07,4.932904161968078e-07,0.0,0.02266667807923086,0.02320132448562133,0.0012265507459507678,0.00015265760006712888,0.0001397318332587467,5.004042766150773e-52,0.17289077367712682,0.2560279419039619,0.0,0.020630419696329998
MIQUETLA-3,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0152584808478,0.0352245866602,0.0,4.05081692391e-05,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2100.4,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,37.0,1968-04-01,18933,0.214692,631.0,0.18660291085465586,0.0,0.011351133186633748,0.01135123142754214,0.0002328212377826794,1.5267365745221383e-05,1.526659803210538e-05,0.0,0.06427684615025309,0.06427684668489009,0.00124077150538194,0.0008440337814773796,0.0008440338125422056,5.0199109748908066e-52,0.3239930036133431,0.9024469307223516,0.0,0.021140492323695467
MIQUETLA-9,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0111713758813,0.0208738291319,0.0,0.000325826578662,0.0,1960.0,MIQUETLA,EXPLORATORIO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2145.0,,ACEITE,VERTICAL,TERRESTRE,1.0,48.0,1968-10-01,18750,0.127419,625.0,0.15987762007744633,0.0,0.005128053930205738,0.005128055890336663,0.00012479963908129137,3.652174020457776e-05,3.652171651317712e-05,0.0,0.015460826262199199,0.015460826264793752,0.00043571674262775714,2.9300600067389127e-05,2.930060003930048e-05,5.116724772193179e-52,0.06643874363936814,0.09833085504218556,0.0,0.022206897359093387
MIQUETLA-13,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00613412417953,0.0217748127768,0.0,0.0005995543456039999,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,INACTIVO,2075.5,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,40.0,1969-02-01,18627,0.239686,621.0,1.0397394150876802,0.0,0.005340979713396507,0.005340982890658738,3.762747944989459e-05,6.290781441581835e-07,6.290731041123663e-07,0.0,0.004160507295932859,0.013647916054516266,0.0004741424714646925,0.00031026375757330625,6.604645033466611e-05,5.1828316421408164e-52,0.14247102092416,0.2395197476269458,0.0,0.015305712459319281
MIQUETLA-14,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00595041328526,0.035415780138199994,0.0,0.000929995669488,0.0,1961.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2032.0,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,24.0,1969-03-01,18599,0.116666,620.0,-0.011910502037188908,0.0,0.0021311291239086766,0.006902932641521658,3.540741826539871e-05,1.4586931505149085e-05,9.072931240531233e-07,0.0,0.0010528894352765876,0.017024502588464795,0.0012542774827973213,0.0011808082574610598,0.000338239089911394,5.199558536682001e-52,0.12025576883652182,0.27341228482239704,0.0,0.006007882179050367
MIQUETLA-15,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00966208167971,0.0221851914578,0.0,0.0015280010851199998,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2054.0,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,34.0,1969-04-01,18568,0.16008599999999998,619.0,0.2922128257870249,0.0,0.0008118795118266071,0.011899265834077116,9.33558223853876e-05,7.832607841240791e-05,5.004992940551308e-06,0.0,0.001685604622095641,0.018319372249093042,0.000492182720019242,0.0004202330604345835,1.4944558154407687e-05,5.216366537801548e-52,0.1657730241348808,0.24857098488004054,0.0,0.010650026441465867
MIQUETLA-16,2020-01-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.00761432210354,0.0341502911847,0.0,0.000269185598352,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2071.5,,ACEITE-GAS,VERTICAL,TERRESTRE,0.0,27.0,1969-05-01,18507,0.220143,617.0,2.0446540933059034,0.0,0.001595001686760766,0.015532357549298536,5.797790109645781e-05,3.623221827985533e-05,6.269528532028855e-05,0.0,0.07092985503125988,0.07092984707031581,0.0011662423879997984,0.001352736316743175,0.001352735731143137,5.250227964898236e-52,0.34903501662449665,0.7575307667354546,0.0,0.005599294782330111
MIQUETLA-17,2020-02-01,TAMPICO-MISANTLA,CNH-M5-MIQUETLA/2018,0.0107774577171,0.06140793990330001,0.0,9.60475642082e-05,0.0,1960.0,MIQUETLA,DESARROLLO,Disponible,VERACRUZ DE IGNACIO DE LA LLAVE,PRODUCTOR,2092.4,,ACEITE-GAS,VERTICAL,TERRESTRE,1.0,55.0,1969-06-01,18507,0.101266,617.0,0.1435493999009272,0.0,0.012321510866555538,0.012321585550340667,0.00011615359484387833,2.384100128343567e-06,2.3843307653885165e-06,0.0,0.029097182925775268,0.029097182916179177,0.003770935083167306,0.0010439850164606639,0.001043985017080778,5.250227964898236e-52,0.11056617084766805,0.22870385816470193,0.0,0.006885311038048414
