pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,ultima_produccion,ultima_fecha,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp
CANTARELL-3068,0.930696774194,0.9306676219101008,1.1657571593101675e-07,0.4505885185936385,0.3063379518063513,2.6891356903753896,0.9306967741939999,0.6618868462531772,0.26644142895632733,0.5970442947170373,0.9306967741939999,0.45059762268095027,0.20766465732890785,0.22108380111698261,0.0377220666667,2016-04-01,3.0,4686.0,DIRECCIONAL,2016-01-01,0.3630560247934611,6.481102946870629e-08,0.4506853625363385,5e-45,0.5,10.0,INACTIVO,0.09590510977690697,0.09591098779619403,0.14627153500696016,0.014622456594283937,0.014622471689810627,0.022292062580106888,0.06551699525918099,0.025560245651391,0.0,0.0
CANTARELL-98,0.873301935484,0.8733019354839999,0.7343451380946799,0.40444930137739493,0.11067006135777799,0.6531448419864382,0.8733019354839999,0.47613090460505686,0.10256795360065278,0.1321899048459127,0.8583562789066226,0.2465232892102156,0.09976866994598992,0.047441114593668204,0.0444253870968,2016-12-01,11.0,4700.0,DIRECCIONAL,2016-01-01,0.34078612903192607,0.7342671029335079,0.4046383522558447,5e-45,0.5,10.0,INACTIVO,0.15470414216674266,0.11644767406357011,0.1194824652157,0.023567904248763177,0.017742765353480794,0.01820586454216832,0.11822586395216399,0.04612312330922699,0.0,0.069353203764216
SIHIL-19,13.34697,7.709715744919168,0.9999999999999999,0.025947385265429727,1.2309064451947749,0.9653342204563718,7.709682486403862,0.02594707273561885,0.9574462693180075,0.007687200249145085,6.106795002344943,0.009732531580712911,0.6404266300838457,0.002268738250562778,0.044723,2014-08-01,138.0,4381.0,DIRECCIONAL,2003-04-01,4.34569820614878,0.9999999999999393,0.020075284400956742,5e-45,0.5,10.0,INACTIVO,764.8535836236439,733.9154392717658,733.9154391812183,212.3121515951175,214.093850734137,214.09385073510708,12.02287674,7.359253289999997,0.0,0.61679211
SIHIL-18,13.202113,11.411823585440873,7.623050684017073e-11,0.016690445450779835,0.3656807223235407,0.0006345171610919694,12.626961690034863,0.036670975858115816,0.8086099988935456,0.00481696821392754,11.41166980454684,0.016689971665667845,0.4748925467925237,0.0010444807125747106,0.0103133896552,2020-02-01,185.0,3620.0,DIRECCIONAL,2004-12-01,4.458365729353388,1.2666575251070201e-08,0.016333335437106484,5e-45,0.5,10.0,PRODUCTOR,532.1510871242994,532.1504110023661,668.6147649903298,102.14563757928,102.14563772183996,126.92023870161991,18.76195953871726,7.428965496362754,0.0,5.40148585700181
SIHIL-14,10.787007,4.439152722372592,8.864420480167455e-08,0.009856764296369768,0.6995311993192855,1.0543762001859724,4.4303071832399255,0.014158771045865645,0.7483231158085407,0.006311004936031548,4.438467992154767,0.009853813311559597,0.5823489750708096,0.0024934507681355967,0.006431506451609999,2016-01-01,125.0,4128.0,DIRECCIONAL,2005-10-01,1.7493850314862363,4.850151109181315e-09,0.00983930939871403,5e-45,0.5,10.0,INACTIVO,456.65746567587877,456.65747662871433,471.1922209349921,70.7107964457813,70.7107999766171,72.96590226956047,7.253078745193548,2.8612042425290327,0.0,3.6447733625806427
SIHIL-1,9.001201,9.001200999999291,1.7909122725628526e-08,0.026528676706832028,0.39030184453092504,0.08752565463857355,9.001200999999998,0.05052759059611069,0.6576116245749882,0.007491951832797517,9.001200999999973,0.02652850962315014,0.34664992888692614,0.0014957732496474123,0.457151724138,2020-02-01,140.0,4050.0,DIRECCIONAL,2008-08-01,3.5506229999988435,4.5626043981414895e-09,0.02685505374279581,5e-45,0.5,10.0,PRODUCTOR,151.03710333539178,151.037104306971,268.7894905522271,23.929089263860952,23.929088731783214,42.67424883304282,10.114060416258635,3.9505819342861797,0.0,2.8673126084122336
SIHIL-2,6.211364,5.845750007446845,0.22321375582412165,0.029913777307564456,0.40045008146109906,0.33807466134370057,6.211363999999999,0.050576867363702795,0.41760353758344904,0.0075841210115682916,5.665171030590083,0.02535894018800503,0.282938888972051,0.0021030065726564185,0.326816,2015-08-01,76.0,3808.0,DIRECCIONAL,2009-05-01,2.3018888432340883,0.21837922203502017,0.029746176749635603,5e-45,0.5,10.0,INACTIVO,52.960536386480214,52.67384227047968,56.47333869563776,8.232770204789645,8.190448651327836,8.783622450422301,5.731773299999997,2.2611567299999997,0.0,1.2838908299999998
SIHIL-3,6.4712,5.874156142520846,0.5886432677166444,0.04907726136320068,0.4335795563522015,0.2146065247938418,6.133111522941002,0.07034049435618728,0.4288623209647696,0.009827605413195077,5.152096008109027,0.02736516498643255,0.2779701627374144,0.0021648081087359814,0.416335517241,2020-02-01,127.0,4080.0,DIRECCIONAL,2009-09-01,2.317478392897251,0.5816439631117732,0.0488766636124374,5e-45,0.5,10.0,PRODUCTOR,80.70163934988666,73.3694744894347,76.80441223115028,12.521100337783114,11.406157946975746,11.96085948138081,5.512606306355425,2.1718241959310705,0.0,1.8661048977377706
SIHIL-10,13.123957,10.995833034832597,7.543264616566975e-12,0.008119460747916836,0.3363205204237888,6.563421552962968e-05,10.922482152742166,0.010706840300488837,0.6379503813939207,0.0018947667421393315,10.998062220692576,0.00812426495546722,0.4957849166484042,0.0008367550703943522,2.5834237931,2020-02-01,126.0,3825.0,DIRECCIONAL,2009-10-01,4.3480274847341125,2.783496063982644e-09,0.008196313600599603,5e-45,0.5,10.0,PRODUCTOR,612.8625998002888,612.8607404960987,693.9329884938509,96.26701401532583,96.26701454601714,109.18313200756828,25.66498206012513,10.10645787095685,0.0,5.3173677714995105
SIHIL-9,8.025367999999999,7.448792711743444,0.10862071805583143,0.04381651475670228,0.6244006653933692,0.22910211571575215,7.5256496328658535,0.07837910898774841,0.7569314995715011,0.015925438038589357,7.380861069513445,0.040776003578168865,0.49647262785069624,0.0040811080366108575,0.428973448276,2020-02-01,124.0,4025.0,DIRECCIONAL,2009-12-01,1.5856016136071083,0.9999999999999999,7.21305490973504e-17,5e-45,0.5,10.0,PRODUCTOR,159.81347801787425,159.23192386840438,191.68778492538954,192.6995205866841,192.69952058668557,192.69952058668886,5.68663315248042,4.8519412475367,0.0,0.47152291031436905
