pozo,Qi_hist,ultima_produccion,ultima_fecha,mes_max,profundidad_total,trayectoria,first_oil,estado_actual,dias_perforacion,Np,Gp,Cp,Wp,tipo
MIQUETLA-122,0.169151,0.013455556690200002,2020-02-01,658.0,2060.0,VERTICAL,1966-01-01,PRODUCTOR,29.0,0.38936775273993585,0.32574644287746585,0.0,0.09011172836084193,MEDIA
MIQUETLA-57,0.082812,0.00266509287694,2019-11-01,653.0,2150.0,VERTICAL,1966-03-01,PRODUCTOR,77.0,0.35195973383704277,1.55720333202213,0.0,0.1006559094481393,MEDIA
MIQUETLA-64,0.111187,0.00516554053433,2020-02-01,656.0,2156.0,VERTICAL,1966-03-01,PRODUCTOR,33.0,0.14595970809778755,0.3150133330140757,0.0,0.042171105049472656,MEDIA
MIQUETLA-2,0.092927,0.0161894834521,2020-02-01,632.0,2414.6,VERTICAL,1968-03-01,PRODUCTOR,72.0,0.17289077367712682,0.2560279419039619,0.0,0.020630419696329998,MEDIA
MIQUETLA-3,0.214692,0.0152584808478,2020-02-01,631.0,2100.4,VERTICAL,1968-04-01,PRODUCTOR,37.0,0.3239930036133431,0.9024469307223516,0.0,0.021140492323695467,MEDIA
MIQUETLA-4,0.259708,0.00155395935203,2019-05-01,621.0,2100.0,VERTICAL,1968-05-01,INACTIVO,33.0,0.122207626771312,0.18367046501084733,0.0,0.017617583917349855,ALTA
MIQUETLA-5,0.208192,0.003903,2009-10-01,503.0,2244.0,VERTICAL,1968-06-01,INACTIVO,52.0,0.30788936999999983,0.24648599999999996,0.0,0.3287812200000001,MEDIA
MIQUETLA-6,0.319157,0.001258,1995-11-01,333.0,2335.0,VERTICAL,1968-07-01,INACTIVO,52.0,0.1467423,0.34801235999999974,0.0,0.013466549999999999,ALTA
MIQUETLA-7,0.197216,0.197216,1968-08-01,0.0,2095.0,VERTICAL,1968-08-01,INACTIVO,29.0,0.00591648,0.0,0.0,0.00699993,MEDIA
MIQUETLA-8,0.16206700000000002,0.0045444301143400005,2018-04-01,604.0,2220.1,VERTICAL,1968-09-01,INACTIVO,45.0,0.02857332665743039,0.12075714752593199,0.0,0.02949757453052551,MEDIA
MIQUETLA-9,0.127419,0.0111713758813,2020-02-01,625.0,2145.0,VERTICAL,1968-10-01,PRODUCTOR,48.0,0.06643874363936814,0.09833085504218556,0.0,0.022206897359093387,MEDIA
MIQUETLA-11,0.12831199999999998,0.010269,2010-12-01,511.0,2027.0,VERTICAL,1968-12-01,INACTIVO,23.0,0.17676407999999982,0.33033024000000005,0.0,0.0070339800000000004,MEDIA
MIQUETLA-12,0.14852,0.001053,2012-04-01,527.0,2082.8,VERTICAL,1969-01-01,INACTIVO,34.0,0.14563625999999982,0.29320550999999995,0.0,0.012828000000000006,MEDIA
MIQUETLA-13,0.239686,0.00613412417953,2020-02-01,621.0,2075.5,VERTICAL,1969-02-01,INACTIVO,40.0,0.14247102092416,0.2395197476269458,0.0,0.015305712459319281,ALTA
MIQUETLA-14,0.116666,0.00595041328526,2020-02-01,620.0,2032.0,VERTICAL,1969-03-01,PRODUCTOR,24.0,0.12025576883652182,0.27341228482239704,0.0,0.006007882179050367,MEDIA
MIQUETLA-15,0.16008599999999998,0.00966208167971,2020-02-01,619.0,2054.0,VERTICAL,1969-04-01,PRODUCTOR,34.0,0.1657730241348808,0.24857098488004054,0.0,0.010650026441465867,MEDIA
MIQUETLA-16,0.220143,0.00761432210354,2020-01-01,617.0,2071.5,VERTICAL,1969-05-01,PRODUCTOR,27.0,0.34903501662449665,0.7575307667354546,0.0,0.005599294782330111,MEDIA
MIQUETLA-17,0.101266,0.0107774577171,2020-02-01,617.0,2092.4,VERTICAL,1969-06-01,PRODUCTOR,55.0,0.11056617084766805,0.22870385816470193,0.0,0.006885311038048414,MEDIA
MIQUETLA-18,0.372113,0.00146,2014-01-01,542.0,2070.0,VERTICAL,1969-07-01,INACTIVO,2.0,0.26208609,0.53330652,0.0,0.012039569999999998,ALTA
MIQUETLA-19,0.336809,0.017332974712599997,2020-02-01,615.0,2064.0,VERTICAL,1969-08-01,PRODUCTOR,32.0,0.4367053477654963,0.8975444147160487,0.0,0.018483456823272876,ALTA
MIQUETLA-20,0.220353,0.000427004045079,2018-07-01,594.0,2130.0,VERTICAL,1969-09-01,INACTIVO,33.0,0.16262750252963717,0.42054571537187985,0.0,0.01686530139365981,MEDIA
MIQUETLA-21,0.363997,0.0140444847442,2020-02-01,613.0,2078.0,VERTICAL,1969-10-01,PRODUCTOR,33.0,0.12853576263123392,0.2039927781780708,0.0,0.006143613686590959,ALTA
MIQUETLA-22,0.377598,0.00535340310984,2020-02-01,612.0,2100.0,VERTICAL,1969-11-01,PRODUCTOR,33.0,0.22183569662685093,0.4856604734048059,0.0,0.014675622988434302,ALTA
MIQUETLA-23,0.5113,0.006769,2012-06-01,517.0,669.0,VERTICAL,1969-12-01,INACTIVO,0.0,0.01914003,0.00488454,0.0,0.00364662,ALTA
MIQUETLA-23A,0.293592,0.0144587079707,2020-02-01,610.0,2108.0,VERTICAL,1970-01-01,PRODUCTOR,28.0,0.20596590969687284,0.37677282268252216,0.0,0.011217228154690057,ALTA
