pozo,Qi_hist,Qi_hyp,b,di_hyp,error_Qi_hyp,error_di_hyp,Qi_harm,di_harm,error_Qi_harm,error_di_harm,Qi_exp,di_exp,error_Qi_exp,error_di_exp,hidrocarburo_principal,ultima_produccion,mes_max,profundidad_total,trayectoria,first_oil,Qi_gas,b_gas,di_gas,Qi_condensado,b_condensado,di_condensado,estado_actual,RSS_exponencial,RSS_hiperbolica,RSS_harmonica,RSS_gas_exponencial,RSS_gas_hiperbolica,RSS_gas_harmonica,Np,Gp,Cp,Wp,tipo
MIQUETLA-92,0.05234,0.017567934130802345,0.9999999999999999,0.0006741247497284462,0.0015709705854867336,7.528073691378565,0.017567989651037945,0.0006741407295393902,0.0011249081854396168,0.0002764964123929099,0.012999220271209614,10.0,0.01757421564303679,0.0,0.012110200672,2020-02-01,577.0,1974.0,VERTICAL,1972-09-01,0.13031727586599007,0.9999999999999982,0.03218519982495303,5e-45,0.5,10.0,PRODUCTOR,0.10099494913802262,0.026946535248326298,0.0269465352495458,0.661806492379964,0.3217738434169559,0.32177384341712023,0.1477069129585731,0.2674976907709589,0.0,0.01836521649381827,BAJA
MIQUETLA-115,0.025565,0.02556141483345375,8.138629474553226e-10,0.002629084278746367,0.0037338252867868656,0.028356290933094393,0.025530355112791527,0.005598051929389614,0.0036745923060926395,0.0015657591507160411,0.02546513671875,10.0,0.007733563618467561,0.0,0.00417305738038,2020-02-01,530.0,2070.0,VERTICAL,1976-08-01,0.004201530686248373,0.9999999999992972,2.2353435697044805e-10,5e-45,0.5,10.0,PRODUCTOR,0.0007775040811315057,0.0001674014312999957,0.00017554085607725508,0.0005949904940213615,0.000330192447670995,0.0003301924518828041,0.0034975821011058003,0.0018906918310359002,0.0,0.001189180168618431,BAJA
MIQUETLA-117,0.040884,0.015413242639138668,0.9999999999999999,0.00268494664010211,0.0028262799286745315,2.4215800091605932,0.015412802487775927,0.0026846360376303934,0.001993756307277571,0.0011989551544366547,0.0010155082956002691,10.0,0.014665083618048082,0.0,0.000403418044959,2018-11-01,512.0,2050.0,VERTICAL,1976-10-01,0.017495289816829546,1.185349177008064e-12,3.542123977209164e-18,5e-45,0.5,10.0,INACTIVO,0.04000203001952765,0.018407196848069917,0.018407196829504778,0.16277004752724464,0.10522602640770529,0.10522602640788531,0.05941306976931926,0.09867343458507648,0.0,0.005269465853463522,BAJA
MIQUETLA-125,0.036927,0.036854876953125,0.5,10.0,inf,inf,0.036854876953125004,10.0,inf,inf,0.036854876953125004,10.0,inf,inf,0.036927,1977-03-01,0.0,2045.0,VERTICAL,1977-03-01,5e-45,0.5,15.0,5e-45,0.5,10.0,INACTIVO,5.201733890533053e-09,5.201733890534054e-09,5.201733890533053e-09,2.5e-89,2.5e-89,2.5e-89,0.0011078099999999999,0.0,0.0,0.0013391100000000001,BAJA
MIQUETLA-126,0.034378,0.02838485922392686,3.645557163969573e-12,0.0021614767125899804,0.0017316254164306516,5.823908010182039e-05,0.03179396839445532,0.004086402841290966,0.00835316765098586,0.0018938351052983783,0.033749426372091225,10.0,0.016379786923935734,0.0,0.00907464131079,2020-02-01,522.0,2002.0,VERTICAL,1977-04-01,0.03205675131828916,7.7032381436734e-10,0.001855544613423637,5e-45,0.5,10.0,PRODUCTOR,0.04400077682645993,0.01574963416220521,0.016071777839575658,0.0904330960988939,0.044556952530900196,0.04525523199399181,0.06403898623079111,0.08052007974385922,0.0,0.006850958158649117,BAJA
MIQUETLA-127,0.034898,0.034829839843749995,0.5,10.0,inf,inf,0.034829839843749995,10.0,inf,inf,0.034829839843749995,10.0,inf,inf,0.034898,1977-05-01,0.0,2042.0,VERTICAL,1977-05-01,5e-45,0.5,15.0,5e-45,0.5,10.0,INACTIVO,4.6458069000249126e-09,4.6458069000249126e-09,4.6458069000249126e-09,2.5e-89,2.5e-89,2.5e-89,0.00104694,0.0,0.0,0.0012660899999999999,BAJA
CAMPANA-101,0.0520429802097,0.019949409666428518,0.011687202749750922,4.3618395465751367e-17,0.0044802536634325155,0.0,0.01994940959342517,2.0082969760079564e-14,0.004423896342807893,0.008186486423036961,0.019949409646135747,3.1242023997419266e-15,0.0044238960099520185,0.00818648360897802,0.0283056529338,2020-02-01,46.0,3309.0,VERTICAL,2016-05-01,0.08684815376861123,0.9999999999999988,2.78385681102083e-19,5e-45,0.5,10.0,PRODUCTOR,0.009076892766838296,0.009076892766837904,0.009076892766840431,0.13841267425802833,0.1384126742580268,0.1384126742580201,0.025136256185338914,0.10942869055015253,0.0,0.00770873040886464,BAJA
MIQUETLA-1,0.012218,0.00538610639814013,1.0567210871198496e-06,0.00021784253174766995,0.0019628367622837304,64.40769993402816,0.005386945673234017,0.00022455402604478728,0.0017765369707489994,0.003963613655205594,0.00013787890955146948,10.0,0.007488389696719242,0.0,0.002519,2009-10-01,162.0,3472.0,VERTICAL,1996-06-01,0.00929649481633157,0.9999656386826493,8.083657362815037e-14,5e-45,0.5,10.0,INACTIVO,0.0004486078419994472,0.00016484567752252842,0.00016484716097723022,0.0024938773315657603,0.0016296348465052858,0.001629634846503468,0.00159789,0.00278895,0.0,0.00010847999999999998,BAJA
CASTILLO DE TEAYO-13,0.0271941770924,0.02470741673672148,0.9998795929826387,0.03784519873337687,0.0020776301516961097,2.8834900180065537,0.024707374082649326,0.03784569942922181,0.001545825757577417,0.00987451926400897,0.02418421648161457,0.028698690079519043,0.0013677379227012472,0.005980882159115829,0.00855130276465,2017-08-01,19.0,2237.0,VERTICAL,2016-01-01,0.015651538917699995,0.6540834624433324,0.323133166309154,5e-45,0.5,10.0,INACTIVO,0.0001436358502455586,0.00014336191781850184,0.00014336181633089378,8.393718981461335e-05,6.62182417871485e-05,6.956241039134868e-05,0.011198807839360501,0.0027386405668845004,0.0,0.0031110296381819825,BAJA
CASTILLO DE TEAYO-26,0.0193626358784,0.016049275048575052,0.033051088688689445,0.00012168527352339973,0.0019524826527906522,163464.67864189373,0.016058381569330614,0.00018171409601738022,0.0013828668523085486,0.007776776152619905,0.016066302070255608,0.0002337453187480381,0.0013820931515503463,0.0077501068870819935,0.0076831317262,2017-08-01,19.0,2273.0,VERTICAL,2016-01-01,0.004415101636990297,0.9999999999999999,0.04960757861683141,5e-45,0.5,10.0,INACTIVO,0.00018476179427257363,0.0001847575725421301,0.00018475937375491634,4.407404198164579e-05,4.2752287224631056e-05,4.275229686626541e-05,0.009618440551419005,0.0018992904441510001,0.0,0.0127694930638269,BAJA
CASTILLO DE TEAYO-25,0.0179364829444,0.014351795749417424,2.46946049092223e-07,0.0026339550455364478,0.002014702213892523,2.9072672523087957,0.014305452694527815,0.0023235741843678362,0.0019567277279928103,0.0128728438621413,0.014351425051376442,0.0026310458356579593,0.0019398785147373854,0.01232957783162519,0.00221814263225,2017-08-01,19.0,2335.0,VERTICAL,2016-01-01,0.008785414422141707,0.999999994000812,0.13838396327323188,5e-45,0.5,10.0,INACTIVO,0.00035647493975565227,0.00035647494287556296,0.0003566313903293669,0.00010873075084046514,0.00010188592023363783,0.00010188592078777572,0.008399066122947,0.0026672080989256796,0.0,0.0027612061351840805,BAJA
LAS CANAS-2,0.025110796908,0.01903412482024227,9.071846614583379e-05,3.7874928471290234e-14,0.0021840556851197416,8972225.798239995,0.01903410905459623,1.1082141205599144e-10,0.0017918228972424266,0.0036574504134686764,0.019034124688753557,1.4436963965136905e-13,0.0017918227405406874,0.0036574460954451344,0.024916506794,2020-02-01,46.0,853.0,VERTICAL,2016-05-01,0.009313766247613046,0.0004573893448248656,4.872640659265871e-10,5e-45,0.5,10.0,PRODUCTOR,0.0013499300213275828,0.0013499300213181576,0.0013499300327767616,0.0005652453972693513,0.0005652454133607033,0.0005652453974467329,0.021698902439592004,0.010617722577788398,0.0,0.015730678297178103,BAJA
CASTILLO DE TEAYO-16,0.0212246167998,0.021224616799276393,1.0452273654252243e-06,0.10221072147385228,0.004844273017715873,25.17047353682759,0.02122349901860239,0.11085158586674705,0.003492247719752824,0.12461469986219584,0.02122458303168331,0.10217761125375156,0.0032745293467070125,0.0928132864489264,0.0122139971517,2016-04-01,3.0,2280.0,VERTICAL,2016-01-01,0.0069775887373523734,0.04931753691835328,0.004172227339601004,5e-45,0.5,10.0,INACTIVO,2.8298353280997317e-05,2.829825427977524e-05,3.0230267984392046e-05,5.201260525840339e-06,5.2043326944555315e-06,5.20508133368494e-06,0.002244695415762,0.0008320806202970999,0.0,0.002680527236823,BAJA
