pozo,fecha,cuenca,contrato,aceite_Mbd,gas_asociado_MMpcd,gas_no_asociado_MMpcd,agua_Mbd,condensado_Mbd,ano_de_perforacion,campo,clasificacion,disponible,entidad,estado_actual,profundidad_total,profundidad_vertical,tipo_de_hidrocarburo,trayectoria,ubicacion,tiempo_perforacion,dias_perforacion,first_oil,days_online,Qi_hist,mes,pct_cambio_Qo,exponencial,hiperbolica,harmonica,residual_exponencial,residual_hiperbolica,residual_harmonica,gas_exponencial,gas_hiperbolica,gas_harmonica,residual_gas_exponencial,residual_gas_hiperbolica,residual_gas_harmonica,condensado,Np_MMb,Gp_MMMpc,Cp_MMb,Wp_MMb
CANTARELL-3068,2016-01-01,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.930696774194,0.363056129032,0.0,0.0,0.0,2001.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4686.0,4683.0,ACEITE,DIRECCIONAL,MARINO,9.0,285.0,2016-01-01,0,0.930696774194,0.0,,0.9306967741939999,0.9306676219101008,0.9306967741939999,1.232595164407831e-32,8.498556565403837e-10,1.232595164407831e-32,0.36305612903199996,0.3630560247934611,0.36305612903199996,3.0814879110195774e-33,1.086567299442854e-14,3.0814879110195774e-33,5e-45,0.02792090322582,0.010891683870960001,0.0,0.0
CANTARELL-3068,2016-02-01,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.8265955172409999,0.322595896552,0.0,0.0,0.0,2001.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4686.0,4683.0,ACEITE,DIRECCIONAL,MARINO,9.0,285.0,2016-01-01,31,0.930696774194,1.0,-0.11185303295281501,0.5930839175169395,0.5930707469221325,0.5600241534448095,0.05452766720568982,0.054533818352479786,0.07106029199616089,0.23137149488693423,0.2313361403162556,0.2184853668864787,0.008321891459149253,0.008328343108207488,0.010839002387235388,1.3888888888888889e-46,0.05271876874304999,0.02056956076752,0.0,0.0
CANTARELL-3068,2016-03-01,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.388885483871,0.151652516129,0.0,0.0,0.0,2001.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4686.0,4683.0,ACEITE,DIRECCIONAL,MARINO,9.0,285.0,2016-01-01,60,0.930696774194,2.0,-0.5295335194061818,0.3779410684235586,0.37793612982669744,0.4005109349483071,0.00011978022948619399,0.00011988835398748535,0.00013515111275085986,0.1474503922821703,0.14740537736020562,0.15626132683384886,1.7657844824094766e-05,1.8038187721396183e-05,2.1241136113129487e-05,4.1322314049586773e-47,0.06438533325917999,0.02511913625139,0.0,0.0
CANTARELL-3068,2016-04-01,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.0377220666667,0.014703646666700003,0.0,0.0,0.0,2001.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4686.0,4683.0,ACEITE,DIRECCIONAL,MARINO,9.0,285.0,2016-01-01,91,0.930696774194,3.0,-0.9029995506872325,0.2408418892880556,0.24084094870347938,0.31172223436381735,0.041257662341730963,0.0412572802398711,0.07507609189804841,0.09396843891591106,0.09392542646159527,0.12162333174273438,0.006282907290310589,0.006276090393870876,0.011431819056758368,1.953125e-47,0.06551699525918099,0.025560245651391,0.0,0.0
CANTARELL-98,2016-01-01,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.873301935484,0.340786129032,0.0,0.19305483871,0.0,2002.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4700.0,4639.0,ACEITE,DIRECCIONAL,MARINO,6.0,202.0,2016-01-01,0,0.873301935484,0.0,,0.8583562789066226,0.8733019354839999,0.8733019354839999,0.00022337265052890592,1.232595164407831e-32,1.232595164407831e-32,0.33497022637528723,0.34078612903192607,0.34078612903199995,3.3824723712358765e-05,5.4672498074407986e-27,3.0814879110195774e-33,5e-45,0.02619905806452,0.01022358387096,0.0,0.0057916451613
CANTARELL-98,2016-02-01,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.8481727586210001,0.330990793103,0.0,0.0974643448276,0.0,2002.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4700.0,4639.0,ACEITE,DIRECCIONAL,MARINO,6.0,202.0,2016-01-01,31,0.873301935484,1.0,-0.02877490114466874,0.670816728364004,0.6128654103850736,0.5916155083262445,0.03145516146852051,0.05536954813382357,0.06582162267880583,0.2617503498619975,0.2391207942420349,0.23082587979612632,0.004794238980210486,0.00844009669071373,0.010033009857773521,1.3888888888888889e-46,0.05164424082315,0.02015330766405,0.0,0.008715575506127999
CANTARELL-98,2016-03-01,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.4116864516130001,0.160528774194,0.0,0.0880878709677,0.0,2002.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4700.0,4639.0,ACEITE,DIRECCIONAL,MARINO,6.0,202.0,2016-01-01,60,0.873301935484,2.0,-0.5146195778766349,0.5242521015005462,0.46282887655077765,0.44732828935343383,0.012671025534605616,0.00261554762851621,0.0012703405975154057,0.20453532958513934,0.18056311612334347,0.17451556318302686,0.0019365769173934153,0.00040137485654185,0.00019563026622356302,4.1322314049586773e-47,0.06399483437154001,0.024969170889870003,0.0,0.011358211635158998
CANTARELL-98,2016-04-01,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.2124187,0.0828643666667,0.0,0.0889468,0.0,2002.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4700.0,4639.0,ACEITE,DIRECCIONAL,MARINO,6.0,202.0,2016-01-01,91,0.873301935484,3.0,-0.48402795581992797,0.40970991674286783,0.3667521022733463,0.3596213785833606,0.038923824203881255,0.02381879905726654,0.021668628582116167,0.1598267244745157,0.14307027923601848,0.1402912935171288,0.005923204519338252,0.003624751908304421,0.0032978519274845003,1.953125e-47,0.07036739537154,0.027455101889871002,0.0,0.014026615635159
CANTARELL-98,2016-05-01,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.211678290323,0.0825708064516,0.0,0.210347548387,0.0,2002.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4700.0,4639.0,ACEITE,DIRECCIONAL,MARINO,6.0,202.0,2016-01-01,121,0.873301935484,4.0,-0.003485614387998659,0.3201936919222303,0.30067451741501916,0.3006695934388682,0.011775592384242231,0.007920328436614244,0.007919452030260328,0.12489080447893791,0.11728674600338586,0.1172896124504258,0.0017909822330338843,0.0012051964589632495,0.0012053954899841019,1.1337868480725624e-47,0.07671774408123001,0.029932226083419,0.0,0.020337042086768998
CANTARELL-98,2016-06-01,CUENCAS DEL SURESTE,A-0308-M - CAMPO SIHIL,0.214296833333,0.0836062666667,0.0,0.32624676666700003,0.0,2002.0,AKAL,DESARROLLO,Disponible,AGUAS TERRITORIALES,INACTIVO,4700.0,4639.0,ACEITE,DIRECCIONAL,MARINO,6.0,202.0,2016-01-01,152,0.873301935484,5.0,0.012370390019705635,0.25023558414655533,0.2528246077117568,0.2583233304485956,0.0012915938100388235,0.0014843893985803881,0.001938332448269549,0.09759139527309368,0.09861704662747385,0.10076803052139514,0.00019558382213737097,0.00022532351503076983,0.00029452613860432076,7.396449704142011e-48,0.08314664908122,0.032440414083419994,0.0,0.030124445086778997
